,EBC
2020-10-15,12.149999618530273
2020-10-16,11.90999984741211
2020-10-19,11.890000343322754
2020-10-20,11.880000114440918
2020-10-21,12.399999618530273
2020-10-22,12.479999542236328
2020-10-23,12.260000228881836
2020-10-26,12.079999923706055
2020-10-27,12.0
2020-10-28,11.930000305175781
2020-10-29,12.020000457763672
2020-10-30,11.949999809265137
2020-11-02,11.949999809265137
2020-11-03,12.050000190734863
2020-11-04,12.0600004196167
2020-11-05,12.260000228881836
2020-11-06,12.3100004196167
2020-11-09,12.729999542236328
2020-11-10,12.90999984741211
2020-11-11,13.079999923706055
2020-11-12,13.100000381469727
2020-11-13,13.619999885559082
2020-11-16,13.9399995803833
2020-11-17,14.319999694824219
2020-11-18,14.369999885559082
2020-11-19,14.15999984741211
2020-11-20,14.300000190734863
2020-11-23,14.489999771118164
2020-11-24,14.699999809265137
2020-11-25,14.710000038146973
2020-11-27,14.729999542236328
2020-11-30,14.800000190734863
2020-12-01,15.020000457763672
2020-12-02,15.050000190734863
2020-12-03,15.40999984741211
2020-12-04,15.5600004196167
2020-12-07,15.579999923706055
2020-12-08,15.65999984741211
2020-12-09,15.930000305175781
2020-12-10,16.049999237060547
2020-12-11,16.190000534057617
2020-12-14,16.25
2020-12-15,15.649999618530273
2020-12-16,15.789999961853027
2020-12-17,15.8100004196167
2020-12-18,15.819999694824219
2020-12-21,15.819999694824219
2020-12-22,16.399999618530273
2020-12-23,16.68000030517578
2020-12-24,16.799999237060547
2020-12-28,16.56999969482422
2020-12-29,16.639999389648438
2020-12-30,16.459999084472656
2020-12-31,16.309999465942383
2021-01-04,15.739999771118164
2021-01-05,16.18000030517578
2021-01-06,16.639999389648438
2021-01-07,16.959999084472656
2021-01-08,16.540000915527344
2021-01-11,16.530000686645508
2021-01-12,16.280000686645508
2021-01-13,16.260000228881836
2021-01-14,16.510000228881836
2021-01-15,16.389999389648438
2021-01-19,16.399999618530273
2021-01-20,16.31999969482422
2021-01-21,16.149999618530273
2021-01-22,16.229999542236328
2021-01-25,16.299999237060547
2021-01-26,16.170000076293945
2021-01-27,16.0
2021-01-28,16.100000381469727
2021-01-29,15.9399995803833
2021-02-01,16.100000381469727
2021-02-02,16.209999084472656
2021-02-03,16.31999969482422
2021-02-04,16.299999237060547
2021-02-05,16.18000030517578
2021-02-08,16.350000381469727
2021-02-09,16.229999542236328
2021-02-10,16.229999542236328
2021-02-11,16.459999084472656
2021-02-12,16.719999313354492
2021-02-16,16.790000915527344
2021-02-17,16.59000015258789
2021-02-18,16.700000762939453
2021-02-19,16.850000381469727
2021-02-22,17.25
2021-02-23,17.229999542236328
2021-02-24,17.959999084472656
2021-02-25,17.979999542236328
2021-02-26,17.610000610351562
2021-03-01,17.809999465942383
2021-03-02,18.059999465942383
2021-03-03,18.049999237060547
2021-03-04,17.8799991607666
2021-03-05,17.920000076293945
2021-03-08,18.18000030517578
2021-03-09,18.420000076293945
2021-03-10,18.459999084472656
2021-03-11,18.8700008392334
2021-03-12,19.149999618530273
2021-03-15,19.25
2021-03-16,19.010000228881836
2021-03-17,19.34000015258789
2021-03-18,19.209999084472656
2021-03-19,19.709999084472656
2021-03-22,19.479999542236328
2021-03-23,19.010000228881836
2021-03-24,18.829999923706055
2021-03-25,18.969999313354492
2021-03-26,19.459999084472656
2021-03-29,19.15999984741211
2021-03-30,19.290000915527344
2021-03-31,19.290000915527344
2021-04-01,19.600000381469727
2021-04-05,19.3700008392334
2021-04-06,19.385000228881836
2021-04-07,19.200000762939453
2021-04-08,19.1299991607666
2021-04-09,19.450000762939453
2021-04-12,19.649999618530273
2021-04-13,19.450000762939453
2021-04-14,19.639999389648438
2021-04-15,19.969999313354492
2021-04-16,20.229999542236328
2021-04-19,20.040000915527344
2021-04-20,19.770000457763672
2021-04-21,20.149999618530273
2021-04-22,20.18000030517578
2021-04-23,21.049999237060547
2021-04-26,21.209999084472656
2021-04-27,21.219999313354492
2021-04-28,21.25
2021-04-29,21.579999923706055
2021-04-30,21.329999923706055
2021-05-03,21.59000015258789
2021-05-04,21.75
2021-05-05,22.0
2021-05-06,22.200000762939453
2021-05-07,22.18000030517578
2021-05-10,22.09000015258789
2021-05-11,21.90999984741211
2021-05-12,21.1299991607666
2021-05-13,21.389999389648438
2021-05-14,21.68000030517578
