,EGBN
1999-07-14,3.0039889812469482
1999-07-15,2.934128999710083
1999-07-16,2.934128999710083
1999-07-19,2.934128999710083
1999-07-20,2.934128999710083
1999-07-21,2.934128999710083
1999-07-22,2.934128999710083
1999-07-23,2.934128999710083
1999-07-26,2.934128999710083
1999-07-27,2.934128999710083
1999-07-28,2.934128999710083
1999-07-29,2.934128999710083
1999-07-30,2.934128999710083
1999-08-02,2.934128999710083
1999-08-03,2.934128999710083
1999-08-04,2.934128999710083
1999-08-05,2.934128999710083
1999-08-06,2.934128999710083
1999-08-09,2.934128999710083
1999-08-10,2.934128999710083
1999-08-11,2.934128999710083
1999-08-12,2.934128999710083
1999-08-13,2.934128999710083
1999-08-16,2.934128999710083
1999-08-17,3.2135701179504395
1999-08-18,2.794408082962036
1999-08-19,2.934128999710083
1999-08-20,2.794408082962036
1999-08-23,2.794408082962036
1999-08-24,2.794408082962036
1999-08-25,2.794408082962036
1999-08-26,2.8991990089416504
1999-08-27,2.934128999710083
1999-08-30,2.934128999710083
1999-08-31,2.934128999710083
1999-09-01,2.934128999710083
1999-09-02,2.934128999710083
1999-09-03,2.934128999710083
1999-09-07,2.934128999710083
1999-09-08,2.934128999710083
1999-09-09,2.934128999710083
1999-09-10,2.934128999710083
1999-09-13,2.934128999710083
1999-09-14,2.934128999710083
1999-09-15,2.934128999710083
1999-09-16,2.934128999710083
1999-09-17,2.934128999710083
1999-09-20,2.934128999710083
1999-09-21,2.934128999710083
1999-09-22,2.934128999710083
1999-09-23,2.934128999710083
1999-09-24,2.934128999710083
1999-09-27,2.934128999710083
1999-09-28,2.934128999710083
1999-09-29,2.934128999710083
1999-09-30,2.934128999710083
1999-10-01,2.934128999710083
1999-10-04,2.934128999710083
1999-10-05,2.934128999710083
1999-10-06,2.934128999710083
1999-10-07,2.934128999710083
1999-10-08,2.794408082962036
1999-10-11,2.794408082962036
1999-10-12,2.794408082962036
1999-10-13,2.794408082962036
1999-10-14,2.934128999710083
1999-10-15,2.934128999710083
1999-10-18,2.794408082962036
1999-10-19,2.934128999710083
1999-10-20,2.934128999710083
1999-10-21,2.934128999710083
1999-10-22,2.934128999710083
1999-10-25,2.794408082962036
1999-10-26,2.794408082962036
1999-10-27,2.794408082962036
1999-10-28,2.794408082962036
1999-10-29,2.794408082962036
1999-11-01,2.794408082962036
1999-11-02,2.934128999710083
1999-11-03,2.934128999710083
1999-11-04,3.0738489627838135
1999-11-05,3.0738489627838135
1999-11-08,3.0738489627838135
1999-11-09,3.0738489627838135
1999-11-10,2.934128999710083
1999-11-11,2.934128999710083
1999-11-12,2.934128999710083
1999-11-15,2.934128999710083
1999-11-16,2.934128999710083
1999-11-17,2.934128999710083
1999-11-18,2.934128999710083
1999-11-19,2.934128999710083
1999-11-22,2.934128999710083
1999-11-23,2.934128999710083
1999-11-24,2.934128999710083
1999-11-26,2.934128999710083
1999-11-29,2.916663885116577
1999-11-30,2.916663885116577
1999-12-01,2.916663885116577
1999-12-02,2.794408082962036
1999-12-03,2.794408082962036
1999-12-06,2.794408082962036
1999-12-07,2.8293380737304688
1999-12-08,2.934128999710083
1999-12-09,2.934128999710083
1999-12-10,2.934128999710083
1999-12-13,2.934128999710083
1999-12-14,2.934128999710083
1999-12-15,2.794408082962036
1999-12-16,2.794408082962036
1999-12-17,2.794408082962036
1999-12-20,2.794408082962036
1999-12-21,2.794408082962036
1999-12-22,2.934128999710083
1999-12-23,2.934128999710083
1999-12-27,2.934128999710083
1999-12-28,2.934128999710083
1999-12-29,2.934128999710083
1999-12-30,2.934128999710083
1999-12-31,2.934128999710083
2000-01-03,2.934128999710083
2000-01-04,2.934128999710083
2000-01-05,2.934128999710083
2000-01-06,2.934128999710083
2000-01-07,2.934128999710083
2000-01-10,2.934128999710083
2000-01-11,2.934128999710083
2000-01-12,2.6546878814697266
2000-01-13,2.6546878814697266
2000-01-14,2.6546878814697266
2000-01-18,2.6546878814697266
2000-01-19,2.724548101425171
2000-01-20,2.724548101425171
2000-01-21,2.724548101425171
2000-01-24,2.724548101425171
2000-01-25,2.724548101425171
2000-01-26,2.724548101425171
2000-01-27,2.724548101425171
2000-01-28,2.724548101425171
2000-01-31,2.724548101425171
2000-02-01,2.794408082962036
2000-02-02,2.794408082962036
2000-02-03,2.794408082962036
2000-02-04,2.794408082962036
2000-02-07,2.794408082962036
2000-02-08,2.724548101425171
2000-02-09,2.724548101425171
2000-02-10,2.724548101425171
2000-02-11,2.724548101425171
2000-02-14,2.724548101425171
2000-02-15,2.724548101425171
2000-02-16,2.724548101425171
2000-02-17,2.724548101425171
2000-02-18,2.8642690181732178
2000-02-22,2.8642690181732178
2000-02-23,2.8642690181732178
2000-02-24,2.934128999710083
2000-02-25,2.934128999710083
2000-02-28,2.934128999710083
2000-02-29,2.934128999710083
2000-03-01,2.934128999710083
2000-03-02,2.934128999710083
2000-03-03,2.934128999710083
2000-03-06,2.794408082962036
2000-03-07,2.794408082962036
2000-03-08,2.794408082962036
2000-03-09,2.934128999710083
2000-03-10,2.934128999710083
2000-03-13,2.934128999710083
2000-03-14,2.934128999710083
2000-03-15,2.934128999710083
2000-03-16,2.934128999710083
2000-03-17,2.934128999710083
2000-03-20,2.8642690181732178
2000-03-21,2.794408082962036
2000-03-22,2.794408082962036
2000-03-23,2.794408082962036
2000-03-24,2.794408082962036
2000-03-27,2.794408082962036
2000-03-28,2.794408082962036
2000-03-29,2.794408082962036
2000-03-30,2.794408082962036
2000-03-31,2.794408082962036
2000-04-03,3.4930100440979004
2000-04-04,3.4930100440979004
