,ARYD
2021-02-26,11.130000114440918
2021-03-01,11.550000190734863
2021-03-02,11.109999656677246
2021-03-03,11.489999771118164
2021-03-04,10.989999771118164
2021-03-05,10.800000190734863
2021-03-08,10.850000381469727
2021-03-09,10.770000457763672
2021-03-10,10.770000457763672
2021-03-11,11.0
2021-03-12,10.979999542236328
2021-03-15,11.140000343322754
2021-03-16,10.819999694824219
2021-03-17,10.649999618530273
2021-03-18,10.59000015258789
2021-03-19,10.510000228881836
2021-03-22,10.619999885559082
2021-03-23,10.574999809265137
2021-03-24,10.579999923706055
2021-03-25,10.510000228881836
2021-03-26,10.5
2021-03-29,10.449999809265137
2021-03-30,10.4399995803833
2021-03-31,10.472999572753906
2021-04-01,10.649999618530273
2021-04-05,10.640000343322754
2021-04-06,10.65999984741211
2021-04-07,10.6899995803833
2021-04-08,10.869999885559082
2021-04-09,10.75
2021-04-12,10.890000343322754
2021-04-13,10.8100004196167
2021-04-14,10.84000015258789
2021-04-15,10.8100004196167
2021-04-16,10.800000190734863
2021-04-19,10.979999542236328
2021-04-20,10.829999923706055
2021-04-21,10.850000381469727
2021-04-22,10.805000305175781
2021-04-23,10.920000076293945
2021-04-26,10.920000076293945
2021-04-27,11.020000457763672
2021-04-28,11.020000457763672
2021-04-29,11.050000190734863
2021-04-30,10.960000038146973
2021-05-03,11.149999618530273
2021-05-04,11.029999732971191
2021-05-05,11.260000228881836
2021-05-06,11.020000457763672
2021-05-07,11.100000381469727
2021-05-10,10.760000228881836
2021-05-11,10.4350004196167
2021-05-12,10.569999694824219
2021-05-13,10.430000305175781
2021-05-14,10.25
