,CENX
1996-03-29,13.625
1996-04-01,13.375
1996-04-02,13.75
1996-04-03,13.75
1996-04-04,13.75
1996-04-08,13.875
1996-04-09,14.5
1996-04-10,14.625
1996-04-11,14.625
1996-04-12,14.625
1996-04-15,14.5
1996-04-16,14.375
1996-04-17,13.25
1996-04-18,13.5
1996-04-19,13.5
1996-04-22,13.375
1996-04-23,14.0
1996-04-24,14.375
1996-04-25,14.25
1996-04-26,14.5625
1996-04-29,14.8125
1996-04-30,14.75
1996-05-01,14.75
1996-05-02,15.0
1996-05-03,15.0
1996-05-06,15.5
1996-05-07,15.375
1996-05-08,15.0
1996-05-09,14.875
1996-05-10,15.25
1996-05-13,15.0
1996-05-14,15.5
1996-05-15,15.5
1996-05-16,15.25
1996-05-17,15.5
1996-05-20,15.0
1996-05-21,15.0
1996-05-22,15.25
1996-05-23,15.0
1996-05-24,15.0
1996-05-28,15.125
1996-05-29,14.75
1996-05-30,14.75
1996-05-31,15.125
1996-06-03,14.75
1996-06-04,14.875
1996-06-05,15.5
1996-06-06,15.375
1996-06-07,15.125
1996-06-10,15.375
1996-06-11,16.125
1996-06-12,16.0
1996-06-13,16.1875
1996-06-14,16.125
1996-06-17,15.875
1996-06-18,16.0
1996-06-19,15.5
1996-06-20,15.625
1996-06-21,15.875
1996-06-24,15.875
1996-06-25,15.75
1996-06-26,15.875
1996-06-27,15.625
1996-06-28,15.75
1996-07-01,15.75
1996-07-02,15.375
1996-07-03,15.25
1996-07-05,14.875
1996-07-08,15.5
1996-07-09,15.125
1996-07-10,15.125
1996-07-11,15.25
1996-07-12,15.0
1996-07-15,14.875
1996-07-16,14.75
1996-07-17,14.75
1996-07-18,14.875
1996-07-19,14.25
1996-07-22,14.125
1996-07-23,14.125
1996-07-24,13.875
1996-07-25,14.0
1996-07-26,14.125
1996-07-29,14.25
1996-07-30,14.375
1996-07-31,14.625
1996-08-01,14.875
1996-08-02,15.5
1996-08-05,15.625
1996-08-06,15.375
1996-08-07,16.125
1996-08-08,15.75
1996-08-09,15.375
1996-08-12,14.75
1996-08-13,14.25
1996-08-14,14.125
1996-08-15,14.0
1996-08-16,14.0
1996-08-19,14.0
1996-08-20,14.375
1996-08-21,14.5
1996-08-22,14.5
1996-08-23,14.75
1996-08-26,15.0
1996-08-27,14.625
1996-08-28,15.625
1996-08-29,15.125
1996-08-30,16.0
1996-09-03,16.25
1996-09-04,15.875
1996-09-05,15.5
1996-09-06,15.5
1996-09-09,15.75
1996-09-10,14.75
1996-09-11,14.75
1996-09-12,14.875
1996-09-13,14.875
1996-09-16,14.75
1996-09-17,14.875
1996-09-18,15.5
1996-09-19,15.8125
1996-09-20,15.25
1996-09-23,14.875
1996-09-24,14.875
1996-09-25,14.75
1996-09-26,15.0
1996-09-27,15.25
1996-09-30,14.75
1996-10-01,15.125
1996-10-02,15.125
1996-10-03,15.25
1996-10-04,14.75
1996-10-07,14.25
1996-10-08,14.0
1996-10-09,13.625
1996-10-10,13.625
1996-10-11,13.625
1996-10-14,13.5
1996-10-15,12.5
1996-10-16,12.5
1996-10-17,12.75
1996-10-18,12.8125
1996-10-21,12.625
1996-10-22,12.75
1996-10-23,12.75
1996-10-24,13.375
1996-10-25,13.5625
1996-10-28,13.75
1996-10-29,13.75
1996-10-30,13.625
1996-10-31,13.5
1996-11-01,13.5
1996-11-04,14.25
1996-11-05,14.4375
1996-11-06,14.4375
1996-11-07,15.25
1996-11-08,14.875
1996-11-11,14.625
1996-11-12,15.125
1996-11-13,15.0
1996-11-14,15.125
1996-11-15,15.0
1996-11-18,14.625
1996-11-19,14.625
1996-11-20,14.625
1996-11-21,14.75
1996-11-22,15.0
1996-11-25,13.625
1996-11-26,13.75
1996-11-27,15.125
1996-11-29,15.5
1996-12-02,16.0
1996-12-03,16.0
1996-12-04,16.75
1996-12-05,17.5
1996-12-06,16.9375
1996-12-09,16.875
1996-12-10,16.5
1996-12-11,16.375
1996-12-12,16.375
1996-12-13,16.125
1996-12-16,16.0
1996-12-17,16.125
1996-12-18,15.5
1996-12-19,15.5
1996-12-20,15.875
1996-12-23,16.125
1996-12-24,16.125
1996-12-26,16.25
1996-12-27,16.75
1996-12-30,16.625
1996-12-31,17.25
1997-01-02,17.125
1997-01-03,18.0
1997-01-06,18.375
1997-01-07,18.125
1997-01-08,18.25
1997-01-09,18.375
1997-01-10,19.125
1997-01-13,19.25
1997-01-14,19.125
1997-01-15,19.125
1997-01-16,18.75
1997-01-17,18.625
1997-01-20,18.25
1997-01-21,18.0
1997-01-22,17.875
1997-01-23,18.375
1997-01-24,18.25
1997-01-27,18.0625
1997-01-28,18.0
1997-01-29,18.25
1997-01-30,18.5
1997-01-31,18.75
1997-02-03,18.5
1997-02-04,18.375
1997-02-05,17.625
1997-02-06,17.75
1997-02-07,18.25
1997-02-10,18.375
1997-02-11,18.5
1997-02-12,18.125
1997-02-13,17.375
1997-02-14,17.75
1997-02-18,17.625
1997-02-19,17.5
1997-02-20,18.0
1997-02-21,17.375
1997-02-24,17.25
1997-02-25,16.9375
1997-02-26,17.25
1997-02-27,17.375
1997-02-28,16.5
1997-03-03,17.125
1997-03-04,17.25
1997-03-05,17.0
1997-03-06,17.375
1997-03-07,17.375
1997-03-10,17.75
1997-03-11,18.75
1997-03-12,18.625
1997-03-13,18.75
1997-03-14,18.5
1997-03-17,18.5
1997-03-18,18.5
1997-03-19,18.5
1997-03-20,17.375
1997-03-21,16.75
1997-03-24,16.75
1997-03-25,17.375
1997-03-26,17.375
1997-03-27,16.75
1997-03-31,16.875
1997-04-01,17.125
1997-04-02,17.375
1997-04-03,17.375
1997-04-04,17.375
1997-04-07,17.0
1997-04-08,17.125
1997-04-09,16.625
1997-04-10,16.875
1997-04-11,16.5
1997-04-14,16.5
1997-04-15,16.625
1997-04-16,16.75
1997-04-17,16.375
1997-04-18,16.3125
1997-04-21,16.25
1997-04-22,16.125
1997-04-23,16.0
1997-04-24,16.5
1997-04-25,16.0
1997-04-28,16.125
1997-04-29,16.25
1997-04-30,16.5
1997-05-01,16.5
1997-05-02,16.75
1997-05-05,16.8125
1997-05-06,17.0
1997-05-07,17.0
1997-05-08,17.0
1997-05-09,16.75
1997-05-12,16.5
1997-05-13,16.5
1997-05-14,16.75
1997-05-15,16.625
1997-05-16,16.75
1997-05-19,16.875
1997-05-20,17.0
1997-05-21,17.0
1997-05-22,17.0
1997-05-23,16.875
1997-05-27,17.5
1997-05-28,17.875
1997-05-29,18.0
1997-05-30,17.875
1997-06-02,17.75
1997-06-03,17.25
1997-06-04,17.5
1997-06-05,17.75
1997-06-06,17.375
1997-06-09,16.75
1997-06-10,16.125
1997-06-11,16.375
1997-06-12,16.125
1997-06-13,16.5
1997-06-16,16.5
1997-06-17,16.25
1997-06-18,16.25
1997-06-19,16.5
1997-06-20,15.0
1997-06-23,14.75
1997-06-24,14.5
1997-06-25,14.25
1997-06-26,14.0
1997-06-27,14.5
1997-06-30,14.625
1997-07-01,15.0
1997-07-02,15.0
1997-07-03,15.375
1997-07-07,15.125
1997-07-08,15.25
1997-07-09,15.5
1997-07-10,15.5
1997-07-11,15.25
1997-07-14,15.625
1997-07-15,15.375
1997-07-16,15.5
1997-07-17,15.625
1997-07-18,15.875
1997-07-21,15.875
1997-07-22,15.75
1997-07-23,15.75
1997-07-24,16.0
1997-07-25,15.75
1997-07-28,15.875
1997-07-29,15.5
1997-07-30,16.0
1997-07-31,16.0
1997-08-01,16.125
1997-08-04,16.25
1997-08-05,16.375
1997-08-06,16.25
1997-08-07,18.0
1997-08-08,17.75
1997-08-11,17.125
1997-08-12,17.5
1997-08-13,17.25
1997-08-14,16.875
1997-08-15,17.125
1997-08-18,17.125
1997-08-19,17.25
1997-08-20,17.5
1997-08-21,17.625
1997-08-22,18.0
1997-08-25,17.375
1997-08-26,16.3125
1997-08-27,16.375
1997-08-28,16.375
1997-08-29,16.5
1997-09-02,16.5
1997-09-03,16.25
1997-09-04,16.5
1997-09-05,16.5
1997-09-08,16.375
1997-09-09,16.5
1997-09-10,16.75
1997-09-11,16.125
1997-09-12,16.375
1997-09-15,16.5
1997-09-16,16.75
1997-09-17,16.5625
1997-09-18,16.875
1997-09-19,15.5
1997-09-22,15.375
1997-09-23,14.75
1997-09-24,14.5
1997-09-25,14.875
1997-09-26,14.625
1997-09-29,15.125
1997-09-30,17.625
1997-10-01,17.0
1997-10-02,17.0
1997-10-03,17.125
1997-10-06,17.375
1997-10-07,17.125
1997-10-08,16.375
1997-10-09,16.375
1997-10-10,16.25
1997-10-13,16.5
1997-10-14,15.625
1997-10-15,15.5
1997-10-16,15.75
1997-10-17,15.625
1997-10-20,15.5
1997-10-21,16.25
1997-10-22,15.8125
1997-10-23,16.0
1997-10-24,16.125
1997-10-27,15.25
1997-10-28,15.25
1997-10-29,15.25
1997-10-30,15.75
1997-10-31,15.75
1997-11-03,17.5
1997-11-04,17.0
1997-11-05,16.0
1997-11-06,15.5
1997-11-07,15.0
1997-11-10,14.875
1997-11-11,15.125
1997-11-12,14.75
1997-11-13,14.9375
1997-11-14,14.9375
1997-11-17,14.625
1997-11-18,14.625
1997-11-19,15.0
