,FSV
2015-06-02,28.0
2015-06-03,28.059999465942383
2015-06-04,27.8700008392334
2015-06-05,27.860000610351562
2015-06-08,27.969999313354492
2015-06-09,25.799999237060547
2015-06-10,26.051000595092773
2015-06-11,26.030000686645508
2015-06-12,25.959999084472656
2015-06-15,25.420000076293945
2015-06-16,24.899999618530273
2015-06-17,24.90999984741211
2015-06-18,24.8799991607666
2015-06-19,24.950000762939453
2015-06-22,25.260000228881836
2015-06-23,25.899999618530273
2015-06-24,25.920000076293945
2015-06-25,26.489999771118164
2015-06-26,26.8799991607666
2015-06-29,26.68000030517578
2015-06-30,27.770000457763672
2015-07-01,27.989999771118164
2015-07-02,29.09000015258789
2015-07-06,29.809999465942383
2015-07-07,29.350000381469727
2015-07-08,28.170000076293945
2015-07-09,27.860000610351562
2015-07-10,29.18000030517578
2015-07-13,28.739999771118164
2015-07-14,28.360000610351562
2015-07-15,28.010000228881836
2015-07-16,29.920000076293945
2015-07-17,29.959999084472656
2015-07-20,29.559999465942383
2015-07-21,29.40999984741211
2015-07-22,28.549999237060547
2015-07-23,28.329999923706055
2015-07-24,28.100000381469727
2015-07-27,27.6299991607666
2015-07-28,28.8799991607666
2015-07-29,29.850000381469727
2015-07-30,29.399999618530273
2015-07-31,29.790000915527344
2015-08-03,31.0
2015-08-04,31.020000457763672
2015-08-05,31.06999969482422
2015-08-06,31.59000015258789
2015-08-07,31.950000762939453
2015-08-10,32.029998779296875
2015-08-11,31.649999618530273
2015-08-12,31.790000915527344
2015-08-13,32.400001525878906
2015-08-14,32.5
2015-08-17,33.84000015258789
2015-08-18,32.630001068115234
2015-08-19,32.36000061035156
2015-08-20,32.279998779296875
2015-08-21,31.799999237060547
2015-08-24,30.540000915527344
2015-08-25,31.079999923706055
2015-08-26,31.239999771118164
2015-08-27,31.389999389648438
2015-08-28,31.40999984741211
2015-08-31,31.93000030517578
2015-09-01,31.559999465942383
2015-09-02,32.224998474121094
2015-09-03,31.93000030517578
2015-09-04,32.16999816894531
2015-09-08,32.06999969482422
2015-09-09,31.389999389648438
2015-09-10,31.8700008392334
2015-09-11,31.649999618530273
2015-09-14,31.5
2015-09-15,32.0
2015-09-16,32.540000915527344
2015-09-17,32.790000915527344
2015-09-18,32.52000045776367
2015-09-21,33.18000030517578
