,BSDE
2018-10-22,24.829999923706055
2018-10-23,24.829999923706055
2018-10-24,24.829999923706055
2018-10-25,24.829999923706055
2018-10-26,24.829999923706055
2018-10-29,24.829999923706055
2018-10-30,24.829999923706055
2018-10-31,24.829999923706055
2018-11-01,24.829999923706055
2018-11-02,24.829999923706055
2018-11-05,24.829999923706055
2018-11-06,24.829999923706055
2018-11-07,24.829999923706055
2018-11-08,24.829999923706055
2018-11-09,24.829999923706055
2018-11-12,24.829999923706055
2018-11-13,24.829999923706055
2018-11-14,24.790000915527344
2018-11-15,24.790000915527344
2018-11-16,24.790000915527344
2018-11-19,24.790000915527344
2018-11-20,24.790000915527344
2018-11-21,24.790000915527344
2018-11-23,24.790000915527344
2018-11-26,24.790000915527344
2018-11-27,24.790000915527344
2018-11-28,24.790000915527344
2018-11-29,24.790000915527344
2018-11-30,24.790000915527344
2018-12-03,24.790000915527344
2018-12-04,24.790000915527344
2018-12-06,24.790000915527344
2018-12-07,24.729999542236328
2018-12-10,24.700000762939453
2018-12-11,24.700000762939453
2018-12-12,24.670000076293945
2018-12-13,24.729999542236328
2018-12-14,24.75
2018-12-17,24.790000915527344
2018-12-18,24.84000015258789
2018-12-19,24.84000015258789
2018-12-20,24.809999465942383
2018-12-21,24.809999465942383
2018-12-24,24.809999465942383
2018-12-26,24.809999465942383
2018-12-27,24.809999465942383
2018-12-28,24.809999465942383
2018-12-31,24.809999465942383
2019-01-02,24.709999084472656
2019-01-03,24.719999313354492
2019-01-04,24.860000610351562
2019-01-07,24.860000610351562
2019-01-08,24.940000534057617
2019-01-09,25.049999237060547
2019-01-10,25.0
2019-01-11,25.0
2019-01-14,24.969999313354492
2019-01-15,24.969999313354492
2019-01-16,24.969999313354492
2019-01-17,24.969999313354492
2019-01-18,25.1200008392334
2019-01-22,25.040000915527344
2019-01-23,25.040000915527344
2019-01-24,25.200000762939453
2019-01-25,25.15999984741211
2019-01-28,25.18000030517578
2019-01-29,25.1200008392334
2019-01-30,25.25
2019-01-31,25.25
2019-02-01,25.329999923706055
2019-02-04,25.329999923706055
2019-02-05,25.40999984741211
2019-02-06,25.360000610351562
2019-02-07,25.360000610351562
2019-02-08,25.309999465942383
2019-02-11,25.309999465942383
2019-02-12,25.329999923706055
2019-02-13,25.329999923706055
2019-02-14,25.329999923706055
2019-02-15,25.3700008392334
2019-02-19,25.329999923706055
2019-02-20,25.260000228881836
2019-02-21,25.309999465942383
2019-02-22,25.329999923706055
2019-02-25,25.329999923706055
2019-02-26,25.420000076293945
2019-02-27,25.420000076293945
2019-02-28,25.389999389648438
2019-03-01,25.3799991607666
2019-03-04,25.43000030517578
2019-03-05,25.420000076293945
2019-03-06,25.40999984741211
2019-03-07,25.40999984741211
2019-03-08,25.420000076293945
2019-03-11,25.479999542236328
2019-03-12,25.520000457763672
2019-03-13,25.520000457763672
2019-03-14,25.520000457763672
2019-03-15,25.520000457763672
2019-03-18,25.489999771118164
2019-03-19,25.549999237060547
2019-03-20,25.6200008392334
2019-03-21,25.59000015258789
2019-03-22,25.56999969482422
2019-03-25,25.520000457763672
2019-03-26,25.6200008392334
2019-03-27,25.479999542236328
2019-03-28,25.579999923706055
2019-03-29,25.579999923706055
2019-04-01,25.579999923706055
2019-04-02,25.579999923706055
2019-04-03,25.579999923706055
2019-04-04,25.670000076293945
2019-04-05,25.65999984741211
2019-04-08,25.6299991607666
2019-04-09,25.649999618530273
2019-04-10,25.729999542236328
2019-04-11,25.729999542236328
2019-04-12,25.610000610351562
2019-04-15,25.719999313354492
2019-04-16,25.729999542236328
2019-04-17,25.729999542236328
2019-04-18,25.690000534057617
2019-04-22,25.56999969482422
2019-04-23,25.600000381469727
2019-04-24,25.600000381469727
2019-04-25,25.610000610351562
2019-04-26,25.59000015258789
2019-04-29,25.610000610351562
2019-04-30,25.670000076293945
2019-05-01,25.690000534057617
2019-05-02,25.649999618530273
2019-05-03,25.719999313354492
2019-05-06,25.690000534057617
2019-05-07,25.670000076293945
2019-05-08,25.68000030517578
2019-05-09,25.690000534057617
2019-05-10,25.690000534057617
2019-05-13,25.690000534057617
2019-05-14,25.68000030517578
2019-05-15,25.709999084472656
2019-05-16,25.729999542236328
2019-05-17,25.729999542236328
2019-05-20,25.6200008392334
2019-05-21,25.6200008392334
2019-05-22,25.6200008392334
2019-05-23,25.59000015258789
2019-05-24,25.600000381469727
2019-05-28,25.6299991607666
2019-05-29,25.639999389648438
2019-05-30,25.700000762939453
2019-05-31,25.68000030517578
2019-06-03,25.75
2019-06-04,25.719999313354492
2019-06-05,25.809999465942383
2019-06-06,25.829999923706055
2019-06-07,25.829999923706055
2019-06-10,25.829999923706055
2019-06-11,25.829999923706055
2019-06-12,25.90999984741211
2019-06-13,25.93000030517578
2019-06-14,25.93000030517578
2019-06-17,25.920000076293945
2019-06-18,25.979999542236328
2019-06-19,26.149999618530273
2019-06-20,26.280000686645508
2019-06-21,26.280000686645508
2019-06-24,26.110000610351562
2019-06-25,26.059999465942383
2019-06-26,26.170000076293945
2019-06-27,26.229999542236328
2019-06-28,26.290000915527344
2019-07-01,26.350000381469727
2019-07-02,26.299999237060547
2019-07-03,26.329999923706055
2019-07-05,26.209999084472656
2019-07-08,26.25
2019-07-09,26.239999771118164
2019-07-10,26.229999542236328
2019-07-11,26.239999771118164
2019-07-12,26.25
2019-07-15,26.270000457763672
2019-07-16,26.280000686645508
2019-07-17,26.299999237060547
2019-07-18,26.34000015258789
2019-07-19,26.309999465942383
2019-07-22,26.229999542236328
2019-07-23,26.270000457763672
