,FRHC
2018-02-07,8.0
2018-02-08,7.800000190734863
2018-02-09,7.800000190734863
2018-02-12,7.800000190734863
2018-02-13,7.900000095367432
2018-02-14,7.650000095367432
2018-02-15,7.75
2018-02-16,7.5
2018-02-20,7.789999961853027
2018-02-21,7.789999961853027
2018-02-22,7.789999961853027
2018-02-23,7.75
2018-02-26,7.800000190734863
2018-02-27,7.760000228881836
2018-02-28,7.769999980926514
2018-03-01,7.300000190734863
2018-03-02,7.659999847412109
2018-03-05,7.550000190734863
2018-03-06,7.550000190734863
2018-03-07,7.5
2018-03-08,7.800000190734863
2018-03-09,7.75
2018-03-12,7.699999809265137
2018-03-13,7.0
2018-03-14,7.0
2018-03-15,7.300000190734863
2018-03-16,7.5
2018-03-19,7.0
2018-03-20,7.0
2018-03-21,7.0
2018-03-22,7.070000171661377
2018-03-23,7.489999771118164
2018-03-26,7.489999771118164
2018-03-27,7.199999809265137
2018-03-28,6.449999809265137
2018-03-29,6.849999904632568
2018-04-02,6.849999904632568
2018-04-03,6.900000095367432
2018-04-04,7.25
2018-04-05,7.199999809265137
2018-04-06,7.050000190734863
2018-04-09,7.050000190734863
2018-04-10,7.059999942779541
2018-04-11,7.03000020980835
2018-04-12,7.130000114440918
2018-04-13,7.099999904632568
2018-04-16,7.0
2018-04-17,6.900000095367432
2018-04-18,6.800000190734863
2018-04-19,6.199999809265137
2018-04-20,6.349999904632568
2018-04-23,6.349999904632568
2018-04-24,6.389999866485596
2018-04-25,6.0
2018-04-26,6.0
2018-04-27,5.980000019073486
2018-04-30,6.199999809265137
2018-05-01,6.25
2018-05-02,6.25
2018-05-03,6.269999980926514
2018-05-04,6.150000095367432
2018-05-07,6.5
2018-05-08,6.5
2018-05-09,6.300000190734863
2018-05-10,6.599999904632568
2018-05-11,6.650000095367432
2018-05-14,6.599999904632568
2018-05-15,6.75
2018-05-16,6.800000190734863
2018-05-17,6.900000095367432
2018-05-18,7.0
2018-05-21,7.0
2018-05-22,6.949999809265137
2018-05-23,7.0
2018-05-24,7.150000095367432
2018-05-25,7.25
2018-05-29,7.199999809265137
2018-05-30,7.300000190734863
2018-05-31,7.25
2018-06-01,7.400000095367432
2018-06-04,7.400000095367432
2018-06-05,7.400000095367432
2018-06-06,7.460000038146973
2018-06-07,7.46999979019165
2018-06-08,7.460000038146973
2018-06-11,7.5
2018-06-12,7.599999904632568
2018-06-13,7.579999923706055
2018-06-14,7.599999904632568
2018-06-15,7.639999866485596
2018-06-18,7.650000095367432
2018-06-19,7.599999904632568
2018-06-20,7.599999904632568
2018-06-21,7.599999904632568
2018-06-22,7.599999904632568
2018-06-25,7.650000095367432
2018-06-26,7.650000095367432
2018-06-27,7.849999904632568
2018-06-28,7.449999809265137
2018-06-29,7.199999809265137
2018-07-02,7.099999904632568
2018-07-03,6.800000190734863
2018-07-05,6.699999809265137
2018-07-06,6.699999809265137
2018-07-09,6.5
2018-07-10,6.400000095367432
2018-07-11,6.300000190734863
2018-07-12,6.349999904632568
2018-07-13,6.300000190734863
2018-07-16,6.400000095367432
2018-07-17,6.400000095367432
2018-07-18,6.5
2018-07-19,6.650000095367432
2018-07-20,6.699999809265137
2018-07-23,6.699999809265137
2018-07-24,6.75
2018-07-25,6.75
2018-07-26,6.800000190734863
2018-07-27,6.800000190734863
2018-07-30,6.800000190734863
2018-07-31,6.802999973297119
2018-08-01,6.699999809265137
2018-08-02,6.650000095367432
2018-08-03,6.599999904632568
2018-08-06,6.599999904632568
2018-08-07,6.650000095367432
2018-08-08,6.699999809265137
2018-08-09,6.800000190734863
2018-08-10,6.849999904632568
2018-08-13,6.900000095367432
2018-08-14,6.909999847412109
2018-08-15,6.918000221252441
2018-08-16,6.920000076293945
2018-08-17,6.920000076293945
2018-08-20,6.921999931335449
2018-08-21,6.929999828338623
2018-08-22,6.96999979019165
2018-08-23,7.019999980926514
2018-08-24,7.050000190734863
2018-08-27,7.179999828338623
2018-08-28,7.21999979019165
2018-08-29,7.269999980926514
2018-08-30,7.170000076293945
2018-08-31,7.230000019073486
2018-09-04,7.21999979019165
2018-09-05,7.25
2018-09-06,7.340000152587891
2018-09-07,7.320000171661377
2018-09-10,7.329999923706055
2018-09-11,7.320000171661377
2018-09-12,7.25
2018-09-13,7.25
2018-09-14,7.139999866485596
2018-09-17,7.260000228881836
2018-09-18,7.25
2018-09-19,7.260000228881836
2018-09-20,7.300000190734863
2018-09-21,7.28000020980835
2018-09-24,7.449999809265137
2018-09-25,7.550000190734863
2018-09-26,7.900000095367432
2018-09-27,8.149999618530273
2018-09-28,8.449999809265137
2018-10-01,8.5
2018-10-02,8.520000457763672
2018-10-03,8.680000305175781
2018-10-04,8.680000305175781
2018-10-05,8.6899995803833
2018-10-08,8.680000305175781
2018-10-09,8.65999984741211
2018-10-10,8.399999618530273
2018-10-11,8.22700023651123
2018-10-12,8.449999809265137
2018-10-15,8.449999809265137
2018-10-16,8.779999732971191
2018-10-17,8.800000190734863
2018-10-18,8.550000190734863
2018-10-19,8.59000015258789
2018-10-22,8.529999732971191
2018-10-23,8.420000076293945
2018-10-24,8.260000228881836
2018-10-25,8.270000457763672
2018-10-26,8.079999923706055
2018-10-29,8.029999732971191
2018-10-30,8.270000457763672
2018-10-31,8.529999732971191
2018-11-01,8.699999809265137
2018-11-02,8.59000015258789
2018-11-05,8.6899995803833
2018-11-06,8.8100004196167
2018-11-07,9.199999809265137
2018-11-08,9.149999618530273
2018-11-09,8.880000114440918
2018-11-12,8.600000381469727
2018-11-13,8.59000015258789
2018-11-14,8.579999923706055
2018-11-15,8.770000457763672
2018-11-16,8.800000190734863
2018-11-19,8.5
2018-11-20,8.1899995803833
2018-11-21,8.319999694824219
2018-11-23,8.279999732971191
2018-11-26,8.59000015258789
2018-11-27,8.680000305175781
2018-11-28,9.0600004196167
2018-11-29,9.010000228881836
2018-11-30,9.260000228881836
2018-12-03,9.420000076293945
2018-12-04,9.09000015258789
2018-12-06,9.09000015258789
2018-12-07,8.729999542236328
2018-12-10,8.75
2018-12-11,8.819999694824219
2018-12-12,9.079999923706055
2018-12-13,9.09000015258789
2018-12-14,8.680000305175781
2018-12-17,8.220000267028809
2018-12-18,8.399999618530273
2018-12-19,8.350000381469727
2018-12-20,7.900000095367432
2018-12-21,7.579999923706055
2018-12-24,7.300000190734863
2018-12-26,8.0
2018-12-27,8.149999618530273
2018-12-28,8.149999618530273
2018-12-31,8.260000228881836
2019-01-02,8.279999732971191
2019-01-03,7.989999771118164
2019-01-04,8.529999732971191
2019-01-07,8.640000343322754
2019-01-08,8.819999694824219
2019-01-09,8.899999618530273
2019-01-10,8.989999771118164
2019-01-11,9.0
2019-01-14,8.949999809265137
