,EMIF
2009-06-19,24.520000457763672
2009-06-22,23.90999984741211
2009-06-23,23.829999923706055
2009-06-24,24.34000015258789
2009-06-25,24.450000762939453
2009-06-26,24.889999389648438
2009-06-29,24.90999984741211
2009-06-30,24.860000610351562
2009-07-01,25.170000076293945
2009-07-02,24.489999771118164
2009-07-06,24.31999969482422
2009-07-07,24.049999237060547
2009-07-08,23.25
2009-07-09,23.829999923706055
2009-07-10,23.739999771118164
2009-07-13,23.93000030517578
2009-07-14,24.209999084472656
2009-07-15,25.239999771118164
2009-07-16,25.510000228881836
2009-07-17,25.649999618530273
2009-07-20,26.469999313354492
2009-07-21,26.350000381469727
2009-07-22,26.420000076293945
2009-07-23,27.65999984741211
2009-07-24,26.799999237060547
2009-07-27,27.31999969482422
2009-07-28,27.290000915527344
2009-07-29,26.68000030517578
2009-07-30,26.8700008392334
2009-07-31,27.100000381469727
2009-08-03,28.65999984741211
2009-08-04,28.5
2009-08-05,28.510000228881836
2009-08-06,28.530000686645508
2009-08-07,28.25
2009-08-10,28.0
2009-08-11,27.889999389648438
2009-08-12,27.860000610351562
2009-08-13,27.700000762939453
2009-08-14,27.469999313354492
2009-08-17,26.40999984741211
2009-08-18,26.690000534057617
2009-08-19,26.489999771118164
2009-08-20,27.020000457763672
2009-08-21,27.56999969482422
2009-08-24,27.700000762939453
2009-08-25,27.459999084472656
2009-08-26,27.110000610351562
2009-08-27,27.010000228881836
2009-08-28,26.780000686645508
2009-08-31,26.190000534057617
2009-09-01,26.0
2009-09-02,25.860000610351562
2009-09-03,26.520000457763672
2009-09-04,27.100000381469727
2009-09-08,27.459999084472656
2009-09-09,27.559999465942383
2009-09-10,27.889999389648438
2009-09-11,27.969999313354492
2009-09-14,27.829999923706055
2009-09-15,27.799999237060547
2009-09-16,28.049999237060547
2009-09-17,28.280000686645508
2009-09-18,28.3799991607666
2009-09-21,28.1299991607666
2009-09-22,28.079999923706055
2009-09-23,28.479999542236328
2009-09-24,27.700000762939453
2009-09-25,27.729999542236328
2009-09-28,27.950000762939453
2009-09-29,28.049999237060547
2009-09-30,28.049999237060547
2009-10-01,27.440000534057617
