,CREE
1994-03-08,1.125
1994-03-09,1.140625
1994-03-10,1.125
1994-03-11,1.15625
1994-03-14,1.0625
1994-03-15,1.125
1994-03-16,1.125
1994-03-17,1.03125
1994-03-18,1.125
1994-03-21,1.03125
1994-03-22,1.03125
1994-03-23,1.0
1994-03-24,1.0625
1994-03-25,0.9375
1994-03-28,0.96875
1994-03-29,1.125
1994-03-30,1.03125
1994-03-31,1.03125
1994-04-04,1.03125
1994-04-05,1.0625
1994-04-06,0.90625
1994-04-07,1.03125
1994-04-08,1.09375
1994-04-11,1.09375
1994-04-12,1.09375
1994-04-13,0.9375
1994-04-14,0.9375
1994-04-15,1.0
1994-04-18,0.90625
1994-04-19,0.921875
1994-04-20,1.0
1994-04-21,0.90625
1994-04-22,0.90625
1994-04-25,0.90625
1994-04-26,0.875
1994-04-28,0.71875
1994-04-29,0.84375
1994-05-02,0.875
1994-05-03,0.71875
1994-05-04,0.78125
1994-05-05,0.875
1994-05-06,0.90625
1994-05-09,0.84375
1994-05-10,0.9316409826278687
1994-05-11,0.875
1994-05-12,0.90625
1994-05-13,0.9375
1994-05-16,0.875
1994-05-17,0.9375
1994-05-18,0.96875
1994-05-19,0.90625
1994-05-20,1.0
1994-05-23,1.0625
1994-05-24,1.15625
1994-05-25,1.125
1994-05-26,1.09375
1994-05-27,1.078125
1994-05-31,1.0
1994-06-01,0.96875
1994-06-02,1.09375
1994-06-03,0.96875
1994-06-06,0.9375
1994-06-07,0.9375
1994-06-08,0.90625
1994-06-09,0.921875
1994-06-10,0.96875
1994-06-13,0.96875
1994-06-14,0.875
1994-06-15,0.84375
1994-06-16,0.96875
1994-06-17,0.96875
1994-06-20,0.96875
1994-06-21,0.9375
1994-06-22,0.96875
1994-06-23,0.875
1994-06-24,0.9375
1994-06-27,0.90625
1994-06-28,1.0625
1994-06-29,1.03125
1994-06-30,1.3125
1994-07-01,1.0
1994-07-05,1.0
1994-07-06,1.03125
1994-07-07,1.0
1994-07-08,1.03125
1994-07-11,1.03125
1994-07-12,1.0
1994-07-13,1.0625
1994-07-14,1.09375
1994-07-15,1.125
1994-07-18,1.125
1994-07-19,1.03125
1994-07-20,1.03125
1994-07-21,1.125
1994-07-22,1.0625
1994-07-25,1.09375
1994-07-26,1.09375
1994-07-27,1.09375
1994-07-28,1.0
1994-07-29,1.09375
1994-08-01,0.96875
1994-08-02,1.0625
1994-08-03,1.09375
1994-08-04,1.125
1994-08-05,1.09375
1994-08-08,1.09375
1994-08-09,1.125
1994-08-10,1.125
1994-08-11,1.125
1994-08-12,1.09375
1994-08-15,1.09375
1994-08-16,1.15625
1994-08-17,1.21875
1994-08-18,1.125
1994-08-19,1.09375
1994-08-22,1.15625
1994-08-23,1.1875
1994-08-24,1.09375
1994-08-25,1.09375
1994-08-26,1.125
1994-08-29,1.1875
1994-08-30,1.1875
1994-08-31,1.1875
1994-09-01,1.125
1994-09-02,1.125
1994-09-06,1.1484379768371582
1994-09-07,1.1875
1994-09-08,1.25
1994-09-09,1.1875
1994-09-12,1.34375
1994-09-13,1.3125
1994-09-14,1.21875
1994-09-15,1.3125
1994-09-16,1.21875
1994-09-19,1.234375
1994-09-20,1.15625
1994-09-21,1.15625
1994-09-22,1.15625
1994-09-23,1.125
1994-09-26,1.0859379768371582
1994-09-27,1.09375
1994-09-28,1.09375
1994-09-29,1.09375
1994-09-30,1.09375
1994-10-03,1.03125
1994-10-04,1.0625
1994-10-05,1.09375
1994-10-06,1.09375
1994-10-07,1.125
1994-10-10,1.15625
1994-10-11,1.15625
1994-10-12,1.2109379768371582
1994-10-13,1.21875
1994-10-14,1.1875
1994-10-17,1.109375
1994-10-18,1.0625
1994-10-19,1.1875
1994-10-20,1.1875
1994-10-21,1.1875
1994-10-24,1.0625
1994-10-25,1.1875
1994-10-26,1.03125
1994-10-27,1.0625
1994-10-28,1.03125
1994-10-31,1.1875
1994-11-01,1.03125
1994-11-02,1.0625
1994-11-03,1.125
1994-11-04,1.03125
1994-11-07,1.15625
1994-11-08,1.125
1994-11-09,1.03125
1994-11-10,1.046875
1994-11-11,1.09375
1994-11-14,1.046875
1994-11-15,1.03125
1994-11-16,1.015625
1994-11-17,0.96875
1994-11-18,0.96875
1994-11-21,1.0
1994-11-22,0.96875
1994-11-23,1.0625
1994-11-25,0.96875
1994-11-28,1.0625
1994-11-29,1.03125
1994-11-30,1.0625
1994-12-01,1.03125
1994-12-02,0.96875
1994-12-05,0.96875
1994-12-06,0.96875
1994-12-07,0.96875
1994-12-08,0.96875
1994-12-09,0.9375
1994-12-12,0.90625
1994-12-13,0.96875
1994-12-14,0.90625
1994-12-15,0.90625
1994-12-16,0.9375
1994-12-19,0.90625
1994-12-20,0.90625
1994-12-21,0.96875
1994-12-22,0.96875
1994-12-23,0.9375
1994-12-27,0.9375
1994-12-28,0.9375
1994-12-29,0.9375
1994-12-30,1.03125
1995-01-03,0.90625
1995-01-04,0.9375
1995-01-05,0.9375
1995-01-06,1.03125
1995-01-09,1.0
1995-01-10,0.9375
1995-01-11,0.9140629768371582
1995-01-12,0.90625
1995-01-13,0.9375
1995-01-16,0.96875
1995-01-17,1.0
1995-01-18,1.0
1995-01-19,1.0
1995-01-20,1.0
1995-01-23,1.0
1995-01-24,1.0
1995-01-25,0.9375
1995-01-26,0.9375
1995-01-27,0.96875
1995-01-30,0.9375
1995-01-31,0.9375
1995-02-01,0.9375
1995-02-02,0.984375
1995-02-03,1.0
1995-02-06,1.03125
1995-02-07,1.03125
1995-02-08,1.03125
1995-02-09,0.9804689884185791
1995-02-10,0.96875
1995-02-13,1.0
1995-02-14,1.03125
1995-02-15,1.0
1995-02-16,1.015625
1995-02-17,0.9921879768371582
1995-02-21,0.953125
1995-02-22,0.9375
1995-02-23,0.90625
1995-02-24,0.75
1995-02-27,0.875
1995-02-28,0.84375
1995-03-01,0.875
1995-03-02,0.875
1995-03-03,0.890625
1995-03-06,0.875
1995-03-07,0.90625
1995-03-08,0.90625
