,CYCCP
2005-11-30,3.7200000286102295
2005-12-01,3.7200000286102295
2005-12-02,3.7200000286102295
2005-12-05,3.6600000858306885
2005-12-06,3.6600000858306885
2005-12-07,3.6600000858306885
2005-12-08,3.6600000858306885
2005-12-09,3.6600000858306885
2005-12-12,3.6600000858306885
2005-12-13,3.549999952316284
2005-12-14,3.5
2005-12-15,4.860000133514404
2005-12-16,4.0
2005-12-19,3.990000009536743
2005-12-20,3.9000000953674316
2005-12-21,3.8499999046325684
2005-12-22,3.8499999046325684
2005-12-23,3.8499999046325684
2005-12-27,4.289999961853027
2005-12-28,4.289999961853027
2005-12-29,4.230000019073486
2005-12-30,3.7100000381469727
2006-01-03,4.139999866485596
2006-01-04,4.150000095367432
2006-01-05,4.829999923706055
2006-01-06,5.079999923706055
2006-01-09,5.019999980926514
2006-01-10,4.900000095367432
2006-01-11,4.900000095367432
2006-01-12,4.900000095367432
2006-01-13,4.900000095367432
2006-01-17,4.840000152587891
2006-01-18,4.539999961853027
2006-01-19,4.840000152587891
2006-01-20,4.349999904632568
2006-01-23,4.400000095367432
2006-01-24,4.599999904632568
2006-01-25,4.400000095367432
2006-01-26,4.400000095367432
2006-01-27,4.400000095367432
2006-01-30,4.619999885559082
2006-01-31,4.619999885559082
2006-02-01,4.210000038146973
2006-02-02,4.210000038146973
2006-02-03,4.210000038146973
2006-02-06,4.800000190734863
2006-02-07,4.800000190734863
2006-02-08,4.800000190734863
2006-02-09,4.800000190734863
2006-02-10,4.679999828338623
2006-02-13,4.679999828338623
2006-02-14,5.099999904632568
2006-02-15,4.900000095367432
2006-02-16,4.900000095367432
2006-02-17,4.900000095367432
2006-02-21,4.900000095367432
2006-02-22,4.900000095367432
2006-02-23,4.900000095367432
2006-02-24,4.900000095367432
2006-02-27,4.900000095367432
2006-02-28,4.900000095367432
2006-03-01,4.900000095367432
2006-03-02,4.900000095367432
2006-03-03,4.900000095367432
2006-03-06,4.900000095367432
2006-03-07,4.900000095367432
2006-03-08,4.900000095367432
2006-03-09,4.900000095367432
2006-03-10,4.900000095367432
2006-03-13,4.900000095367432
2006-03-14,4.900000095367432
2006-03-15,4.900000095367432
2006-03-16,4.900000095367432
2006-03-17,4.900000095367432
2006-03-20,4.900000095367432
2006-03-21,4.900000095367432
2006-03-22,4.900000095367432
2006-03-23,4.199999809265137
2006-03-24,4.199999809265137
2006-03-27,4.199999809265137
2006-03-28,4.199999809265137
2006-03-29,4.199999809265137
2006-03-30,4.199999809265137
2006-03-31,6.5
2006-04-03,4.5
2006-04-04,4.5
2006-04-05,4.5
2006-04-06,4.5
2006-04-07,4.5
2006-04-10,4.0
2006-04-11,4.0
2006-04-12,4.0
2006-04-13,4.0
2006-04-17,4.449999809265137
2006-04-18,4.449999809265137
2006-04-19,4.449999809265137
2006-04-20,4.099999904632568
2006-04-21,4.099999904632568
2006-04-24,4.349999904632568
2006-04-25,4.349999904632568
2006-04-26,4.190000057220459
2006-04-27,4.130000114440918
2006-04-28,3.8499999046325684
2006-05-01,4.260000228881836
2006-05-02,4.400000095367432
2006-05-03,4.300000190734863
2006-05-04,4.300000190734863
2006-05-05,4.400000095367432
2006-05-08,4.400000095367432
2006-05-09,4.400000095367432
2006-05-10,4.400000095367432
2006-05-11,4.400000095367432
2006-05-12,4.400000095367432
2006-05-15,4.400000095367432
2006-05-16,4.400000095367432
2006-05-17,4.400000095367432
2006-05-18,4.400000095367432
2006-05-19,6.0
2006-05-22,4.5
2006-05-23,4.5
2006-05-24,4.5
2006-05-25,4.5
2006-05-26,4.5
2006-05-30,4.5
2006-05-31,4.5
2006-06-01,4.5
2006-06-02,4.5
2006-06-05,4.5
2006-06-06,4.5
2006-06-07,4.5
2006-06-08,4.5
2006-06-09,4.5
2006-06-12,4.5
2006-06-13,4.5
2006-06-14,4.5
2006-06-15,4.5
2006-06-16,4.5
2006-06-19,4.5
2006-06-20,4.5
2006-06-21,4.5
2006-06-22,4.5
2006-06-23,4.5
2006-06-26,4.5
2006-06-27,4.5
