,BLDP
1995-11-08,3.75
1995-11-09,3.75
1995-11-10,3.7916669845581055
1995-11-13,3.7708330154418945
1995-11-14,3.8333330154418945
1995-11-15,3.8333330154418945
1995-11-16,3.8333330154418945
1995-11-17,3.8333330154418945
1995-11-20,3.8333330154418945
1995-11-21,3.71875
1995-11-22,3.8333330154418945
1995-11-24,3.8333330154418945
1995-11-27,3.7916669845581055
1995-11-28,3.75
1995-11-29,3.75
1995-11-30,3.75
1995-12-01,3.75
1995-12-04,3.625
1995-12-05,3.7083330154418945
1995-12-06,3.625
1995-12-07,3.4583330154418945
1995-12-08,3.4166669845581055
1995-12-11,3.4166669845581055
1995-12-12,3.3645830154418945
1995-12-13,3.3645830154418945
1995-12-14,3.4166669845581055
1995-12-15,3.4166669845581055
1995-12-18,3.4166669845581055
1995-12-19,3.4166669845581055
1995-12-20,3.4166669845581055
1995-12-21,3.4583330154418945
1995-12-22,3.5
1995-12-26,3.5
1995-12-27,3.6666669845581055
1995-12-28,3.75
1995-12-29,3.75
1996-01-02,3.8333330154418945
1996-01-03,3.9166669845581055
1996-01-04,3.9166669845581055
1996-01-05,4.1666669845581055
1996-01-08,4.125
1996-01-09,4.25
1996-01-10,4.0833330154418945
1996-01-11,4.0833330154418945
1996-01-12,4.0833330154418945
1996-01-15,4.1666669845581055
1996-01-16,4.0
1996-01-17,4.2083330154418945
1996-01-18,4.2083330154418945
1996-01-19,4.25
1996-01-22,4.2760419845581055
1996-01-23,4.1666669845581055
1996-01-24,4.2916669845581055
1996-01-25,4.1666669845581055
1996-01-26,4.25
1996-01-29,4.25
1996-01-30,4.25
1996-01-31,4.25
1996-02-01,4.1875
1996-02-02,4.2916669845581055
1996-02-05,4.3333330154418945
1996-02-06,4.6666669845581055
1996-02-07,4.5833330154418945
1996-02-08,4.5625
1996-02-09,4.5833330154418945
1996-02-12,4.5416669845581055
1996-02-13,4.6666669845581055
1996-02-14,4.7916669845581055
1996-02-15,5.5
1996-02-16,5.5416669845581055
1996-02-20,5.5
1996-02-21,5.5416669845581055
1996-02-22,6.0
1996-02-23,6.625
1996-02-26,6.5833330154418945
1996-02-27,6.5
1996-02-28,5.9166669845581055
1996-02-29,5.5052080154418945
1996-03-01,5.4166669845581055
1996-03-04,5.7083330154418945
1996-03-05,5.7916669845581055
1996-03-06,5.625
1996-03-07,5.5833330154418945
1996-03-08,5.421875
1996-03-11,5.5416669845581055
1996-03-12,5.5833330154418945
1996-03-13,5.5833330154418945
1996-03-14,5.8333330154418945
1996-03-15,5.875
1996-03-18,6.0
1996-03-19,6.2916669845581055
1996-03-20,6.25
1996-03-21,6.2916669845581055
1996-03-22,6.25
1996-03-25,6.2916669845581055
1996-03-26,6.5
1996-03-27,6.625
1996-03-28,6.625
1996-03-29,6.5833330154418945
1996-04-01,6.75
1996-04-02,6.6666669845581055
1996-04-03,6.6666669845581055
1996-04-04,6.625
1996-04-08,6.6666669845581055
1996-04-09,6.7916669845581055
1996-04-10,6.9583330154418945
1996-04-11,6.9166669845581055
1996-04-12,6.7916669845581055
1996-04-15,6.7916669845581055
1996-04-16,6.9583330154418945
1996-04-17,6.9583330154418945
1996-04-18,6.9583330154418945
1996-04-19,7.0
1996-04-22,7.0
1996-04-23,6.9583330154418945
1996-04-24,6.9583330154418945
1996-04-25,7.0
1996-04-26,7.3333330154418945
1996-04-29,8.041666984558105
1996-04-30,8.125
1996-05-01,7.8333330154418945
1996-05-02,7.5416669845581055
1996-05-03,7.3333330154418945
1996-05-06,7.375
1996-05-07,7.625
1996-05-08,7.8333330154418945
1996-05-09,8.083333015441895
1996-05-10,8.083333015441895
1996-05-13,8.375
1996-05-14,8.833333015441895
1996-05-15,8.583333015441895
1996-05-16,8.583333015441895
1996-05-17,8.666666984558105
1996-05-20,8.541666984558105
1996-05-21,8.541666984558105
1996-05-22,8.333333015441895
1996-05-23,8.083333015441895
1996-05-24,8.166666984558105
1996-05-28,8.208333015441895
1996-05-29,8.166666984558105
1996-05-30,8.166666984558105
1996-05-31,8.083333015441895
1996-06-03,8.0
1996-06-04,8.125
1996-06-05,7.8541669845581055
1996-06-06,6.8333330154418945
1996-06-07,7.3333330154418945
1996-06-10,7.5833330154418945
1996-06-11,7.625
1996-06-12,7.5833330154418945
1996-06-13,7.4583330154418945
1996-06-14,7.4583330154418945
1996-06-17,7.4947919845581055
1996-06-18,7.5
1996-06-19,7.5833330154418945
1996-06-20,7.6666669845581055
1996-06-21,7.75
1996-06-24,7.8333330154418945
1996-06-25,7.75
1996-06-26,7.3333330154418945
1996-06-27,7.0416669845581055
1996-06-28,7.3333330154418945
1996-07-01,7.1666669845581055
1996-07-02,7.2916669845581055
1996-07-03,7.2916669845581055
1996-07-05,6.875
1996-07-08,6.5416669845581055
1996-07-09,6.8333330154418945
1996-07-10,6.7916669845581055
1996-07-11,6.9583330154418945
1996-07-12,6.7916669845581055
1996-07-15,6.8645830154418945
1996-07-16,6.4583330154418945
1996-07-17,6.625
1996-07-18,6.5
1996-07-19,6.8177080154418945
1996-07-22,7.0729169845581055
1996-07-23,7.0416669845581055
1996-07-24,7.0
1996-07-25,7.2083330154418945
1996-07-26,7.125
