,EXPO
1990-08-17,1.8125
1990-08-20,1.875
1990-08-21,1.890625
1990-08-22,1.96875
1990-08-23,1.875
1990-08-24,1.90625
1990-08-27,2.046875
1990-08-28,2.015625
1990-08-29,1.96875
1990-08-30,2.015625
1990-08-31,1.96875
1990-09-04,1.9375
1990-09-05,1.96875
1990-09-06,2.03125
1990-09-07,2.015625
1990-09-10,2.03125
1990-09-11,2.0
1990-09-12,1.96875
1990-09-13,1.90625
1990-09-14,1.90625
1990-09-17,1.9375
1990-09-18,1.90625
1990-09-19,1.9375
1990-09-20,1.96875
1990-09-21,2.03125
1990-09-24,1.9375
1990-09-25,1.953125
1990-09-26,1.9375
1990-09-27,1.953125
1990-09-28,1.90625
1990-10-01,1.90625
1990-10-02,2.109375
1990-10-03,2.078125
1990-10-04,2.03125
1990-10-05,2.0
1990-10-08,2.03125
1990-10-09,2.0
1990-10-10,1.96875
1990-10-11,2.0
1990-10-12,1.96875
1990-10-15,1.9375
1990-10-16,1.953125
1990-10-17,1.875
1990-10-18,1.96875
1990-10-19,1.9375
1990-10-22,2.21875
1990-10-23,2.1875
1990-10-24,2.1875
1990-10-25,2.28125
1990-10-26,2.21875
1990-10-29,2.15625
1990-10-30,2.125
1990-10-31,2.21875
1990-11-01,2.25
1990-11-02,2.1875
1990-11-05,2.15625
1990-11-06,2.09375
1990-11-07,2.09375
1990-11-08,1.9375
1990-11-09,2.015625
1990-11-12,2.21875
1990-11-13,2.1875
1990-11-14,2.1875
1990-11-15,2.25
1990-11-16,2.1875
1990-11-19,2.0
1990-11-20,2.0625
1990-11-21,2.09375
1990-11-23,2.09375
1990-11-26,2.0625
1990-11-27,2.09375
1990-11-28,2.09375
1990-11-29,2.0625
1990-11-30,2.125
1990-12-03,2.125
1990-12-04,2.15625
1990-12-05,2.15625
1990-12-06,2.28125
1990-12-07,2.28125
1990-12-10,2.25
1990-12-11,2.1875
1990-12-12,2.09375
1990-12-13,2.15625
1990-12-14,2.15625
1990-12-17,2.125
1990-12-18,2.25
1990-12-19,2.4375
1990-12-20,2.21875
1990-12-21,2.21875
1990-12-24,2.3125
1990-12-26,2.3125
1990-12-27,2.21875
1990-12-28,2.1875
1990-12-31,2.15625
1991-01-02,2.125
1991-01-03,2.15625
1991-01-04,2.09375
1991-01-07,2.0625
1991-01-08,2.078125
1991-01-09,2.15625
1991-01-10,2.21875
1991-01-11,2.21875
1991-01-14,2.25
1991-01-15,2.1875
1991-01-16,2.25
1991-01-17,2.28125
1991-01-18,2.1875
1991-01-21,2.28125
1991-01-22,2.28125
1991-01-23,2.28125
1991-01-24,2.375
1991-01-25,2.375
1991-01-28,2.40625
1991-01-29,2.46875
1991-01-30,2.46875
1991-01-31,2.53125
1991-02-01,2.5
1991-02-04,2.5625
1991-02-05,2.5
1991-02-06,2.53125
1991-02-07,2.625
1991-02-08,2.8125
1991-02-11,2.75
1991-02-12,3.0
1991-02-13,3.03125
1991-02-14,3.0
1991-02-15,2.9375
1991-02-19,3.0
1991-02-20,2.9375
1991-02-21,2.9375
1991-02-22,3.125
1991-02-25,3.078125
1991-02-26,2.96875
1991-02-27,3.0
1991-02-28,2.90625
1991-03-01,3.03125
1991-03-04,3.0625
1991-03-05,3.0
1991-03-06,3.09375
1991-03-07,2.96875
1991-03-08,3.0625
1991-03-11,2.96875
1991-03-12,2.9375
1991-03-13,3.375
1991-03-14,3.390625
1991-03-15,3.375
1991-03-18,3.34375
1991-03-19,3.34375
1991-03-20,3.4375
1991-03-21,3.375
1991-03-22,3.34375
1991-03-25,3.40625
1991-03-26,3.40625
1991-03-27,3.375
1991-03-28,3.375
1991-04-01,3.375
1991-04-02,3.46875
1991-04-03,3.65625
1991-04-04,3.65625
1991-04-05,3.625
1991-04-08,3.59375
1991-04-09,3.6875
1991-04-10,3.59375
1991-04-11,3.59375
1991-04-12,3.53125
1991-04-15,3.578125
1991-04-16,3.65625
1991-04-17,3.5625
1991-04-18,3.40625
1991-04-19,3.375
1991-04-22,3.3125
1991-04-23,3.3125
1991-04-24,3.3125
1991-04-25,3.34375
1991-04-26,3.375
1991-04-29,3.3125
1991-04-30,3.40625
1991-05-01,3.484375
1991-05-02,3.5625
1991-05-03,3.5
1991-05-06,3.5
