,BUG
2019-11-01,15.9399995803833
2019-11-04,15.920000076293945
2019-11-05,15.890000343322754
2019-11-06,16.030000686645508
2019-11-07,16.010000228881836
2019-11-08,16.347000122070312
2019-11-11,16.420000076293945
2019-11-12,16.56999969482422
2019-11-13,16.610000610351562
2019-11-14,16.68000030517578
2019-11-15,16.75
2019-11-18,16.915000915527344
2019-11-19,17.135000228881836
2019-11-20,17.010000228881836
2019-11-21,17.045000076293945
2019-11-22,17.049999237060547
2019-11-25,17.299999237060547
2019-11-26,17.170000076293945
2019-11-27,17.2450008392334
2019-11-29,17.249000549316406
2019-12-02,16.96500015258789
2019-12-03,16.90999984741211
2019-12-04,16.885000228881836
2019-12-05,16.82699966430664
2019-12-06,16.799999237060547
2019-12-09,16.65999984741211
2019-12-10,16.614999771118164
2019-12-11,16.4950008392334
2019-12-12,16.489999771118164
2019-12-13,16.670000076293945
2019-12-16,16.78499984741211
2019-12-17,16.719999313354492
2019-12-18,16.71500015258789
2019-12-19,16.84000015258789
2019-12-20,16.709999084472656
2019-12-23,16.822999954223633
2019-12-24,16.8700008392334
2019-12-26,16.940000534057617
2019-12-27,16.844999313354492
2019-12-30,16.6200008392334
2019-12-31,16.635000228881836
2020-01-02,16.881999969482422
2020-01-03,16.950000762939453
2020-01-06,17.315000534057617
2020-01-07,17.40999984741211
2020-01-08,17.579999923706055
2020-01-09,17.6299991607666
2020-01-10,17.690000534057617
2020-01-13,17.965999603271484
2020-01-14,17.94499969482422
2020-01-15,18.08099937438965
2020-01-16,18.260000228881836
2020-01-17,18.135000228881836
2020-01-21,18.079999923706055
2020-01-22,18.1200008392334
2020-01-23,18.114999771118164
2020-01-24,18.110000610351562
2020-01-27,17.719999313354492
2020-01-28,17.797000885009766
2020-01-29,17.809999465942383
2020-01-30,17.799999237060547
2020-01-31,17.600000381469727
2020-02-03,17.74799919128418
2020-02-04,18.125999450683594
2020-02-05,18.062999725341797
2020-02-06,18.18000030517578
2020-02-07,18.209999084472656
2020-02-10,18.360000610351562
2020-02-11,18.25
2020-02-12,18.038999557495117
2020-02-13,18.049999237060547
2020-02-14,18.1299991607666
2020-02-18,18.155000686645508
2020-02-19,18.270000457763672
