,FDMT
2020-12-11,40.5
2020-12-14,40.5
2020-12-15,39.54999923706055
2020-12-16,38.43000030517578
2020-12-17,39.939998626708984
2020-12-18,47.36000061035156
2020-12-21,45.040000915527344
2020-12-22,40.630001068115234
2020-12-23,38.66999816894531
2020-12-24,40.0099983215332
2020-12-28,42.970001220703125
2020-12-29,41.2400016784668
2020-12-30,41.63999938964844
2020-12-31,41.45000076293945
2021-01-04,37.689998626708984
2021-01-05,36.439998626708984
2021-01-06,36.20000076293945
2021-01-07,41.95000076293945
2021-01-08,44.20000076293945
2021-01-11,41.41999816894531
2021-01-12,43.439998626708984
2021-01-13,44.04999923706055
2021-01-14,46.0
2021-01-15,45.880001068115234
2021-01-19,48.97999954223633
2021-01-20,47.0
2021-01-21,46.709999084472656
2021-01-22,47.41999816894531
2021-01-25,47.0099983215332
2021-01-26,46.79999923706055
2021-01-27,43.0099983215332
2021-01-28,42.0
2021-01-29,42.36000061035156
2021-02-01,43.41999816894531
2021-02-02,45.7400016784668
2021-02-03,46.20000076293945
2021-02-04,49.9900016784668
2021-02-05,50.0
2021-02-08,48.25
2021-02-09,47.209999084472656
2021-02-10,48.880001068115234
2021-02-11,52.66999816894531
2021-02-12,44.90999984741211
2021-02-16,45.220001220703125
2021-02-17,45.56999969482422
2021-02-18,42.959999084472656
2021-02-19,43.08000183105469
2021-02-22,44.459999084472656
2021-02-23,40.540000915527344
2021-02-24,42.47999954223633
2021-02-25,43.290000915527344
2021-02-26,41.97999954223633
2021-03-01,43.09000015258789
2021-03-02,42.68000030517578
2021-03-03,40.5099983215332
2021-03-04,40.79999923706055
2021-03-05,44.91999816894531
2021-03-08,41.65999984741211
2021-03-09,49.13999938964844
2021-03-10,51.38999938964844
2021-03-11,50.75
2021-03-12,50.380001068115234
2021-03-15,49.060001373291016
2021-03-16,48.709999084472656
2021-03-17,45.54999923706055
2021-03-18,42.13999938964844
2021-03-19,43.68000030517578
2021-03-22,43.400001525878906
2021-03-23,42.79999923706055
2021-03-24,40.0
2021-03-25,39.529998779296875
2021-03-26,38.099998474121094
2021-03-29,35.939998626708984
2021-03-30,38.54999923706055
2021-03-31,43.380001068115234
2021-04-01,40.040000915527344
2021-04-05,41.38999938964844
2021-04-06,42.290000915527344
2021-04-07,40.22999954223633
2021-04-08,40.58000183105469
2021-04-09,37.689998626708984
2021-04-12,34.41999816894531
2021-04-13,35.7400016784668
2021-04-14,37.68000030517578
2021-04-15,36.279998779296875
2021-04-16,33.20000076293945
2021-04-19,33.0
2021-04-20,31.93000030517578
2021-04-21,33.25
2021-04-22,34.869998931884766
2021-04-23,34.04999923706055
2021-04-26,36.81999969482422
2021-04-27,37.79999923706055
2021-04-28,38.060001373291016
2021-04-29,38.36000061035156
2021-04-30,38.70000076293945
2021-05-03,37.5
2021-05-04,35.83000183105469
2021-05-05,34.810001373291016
2021-05-06,33.58000183105469
2021-05-07,32.79999923706055
2021-05-10,30.010000228881836
2021-05-11,29.299999237060547
2021-05-12,27.56999969482422
2021-05-13,26.420000076293945
2021-05-14,26.5
