,FBIOP
2017-11-14,24.25
2017-11-15,24.350000381469727
2017-11-16,24.270000457763672
2017-11-17,24.329999923706055
2017-11-20,24.14299964904785
2017-11-21,23.760000228881836
2017-11-22,23.950000762939453
2017-11-24,23.950000762939453
2017-11-27,23.799999237060547
2017-11-28,23.795000076293945
2017-11-29,23.670000076293945
2017-11-30,23.200000762939453
2017-12-01,23.0
2017-12-04,22.889999389648438
2017-12-05,23.989999771118164
2017-12-06,23.5
2017-12-07,23.49799919128418
2017-12-08,23.489999771118164
2017-12-11,23.652999877929688
2017-12-12,22.790000915527344
2017-12-13,23.729999542236328
2017-12-14,23.399999618530273
2017-12-15,23.690000534057617
2017-12-18,23.399999618530273
2017-12-19,21.700000762939453
2017-12-20,21.25
2017-12-21,20.469999313354492
2017-12-22,21.040000915527344
2017-12-26,20.729999542236328
2017-12-27,21.18000030517578
2017-12-28,22.450000762939453
2017-12-29,22.75
2018-01-02,22.097000122070312
2018-01-03,22.097000122070312
2018-01-04,22.34600067138672
2018-01-05,22.8799991607666
2018-01-08,22.5049991607666
2018-01-09,22.405000686645508
2018-01-10,22.549999237060547
2018-01-11,22.690000534057617
2018-01-12,22.69700050354004
2018-01-16,22.961000442504883
2018-01-17,22.014999389648438
2018-01-18,22.149999618530273
2018-01-19,22.440000534057617
2018-01-22,22.950000762939453
2018-01-23,22.365999221801758
2018-01-24,22.323999404907227
2018-01-25,22.049999237060547
2018-01-26,22.399999618530273
2018-01-29,21.780000686645508
2018-01-30,21.780000686645508
2018-01-31,21.586999893188477
2018-02-01,21.729999542236328
2018-02-02,20.885000228881836
2018-02-05,20.850000381469727
2018-02-06,21.0
2018-02-07,20.447999954223633
2018-02-08,20.229999542236328
2018-02-09,21.53499984741211
2018-02-12,20.525999069213867
2018-02-13,20.5
2018-02-14,20.510000228881836
2018-02-15,21.149999618530273
2018-02-16,22.059999465942383
2018-02-20,22.084999084472656
2018-02-21,22.229000091552734
2018-02-22,22.350000381469727
2018-02-23,22.350000381469727
2018-02-26,22.350000381469727
2018-02-27,22.43600082397461
2018-02-28,22.739999771118164
2018-03-01,22.600000381469727
2018-03-02,23.0
2018-03-05,23.1299991607666
2018-03-06,22.760000228881836
2018-03-07,23.097999572753906
2018-03-08,23.67300033569336
2018-03-09,21.954999923706055
2018-03-12,23.719999313354492
2018-03-13,23.898000717163086
2018-03-14,22.700000762939453
2018-03-15,23.0
2018-03-16,23.0
2018-03-19,22.25
2018-03-20,22.62299919128418
2018-03-21,22.40999984741211
2018-03-22,22.399999618530273
2018-03-23,22.100000381469727
2018-03-26,22.950000762939453
2018-03-27,22.709999084472656
2018-03-28,22.709999084472656
2018-03-29,23.200000762939453
2018-04-02,22.81800079345703
2018-04-03,22.81800079345703
2018-04-04,22.81800079345703
2018-04-05,22.81800079345703
2018-04-06,22.0
2018-04-09,22.79400062561035
2018-04-10,22.260000228881836
2018-04-11,22.260000228881836
2018-04-12,22.594999313354492
2018-04-13,22.299999237060547
2018-04-16,22.625
2018-04-17,22.0
2018-04-18,22.39299964904785
2018-04-19,22.39299964904785
2018-04-20,22.39299964904785
2018-04-23,22.799999237060547
2018-04-24,22.8799991607666
2018-04-25,22.799999237060547
2018-04-26,22.2810001373291
2018-04-27,22.290000915527344
2018-04-30,22.149999618530273
2018-05-01,22.899999618530273
2018-05-02,22.899999618530273
2018-05-03,22.4950008392334
2018-05-04,21.790000915527344
2018-05-07,23.0
2018-05-08,21.889999389648438
2018-05-09,22.190000534057617
2018-05-10,22.15999984741211
2018-05-11,21.799999237060547
2018-05-14,22.12299919128418
2018-05-15,21.799999237060547
2018-05-16,22.219999313354492
2018-05-17,22.69499969482422
2018-05-18,22.780000686645508
2018-05-21,22.75
2018-05-22,22.36400032043457
2018-05-23,22.059999465942383
2018-05-24,22.0
2018-05-25,22.0
2018-05-29,22.31800079345703
2018-05-30,22.770000457763672
2018-05-31,22.459999084472656
2018-06-01,22.0
2018-06-04,22.43899917602539
2018-06-05,22.722000122070312
2018-06-06,22.010000228881836
2018-06-07,22.0
2018-06-08,21.940000534057617
2018-06-11,21.75
2018-06-12,21.559999465942383
2018-06-13,21.670000076293945
2018-06-14,21.389999389648438
2018-06-15,21.600000381469727
2018-06-18,21.625
2018-06-19,21.760000228881836
2018-06-20,21.75
2018-06-21,21.649999618530273
2018-06-22,21.474000930786133
2018-06-25,22.0
2018-06-26,21.600000381469727
2018-06-27,20.790000915527344
2018-06-28,20.709999084472656
