,BPRN
2017-05-31,32.61000061035156
2017-06-01,33.0
2017-06-02,33.0
2017-06-05,33.0
2017-06-06,33.0
2017-06-07,33.0
2017-06-08,33.0
2017-06-09,33.0
2017-06-12,33.0
2017-06-13,33.0
2017-06-14,33.0
2017-06-15,33.0
2017-06-16,33.0
2017-06-19,33.0
2017-06-20,33.0
2017-06-21,33.0
2017-06-22,33.0
2017-06-23,33.0
2017-06-26,33.0
2017-06-27,33.0
2017-06-28,33.0
2017-06-29,33.0
2017-06-30,33.0
2017-07-03,33.0
2017-07-05,33.0
2017-07-06,33.0
2017-07-07,33.0
2017-07-10,33.0
2017-07-11,33.0
2017-07-12,33.0
2017-07-13,33.0
2017-07-14,33.0
2017-07-17,33.0
2017-07-18,33.0
2017-07-19,33.0
2017-07-20,33.0
2017-07-21,33.0
2017-07-24,33.25
2017-07-25,33.5
2017-07-26,33.5
2017-07-27,33.5
2017-07-28,33.5
2017-07-31,38.25
2017-08-01,33.2599983215332
2017-08-02,32.91999816894531
2017-08-03,32.25
2017-08-04,32.0
2017-08-07,31.899999618530273
2017-08-08,31.899999618530273
2017-08-09,31.600000381469727
2017-08-10,31.700000762939453
2017-08-11,31.90999984741211
2017-08-14,31.899999618530273
2017-08-15,32.119998931884766
2017-08-16,32.04999923706055
2017-08-17,32.0
2017-08-18,32.5
2017-08-21,32.25
2017-08-22,32.0
2017-08-23,32.0
2017-08-24,32.400001525878906
2017-08-25,32.25
2017-08-28,32.5
2017-08-29,32.5
2017-08-30,32.5
2017-08-31,31.700000762939453
2017-09-01,31.100000381469727
2017-09-05,32.29999923706055
2017-09-06,32.29999923706055
2017-09-07,31.399999618530273
2017-09-08,31.600000381469727
2017-09-11,31.950000762939453
2017-09-12,32.029998779296875
2017-09-13,31.600000381469727
2017-09-14,31.31999969482422
2017-09-15,29.989999771118164
2017-09-18,30.25
2017-09-19,30.260000228881836
2017-09-20,30.440000534057617
2017-09-21,31.0
2017-09-22,31.399999618530273
2017-09-25,30.540000915527344
2017-09-26,30.559999465942383
2017-09-27,31.389999389648438
2017-09-28,31.479999542236328
2017-09-29,31.989999771118164
2017-10-02,32.099998474121094
2017-10-03,31.100000381469727
2017-10-04,32.099998474121094
2017-10-05,32.099998474121094
2017-10-06,32.099998474121094
2017-10-09,32.099998474121094
2017-10-10,32.099998474121094
2017-10-11,32.0
2017-10-12,31.600000381469727
2017-10-13,31.899999618530273
2017-10-16,32.09000015258789
2017-10-17,31.899999618530273
2017-10-18,32.04999923706055
2017-10-19,31.8799991607666
2017-10-20,31.780000686645508
2017-10-23,32.02000045776367
2017-10-24,32.08000183105469
2017-10-25,32.099998474121094
2017-10-26,32.29999923706055
2017-10-27,32.29999923706055
2017-10-30,32.79999923706055
2017-10-31,33.5
2017-11-01,33.599998474121094
2017-11-02,33.72999954223633
2017-11-03,33.54999923706055
2017-11-06,33.29999923706055
2017-11-07,33.10499954223633
2017-11-08,33.20000076293945
2017-11-09,32.099998474121094
2017-11-10,32.709999084472656
2017-11-13,32.939998626708984
2017-11-14,32.0099983215332
2017-11-15,32.75
2017-11-16,32.91999816894531
2017-11-17,32.7400016784668
2017-11-20,32.209999084472656
2017-11-21,32.220001220703125
2017-11-22,32.2400016784668
2017-11-24,32.900001525878906
2017-11-27,32.709999084472656
2017-11-28,32.599998474121094
2017-11-29,32.43000030517578
2017-11-30,33.25
2017-12-01,33.47999954223633
2017-12-04,34.5
2017-12-05,34.650001525878906
2017-12-06,34.29999923706055
2017-12-07,34.47999954223633
2017-12-08,34.459999084472656
2017-12-11,33.90700149536133
2017-12-12,34.09000015258789
2017-12-13,33.709999084472656
2017-12-14,34.5
2017-12-15,34.310001373291016
2017-12-18,34.5
2017-12-19,34.5
2017-12-20,34.45000076293945
2017-12-21,34.4900016784668
2017-12-22,34.459999084472656
2017-12-26,34.25
2017-12-27,34.369998931884766
2017-12-28,33.880001068115234
2017-12-29,34.34000015258789
2018-01-02,33.970001220703125
2018-01-03,33.650001525878906
2018-01-04,33.220001220703125
2018-01-05,33.040000915527344
2018-01-08,32.79999923706055
2018-01-09,32.970001220703125
2018-01-10,33.0
2018-01-11,33.0
2018-01-12,32.970001220703125
2018-01-16,33.38999938964844
2018-01-17,32.959999084472656
2018-01-18,32.869998931884766
2018-01-19,32.5099983215332
2018-01-22,32.75
2018-01-23,32.709999084472656
2018-01-24,32.849998474121094
2018-01-25,32.75
2018-01-26,32.900001525878906
2018-01-29,32.7599983215332
2018-01-30,32.79999923706055
2018-01-31,32.79999923706055
2018-02-01,32.5099983215332
2018-02-02,32.4900016784668
2018-02-05,32.06999969482422
2018-02-06,32.70000076293945
2018-02-07,32.0
2018-02-08,31.850000381469727
2018-02-09,32.0
2018-02-12,31.639999389648438
2018-02-13,32.439998626708984
2018-02-14,32.400001525878906
2018-02-15,32.560001373291016
2018-02-16,32.709999084472656
2018-02-20,32.22999954223633
2018-02-21,32.599998474121094
2018-02-22,32.5
2018-02-23,32.599998474121094
2018-02-26,32.599998474121094
2018-02-27,32.459999084472656
2018-02-28,32.529998779296875
2018-03-01,32.900001525878906
2018-03-02,32.810001373291016
2018-03-05,32.75
2018-03-06,32.29999923706055
2018-03-07,32.75
2018-03-08,32.73500061035156
2018-03-09,32.84000015258789
2018-03-12,32.779998779296875
2018-03-13,32.91999816894531
2018-03-14,32.34000015258789
2018-03-15,32.79999923706055
2018-03-16,32.95000076293945
2018-03-19,33.0
2018-03-20,33.7599983215332
2018-03-21,34.56999969482422
2018-03-22,33.7599983215332
2018-03-23,34.0
2018-03-26,33.75
2018-03-27,34.099998474121094
2018-03-28,33.474998474121094
2018-03-29,34.5
2018-04-02,34.45000076293945
2018-04-03,34.02000045776367
2018-04-04,34.4900016784668
