,APM
2019-07-25,21.790000915527344
2019-07-26,22.3799991607666
2019-07-29,21.947999954223633
2019-07-30,22.239999771118164
2019-07-31,21.850000381469727
2019-08-01,20.378999710083008
2019-08-02,19.84000015258789
2019-08-05,15.0
2019-08-06,18.865999221801758
2019-08-07,17.493000030517578
2019-08-08,17.549999237060547
2019-08-09,17.0
2019-08-12,17.0
2019-08-13,15.899999618530273
2019-08-14,15.979999542236328
2019-08-15,16.450000762939453
2019-08-16,16.290000915527344
2019-08-19,16.128999710083008
2019-08-20,16.0
2019-08-21,16.0
2019-08-22,16.197999954223633
2019-08-23,16.0
2019-08-26,16.047000885009766
2019-08-27,16.08799934387207
2019-08-28,16.100000381469727
2019-08-29,16.25
2019-08-30,16.489999771118164
2019-09-03,16.459999084472656
2019-09-04,15.928000450134277
2019-09-05,16.100000381469727
2019-09-06,15.850000381469727
2019-09-09,16.5
2019-09-10,16.719999313354492
2019-09-11,16.739999771118164
2019-09-12,16.5
2019-09-13,16.450000762939453
2019-09-16,16.959999084472656
2019-09-17,16.985000610351562
2019-09-18,16.850000381469727
2019-09-19,16.780000686645508
2019-09-20,16.739999771118164
2019-09-23,16.280000686645508
2019-09-24,16.139999389648438
2019-09-25,16.440000534057617
2019-09-26,16.020000457763672
2019-09-27,15.91100025177002
2019-09-30,16.510000228881836
2019-10-01,15.9399995803833
2019-10-02,16.18000030517578
2019-10-03,15.579999923706055
2019-10-04,15.984000205993652
2019-10-07,16.5
2019-10-08,16.2549991607666
2019-10-09,16.040000915527344
2019-10-10,16.513999938964844
2019-10-11,15.979999542236328
2019-10-14,15.800000190734863
2019-10-15,16.100000381469727
2019-10-16,16.045000076293945
2019-10-17,15.949999809265137
2019-10-18,15.8149995803833
2019-10-21,15.989999771118164
2019-10-22,16.0
2019-10-23,15.869999885559082
2019-10-24,16.0
2019-10-25,15.850000381469727
2019-10-28,15.729000091552734
2019-10-29,15.729999542236328
2019-10-30,15.760000228881836
2019-10-31,15.890000343322754
2019-11-01,15.779999732971191
2019-11-04,15.789999961853027
2019-11-05,15.760000228881836
2019-11-06,15.75
2019-11-07,15.774999618530273
2019-11-08,15.758000373840332
2019-11-11,15.829999923706055
2019-11-12,15.680000305175781
2019-11-13,15.680000305175781
2019-11-14,15.710000038146973
2019-11-15,15.850000381469727
2019-11-18,15.899999618530273
2019-11-19,15.779999732971191
2019-11-20,15.770000457763672
2019-11-21,15.770000457763672
2019-11-22,15.579999923706055
2019-11-25,15.34000015258789
2019-11-26,15.694000244140625
2019-11-27,15.479999542236328
2019-11-29,15.479999542236328
2019-12-02,15.279999732971191
2019-12-03,15.199999809265137
2019-12-04,15.1899995803833
2019-12-05,15.180000305175781
2019-12-06,15.180000305175781
2019-12-09,15.079999923706055
2019-12-10,15.210000038146973
2019-12-11,15.262999534606934
2019-12-12,15.050000190734863
2019-12-13,15.229999542236328
2019-12-16,15.100000381469727
2019-12-17,13.75
2019-12-18,14.460000038146973
2019-12-19,14.109999656677246
2019-12-20,14.25
2019-12-23,14.350000381469727
2019-12-24,14.449999809265137
2019-12-26,14.5
2019-12-27,14.300000190734863
2019-12-30,14.100000381469727
2019-12-31,15.850000381469727
2020-01-02,13.65999984741211
2020-01-03,14.729999542236328
2020-01-06,14.75
2020-01-07,14.8100004196167
2020-01-08,14.75
2020-01-09,14.25
2020-01-10,14.180000305175781
2020-01-13,14.399999618530273
2020-01-14,14.180000305175781
2020-01-15,14.449999809265137
2020-01-16,14.069999694824219
2020-01-17,14.420000076293945
2020-01-21,14.77299976348877
2020-01-22,14.710000038146973
2020-01-23,14.890000343322754
2020-01-24,15.069999694824219
2020-01-27,14.779999732971191
2020-01-28,14.630000114440918
2020-01-29,14.989999771118164
2020-01-30,14.880000114440918
2020-01-31,14.539999961853027
2020-02-03,14.569999694824219
2020-02-04,14.899999618530273
2020-02-05,14.710000038146973
2020-02-06,14.550000190734863
2020-02-07,14.527000427246094
2020-02-10,15.699999809265137
2020-02-11,15.3100004196167
2020-02-12,15.770000457763672
2020-02-13,16.0
2020-02-14,15.34000015258789
2020-02-18,15.460000038146973
2020-02-19,15.720000267028809
2020-02-20,14.75
2020-02-21,14.449999809265137
2020-02-24,14.039999961853027
2020-02-25,14.399999618530273
2020-02-26,6.699999809265137
2020-02-27,6.300000190734863
2020-02-28,6.0
2020-03-02,5.820000171661377
2020-03-03,5.639999866485596
2020-03-04,4.949999809265137
2020-03-05,4.199999809265137
2020-03-06,4.119999885559082
2020-03-09,3.4700000286102295
2020-03-10,3.3450000286102295
2020-03-11,2.930000066757202
2020-03-12,2.569999933242798
2020-03-13,2.6500000953674316
2020-03-16,2.119999885559082
2020-03-17,2.059999942779541
2020-03-18,2.3299999237060547
2020-03-19,2.48799991607666
2020-03-20,2.680000066757202
2020-03-23,2.299999952316284
2020-03-24,2.4100000858306885
2020-03-25,2.5899999141693115
2020-03-26,2.7200000286102295
2020-03-27,2.799999952316284
2020-03-30,3.009999990463257
2020-03-31,3.6500000953674316
2020-04-01,3.859999895095825
2020-04-02,3.1649999618530273
2020-04-03,2.809999942779541
2020-04-06,2.930000066757202
2020-04-07,2.859999895095825
2020-04-08,3.0299999713897705
2020-04-09,3.049999952316284
2020-04-13,3.059999942779541
2020-04-14,3.640000104904175
2020-04-15,3.5799999237060547
2020-04-16,3.2699999809265137
2020-04-17,3.619999885559082
2020-04-20,3.4000000953674316
2020-04-21,3.359999895095825
2020-04-22,3.2300000190734863
2020-04-23,3.246000051498413
2020-04-24,3.509999990463257
2020-04-27,3.496000051498413
2020-04-28,3.4000000953674316
2020-04-29,3.630000114440918
2020-04-30,3.4600000381469727
2020-05-01,3.183000087738037
2020-05-04,3.319999933242798
2020-05-05,3.1649999618530273
2020-05-06,3.135999917984009
2020-05-07,3.2100000381469727
2020-05-08,3.200000047683716
2020-05-11,3.049999952316284
2020-05-12,3.190000057220459
2020-05-13,3.4079999923706055
2020-05-14,3.430000066757202
2020-05-15,3.1600000858306885
2020-05-18,3.200000047683716
2020-05-19,3.259999990463257
2020-05-20,3.1700000762939453
2020-05-21,3.130000114440918
2020-05-22,3.1600000858306885
2020-05-26,3.069999933242798
2020-05-27,3.1500000953674316
2020-05-28,3.0799999237060547
2020-05-29,3.078000068664551
2020-06-01,3.0799999237060547
2020-06-02,3.119999885559082
2020-06-03,3.140000104904175
2020-06-04,3.1459999084472656
2020-06-05,3.3499999046325684
2020-06-08,3.5739998817443848
2020-06-09,4.699999809265137
2020-06-10,4.199999809265137
2020-06-11,3.5999999046325684
2020-06-12,3.75
2020-06-15,4.190000057220459
2020-06-16,3.819000005722046
2020-06-17,3.9100000858306885
2020-06-18,4.179999828338623
2020-06-19,4.260000228881836
2020-06-22,4.260000228881836
2020-06-23,4.079999923706055
2020-06-24,3.740000009536743
2020-06-25,3.4100000858306885
2020-06-26,3.5
2020-06-29,3.630000114440918
2020-06-30,3.7899999618530273
2020-07-01,3.7799999713897705
2020-07-02,3.809999942779541
2020-07-06,3.5999999046325684
2020-07-07,3.4000000953674316
2020-07-08,3.450000047683716
2020-07-09,3.440000057220459
2020-07-10,3.4700000286102295
2020-07-13,3.259999990463257
2020-07-14,3.119999885559082
2020-07-15,3.3499999046325684
2020-07-16,3.440000057220459
2020-07-17,3.700000047683716
2020-07-20,3.5
2020-07-21,3.6500000953674316
2020-07-22,3.759999990463257
2020-07-23,3.7200000286102295
2020-07-24,3.619999885559082
2020-07-27,3.4100000858306885
2020-07-28,3.5
2020-07-29,3.7200000286102295
2020-07-30,3.740000009536743
2020-07-31,3.7899999618530273
2020-08-03,3.75
2020-08-04,3.6700000762939453
2020-08-05,3.680000066757202
2020-08-06,3.549999952316284
2020-08-07,3.5399999618530273
2020-08-10,3.690000057220459
2020-08-11,3.5199999809265137
2020-08-12,3.440000057220459
2020-08-13,3.4700000286102295
2020-08-14,3.319999933242798
2020-08-17,3.3399999141693115
2020-08-18,3.319999933242798
2020-08-19,3.2799999713897705
2020-08-20,3.180000066757202
2020-08-21,2.8399999141693115
2020-08-24,2.799999952316284
2020-08-25,2.809999942779541
2020-08-26,2.9800000190734863
2020-08-27,2.109999895095825
2020-08-28,2.119999885559082
2020-08-31,2.0299999713897705
2020-09-01,2.049999952316284
2020-09-02,1.7799999713897705
2020-09-03,1.7000000476837158
2020-09-04,1.600000023841858
2020-09-08,1.600000023841858
2020-09-09,1.5499999523162842
2020-09-10,1.7599999904632568
2020-09-11,1.7599999904632568
2020-09-14,1.659999966621399
2020-09-15,1.5800000429153442
2020-09-16,1.7000000476837158
2020-09-17,1.7000000476837158
2020-09-18,1.690000057220459
2020-09-21,1.6299999952316284
2020-09-22,1.6100000143051147
2020-09-23,1.440000057220459
2020-09-24,1.25
2020-09-25,1.309999942779541
2020-09-28,1.2200000286102295
2020-09-29,4.760000228881836
2020-09-30,2.680000066757202
2020-10-01,2.890000104904175
2020-10-02,2.5799999237060547
2020-10-05,2.809999942779541
2020-10-06,2.690000057220459
2020-10-07,2.7300000190734863
2020-10-08,2.8499999046325684
2020-10-09,2.8499999046325684
2020-10-12,2.7699999809265137
2020-10-13,2.7899999618530273
2020-10-14,2.819999933242798
2020-10-15,2.759999990463257
2020-10-16,2.759999990463257
2020-10-19,2.640000104904175
2020-10-20,2.5999999046325684
2020-10-21,2.309999942779541
2020-10-22,2.299999952316284
2020-10-23,2.25
2020-10-26,2.049999952316284
2020-10-27,2.059999942779541
2020-10-28,2.0399999618530273
2020-10-29,2.259999990463257
2020-10-30,2.0999999046325684
2020-11-02,2.0999999046325684
2020-11-03,2.140000104904175
2020-11-04,2.0999999046325684
2020-11-05,2.0899999141693115
2020-11-06,2.0299999713897705
2020-11-09,2.0899999141693115
2020-11-10,2.0299999713897705
2020-11-11,2.049999952316284
2020-11-12,2.119999885559082
2020-11-13,2.190000057220459
2020-11-16,2.190000057220459
2020-11-17,2.200000047683716
2020-11-18,2.4100000858306885
2020-11-19,2.4100000858306885
2020-11-20,2.3299999237060547
2020-11-23,2.3499999046325684
2020-11-24,2.4000000953674316
2020-11-25,2.3299999237060547
2020-11-27,2.4600000381469727
2020-11-30,2.640000104904175
2020-12-01,2.5799999237060547
2020-12-02,2.5299999713897705
2020-12-03,2.450000047683716
2020-12-04,2.559999942779541
2020-12-07,2.609999895095825
2020-12-08,2.8499999046325684
2020-12-09,2.7100000381469727
2020-12-10,2.75
2020-12-11,2.759999990463257
2020-12-14,2.734999895095825
2020-12-15,2.640000104904175
2020-12-16,2.6600000858306885
2020-12-17,2.5999999046325684
2020-12-18,2.630000114440918
2020-12-21,2.630000114440918
2020-12-22,2.5999999046325684
2020-12-23,2.609999895095825
2020-12-24,2.5899999141693115
2020-12-28,2.380000114440918
2020-12-29,2.309999942779541
2020-12-30,2.4600000381469727
2020-12-31,2.4700000286102295
2021-01-04,2.4800000190734863
2021-01-05,2.4800000190734863
2021-01-06,2.450000047683716
2021-01-07,2.5399999618530273
2021-01-08,2.700000047683716
2021-01-11,2.7899999618530273
2021-01-12,2.819999933242798
2021-01-13,2.740000009536743
2021-01-14,2.8499999046325684
2021-01-15,3.309999942779541
2021-01-19,3.180000066757202
2021-01-20,4.019999980926514
2021-01-21,3.450000047683716
2021-01-22,3.5999999046325684
2021-01-25,3.4100000858306885
2021-01-26,3.440000057220459
2021-01-27,3.369999885559082
2021-01-28,3.3499999046325684
2021-01-29,3.200000047683716
2021-02-01,3.319999933242798
2021-02-02,3.319999933242798
2021-02-03,3.3399999141693115
2021-02-04,3.559999942779541
2021-02-05,3.5899999141693115
2021-02-08,3.7100000381469727
2021-02-09,3.609999895095825
2021-02-10,3.4700000286102295
2021-02-11,3.4600000381469727
2021-02-12,3.4200000762939453
2021-02-16,3.490000009536743
2021-02-17,4.170000076293945
2021-02-18,3.890000104904175
2021-02-19,3.890000104904175
2021-02-22,4.090000152587891
2021-02-23,3.6500000953674316
2021-02-24,3.509999990463257
2021-02-25,3.190000057220459
2021-02-26,3.069999933242798
2021-03-01,3.0999999046325684
2021-03-02,3.0999999046325684
2021-03-03,3.069999933242798
2021-03-04,2.6500000953674316
2021-03-05,2.690000057220459
2021-03-08,2.630000114440918
2021-03-09,2.8299999237060547
2021-03-10,2.9800000190734863
2021-03-11,3.2100000381469727
2021-03-12,3.259999990463257
2021-03-15,3.2300000190734863
2021-03-16,3.309999942779541
2021-03-17,3.3299999237060547
2021-03-18,3.190000057220459
2021-03-19,3.309999942779541
2021-03-22,3.2899999618530273
2021-03-23,3.240000009536743
2021-03-24,3.1700000762939453
2021-03-25,3.049999952316284
2021-03-26,2.9200000762939453
2021-03-29,2.990000009536743
2021-03-30,2.880000114440918
2021-03-31,2.9800000190734863
2021-04-01,3.109999895095825
2021-04-05,3.2100000381469727
2021-04-06,3.2200000286102295
2021-04-07,3.2300000190734863
2021-04-08,3.2699999809265137
2021-04-09,2.869999885559082
2021-04-12,2.799999952316284
2021-04-13,2.7899999618530273
2021-04-14,2.5999999046325684
2021-04-15,2.549999952316284
2021-04-16,2.640000104904175
2021-04-19,2.609999895095825
2021-04-20,2.450000047683716
2021-04-21,2.4700000286102295
2021-04-22,2.5299999713897705
2021-04-23,2.509999990463257
2021-04-26,2.630000114440918
2021-04-27,2.740000009536743
2021-04-28,2.680000066757202
2021-04-29,2.7300000190734863
2021-04-30,2.640000104904175
2021-05-03,2.549999952316284
2021-05-04,2.5299999713897705
2021-05-05,2.549999952316284
2021-05-06,2.5
2021-05-07,2.490000009536743
2021-05-10,2.4700000286102295
2021-05-11,2.5199999809265137
2021-05-12,2.450000047683716
2021-05-13,2.369999885559082
2021-05-14,2.4100000858306885
