,CASY
1983-10-20,1.25
1983-10-21,1.1666669845581055
1983-10-24,1.125
1983-10-25,1.125
1983-10-26,1.125
1983-10-27,1.125
1983-10-28,1.125
1983-10-31,1.125
1983-11-01,1.125
1983-11-02,1.125
1983-11-03,1.125
1983-11-04,1.125
1983-11-07,1.125
1983-11-08,1.125
1983-11-09,1.125
1983-11-10,1.125
1983-11-11,1.125
1983-11-14,1.125
1983-11-15,1.125
1983-11-16,1.125
1983-11-17,1.125
1983-11-18,1.125
1983-11-21,1.09375
1983-11-22,1.0625
1983-11-23,1.0
1983-11-25,1.0
1983-11-28,1.0
1983-11-29,1.0
1983-11-30,1.0
1983-12-01,1.0
1983-12-02,1.0
1983-12-05,0.9791669845581055
1983-12-06,0.9166669845581055
1983-12-07,0.8958330154418945
1983-12-08,0.8958330154418945
1983-12-09,0.9166669845581055
1983-12-12,0.9166669845581055
1983-12-13,0.9166669845581055
1983-12-14,0.9166669845581055
1983-12-15,0.8958330154418945
1983-12-16,0.8958330154418945
1983-12-19,0.8958330154418945
1983-12-20,0.875
1983-12-21,0.875
1983-12-22,0.875
1983-12-23,0.875
1983-12-27,0.875
1983-12-28,0.875
1983-12-29,0.875
1983-12-30,0.9791669845581055
1984-01-03,1.0
1984-01-04,1.0208330154418945
1984-01-05,1.0520830154418945
1984-01-06,1.0520830154418945
1984-01-09,1.0520830154418945
1984-01-10,1.0520830154418945
1984-01-11,1.0520830154418945
1984-01-12,1.0625
1984-01-13,1.0520830154418945
1984-01-16,1.0520830154418945
1984-01-17,1.0520830154418945
1984-01-18,1.0520830154418945
1984-01-19,1.0520830154418945
1984-01-20,1.0520830154418945
1984-01-23,1.0520830154418945
1984-01-24,1.0520830154418945
1984-01-25,1.0520830154418945
1984-01-26,1.0520830154418945
1984-01-27,1.0520830154418945
1984-01-30,1.0520830154418945
1984-01-31,1.0520830154418945
1984-02-01,1.0520830154418945
1984-02-02,1.0520830154418945
1984-02-03,1.0520830154418945
1984-02-06,0.875
1984-02-07,0.875
1984-02-08,0.9166669845581055
1984-02-09,0.9166669845581055
1984-02-10,0.9166669845581055
1984-02-13,0.9166669845581055
1984-02-14,0.9166669845581055
1984-02-15,0.9166669845581055
1984-02-16,0.9375
1984-02-17,0.9166669845581055
1984-02-21,0.9166669845581055
1984-02-22,0.9166669845581055
1984-02-23,0.9166669845581055
1984-02-24,0.9375
1984-02-27,0.9375
1984-02-28,0.9583330154418945
1984-02-29,0.9583330154418945
1984-03-01,0.9583330154418945
1984-03-02,0.9583330154418945
1984-03-05,0.9583330154418945
1984-03-06,0.9583330154418945
1984-03-07,0.9583330154418945
1984-03-08,0.9791669845581055
1984-03-09,0.9791669845581055
1984-03-12,0.9791669845581055
1984-03-13,1.0
1984-03-14,1.0
1984-03-15,1.0208330154418945
1984-03-16,1.0208330154418945
1984-03-19,1.0208330154418945
1984-03-20,1.0520830154418945
1984-03-21,1.0208330154418945
1984-03-22,1.0520830154418945
1984-03-23,1.0520830154418945
1984-03-26,1.0520830154418945
1984-03-27,1.09375
1984-03-28,1.09375
1984-03-29,1.125
1984-03-30,1.125
1984-04-02,1.125
1984-04-03,1.125
1984-04-04,1.125
1984-04-05,1.09375
1984-04-06,1.09375
1984-04-09,1.09375
1984-04-10,1.0625
1984-04-11,1.09375
1984-04-12,1.09375
1984-04-13,1.09375
1984-04-16,1.0625
1984-04-17,1.0625
1984-04-18,1.0625
1984-04-19,1.0625
1984-04-23,1.0625
1984-04-24,1.0625
1984-04-25,1.0625
1984-04-26,1.0625
1984-04-27,1.0625
1984-04-30,1.0625
1984-05-01,1.0625
1984-05-02,1.0625
1984-05-03,1.0625
1984-05-04,1.0625
1984-05-07,1.0625
1984-05-08,1.0625
1984-05-09,1.0625
1984-05-10,1.0625
1984-05-11,1.0625
1984-05-14,1.0625
1984-05-15,1.0625
1984-05-16,1.0625
1984-05-17,1.0625
1984-05-18,1.0625
1984-05-21,1.0625
1984-05-22,1.0625
