,AMHCU
2019-11-20,10.0
2019-11-21,9.989999771118164
2019-11-22,9.989999771118164
2019-11-25,9.970000267028809
2019-11-26,9.989999771118164
2019-11-27,9.989999771118164
2019-11-29,9.994999885559082
2019-12-02,9.979999542236328
2019-12-03,9.970000267028809
2019-12-04,9.979999542236328
2019-12-05,9.979999542236328
2019-12-06,9.989999771118164
2019-12-09,10.0
2019-12-10,10.020000457763672
2019-12-11,10.020000457763672
2019-12-12,10.010000228881836
2019-12-13,10.020000457763672
2019-12-16,10.039999961853027
2019-12-17,10.039999961853027
2019-12-18,10.050000190734863
2019-12-19,10.050000190734863
2019-12-20,10.069999694824219
2019-12-23,10.048999786376953
2019-12-24,10.048999786376953
2019-12-26,10.048999786376953
2019-12-27,10.074000358581543
2019-12-30,10.069999694824219
2019-12-31,10.069999694824219
2020-01-02,10.069999694824219
2020-01-03,10.149999618530273
2020-01-06,10.109999656677246
2020-01-07,10.149999618530273
2020-01-08,10.140000343322754
2020-01-09,10.180000305175781
2020-01-10,10.25
2020-01-13,10.25
2020-01-14,10.274999618530273
2020-01-15,10.274999618530273
2020-01-16,10.274999618530273
2020-01-17,10.4399995803833
2020-01-21,10.399999618530273
2020-01-22,10.350000381469727
2020-01-23,10.350000381469727
2020-01-24,10.350000381469727
2020-01-27,10.350000381469727
2020-01-28,10.350000381469727
2020-01-29,10.3100004196167
2020-01-30,10.3100004196167
2020-01-31,10.3100004196167
2020-02-03,10.3100004196167
2020-02-04,10.3100004196167
2020-02-05,10.3100004196167
2020-02-06,10.3100004196167
2020-02-07,10.3100004196167
2020-02-10,10.3100004196167
2020-02-11,10.3100004196167
2020-02-12,10.25
2020-02-13,10.25
2020-02-14,10.199999809265137
2020-02-18,10.20199966430664
2020-02-19,10.210000038146973
2020-02-20,10.210000038146973
2020-02-21,10.210000038146973
2020-02-24,10.210000038146973
2020-02-25,10.300000190734863
2020-02-26,10.300000190734863
2020-02-27,10.300000190734863
2020-02-28,10.399999618530273
2020-03-02,10.350000381469727
2020-03-03,10.350000381469727
2020-03-04,10.300000190734863
2020-03-05,10.300000190734863
2020-03-06,10.300000190734863
2020-03-09,10.300000190734863
2020-03-10,10.300000190734863
2020-03-11,10.300000190734863
2020-03-12,10.300000190734863
2020-03-13,10.300000190734863
2020-03-16,10.300000190734863
2020-03-17,10.300000190734863
2020-03-18,9.75
2020-03-19,9.699999809265137
2020-03-20,9.699999809265137
2020-03-23,9.699999809265137
2020-03-24,9.5
2020-03-25,9.5
2020-03-26,9.5
2020-03-27,9.5
2020-03-30,9.5
2020-03-31,9.5
2020-04-01,9.5
2020-04-02,9.5
2020-04-03,9.5
2020-04-06,9.800000190734863
2020-04-07,9.800000190734863
2020-04-08,9.800000190734863
2020-04-09,9.800000190734863
2020-04-13,9.800000190734863
2020-04-14,9.800000190734863
2020-04-15,9.800000190734863
2020-04-16,9.800000190734863
2020-04-17,9.800000190734863
2020-04-20,9.800000190734863
2020-04-21,9.800000190734863
2020-04-22,9.800000190734863
2020-04-23,9.64900016784668
2020-04-24,9.64900016784668
2020-04-27,9.64900016784668
2020-04-28,9.989999771118164
2020-04-29,9.937000274658203
2020-04-30,9.937000274658203
2020-05-01,9.937000274658203
2020-05-04,9.937000274658203
2020-05-05,9.937000274658203
2020-05-06,9.937000274658203
2020-05-07,10.005999565124512
2020-05-08,10.005999565124512
2020-05-11,10.005999565124512
2020-05-12,10.005999565124512
2020-05-13,9.970000267028809
2020-05-14,9.970000267028809
2020-05-15,9.970000267028809
2020-05-18,9.970000267028809
2020-05-19,9.970000267028809
2020-05-20,9.970000267028809
2020-05-21,9.970000267028809
2020-05-22,9.970000267028809
2020-05-26,9.949999809265137
2020-05-27,10.010000228881836
2020-05-28,10.010000228881836
2020-05-29,10.010000228881836
2020-06-01,10.010000228881836
2020-06-02,10.010000228881836
2020-06-03,10.010000228881836
2020-06-04,10.010000228881836
2020-06-05,10.010000228881836
2020-06-08,10.010000228881836
2020-06-09,10.010000228881836
2020-06-10,10.0
2020-06-11,10.0
2020-06-12,10.0
2020-06-15,10.0
2020-06-16,10.0
2020-06-17,10.0
2020-06-18,10.0
2020-06-19,10.0
2020-06-22,10.0
