,ERM
2017-04-12,19.959999084472656
2017-04-13,19.809999465942383
2017-04-17,19.8799991607666
2017-04-18,19.920000076293945
2017-04-19,19.850000381469727
2017-04-20,20.0
2017-04-21,19.93000030517578
2017-04-24,20.1200008392334
2017-04-25,20.25
2017-04-26,20.229999542236328
2017-04-27,20.249000549316406
2017-04-28,20.170000076293945
2017-05-01,20.18000030517578
2017-05-02,20.170000076293945
2017-05-03,20.100000381469727
2017-05-04,20.09000015258789
2017-05-05,20.18000030517578
2017-05-08,20.18000030517578
2017-05-09,20.100000381469727
2017-05-10,20.139999389648438
2017-05-11,20.09000015258789
2017-05-12,20.0
2017-05-15,20.100000381469727
2017-05-16,20.040000915527344
2017-05-17,19.760000228881836
2017-05-18,19.790000915527344
2017-05-19,19.969999313354492
2017-05-22,20.0
2017-05-23,20.020000457763672
2017-05-24,20.024999618530273
2017-05-25,20.079999923706055
2017-05-26,20.09000015258789
2017-05-30,20.038999557495117
2017-05-31,20.0
2017-06-01,20.229999542236328
2017-06-02,20.270000457763672
2017-06-05,20.229999542236328
2017-06-06,20.219999313354492
2017-06-07,20.149999618530273
2017-06-08,20.15999984741211
2017-06-09,20.299999237060547
2017-06-12,20.360000610351562
2017-06-13,20.469999313354492
2017-06-14,20.399999618530273
2017-06-15,20.3799991607666
2017-06-16,20.360000610351562
2017-06-19,20.538999557495117
2017-06-20,20.450000762939453
2017-06-21,20.350000381469727
2017-06-22,20.34000015258789
2017-06-23,20.31999969482422
2017-06-26,20.459999084472656
2017-06-27,20.350000381469727
2017-06-28,20.510000228881836
2017-06-29,20.350000381469727
2017-06-30,20.360000610351562
2017-07-03,20.549999237060547
2017-07-05,20.459999084472656
2017-07-06,20.270000457763672
2017-07-07,20.31999969482422
2017-07-10,20.350000381469727
2017-07-11,20.31999969482422
2017-07-12,20.479999542236328
2017-07-13,20.530000686645508
2017-07-14,20.68000030517578
2017-07-17,20.625
2017-07-18,20.59000015258789
2017-07-19,20.729999542236328
2017-07-20,20.780000686645508
2017-07-21,20.729999542236328
2017-07-24,20.709999084472656
2017-07-25,20.829999923706055
2017-07-26,20.75
2017-07-27,20.719999313354492
2017-07-28,20.7189998626709
2017-07-31,20.7549991607666
2017-08-01,20.709999084472656
2017-08-02,20.700000762939453
2017-08-03,20.69300079345703
2017-08-04,20.69300079345703
2017-08-07,20.75
2017-08-08,20.68000030517578
2017-08-09,20.690000534057617
2017-08-10,20.440000534057617
2017-08-11,20.3700008392334
2017-08-14,20.600000381469727
2017-08-15,20.549999237060547
2017-08-16,20.540000915527344
2017-08-17,20.389999389648438
2017-08-18,20.280000686645508
2017-08-21,20.170000076293945
2017-08-22,20.389999389648438
2017-08-23,20.3700008392334
2017-08-24,20.309999465942383
2017-08-25,20.389999389648438
2017-08-28,20.274999618530273
2017-08-29,20.299999237060547
2017-08-30,20.440000534057617
2017-08-31,20.530000686645508
2017-09-01,20.639999389648438
2017-09-05,20.489999771118164
2017-09-06,20.530000686645508
2017-09-07,20.559999465942383
2017-09-08,20.540000915527344
2017-09-11,20.760000228881836
2017-09-12,20.860000610351562
2017-09-13,20.809999465942383
2017-09-14,20.920000076293945
2017-09-15,20.950000762939453
2017-09-18,20.989999771118164
2017-09-19,20.989999771118164
2017-09-20,21.0
2017-09-21,20.920000076293945
2017-09-22,20.899999618530273
