,HSL
2018-05-10,15840.0
2018-05-11,16920.0
2018-05-14,18080.0
2018-05-15,19320.0
2018-05-16,20640.0
2018-05-17,20800.0
2018-05-18,19680.0
2018-05-21,19200.0
2018-05-22,19400.0
2018-05-23,19440.0
2018-05-24,19440.0
2018-05-25,19360.0
2018-05-29,19440.0
2018-05-30,19480.0
2018-05-31,19480.0
2018-06-01,19520.0
2018-06-04,19600.0
2018-06-05,19600.0
2018-06-06,19600.0
2018-06-07,19600.0
2018-06-08,19640.0
2018-06-11,19560.0
2018-06-12,19480.0
2018-06-13,19520.0
2018-06-14,19640.0
2018-06-15,19640.0
2018-06-18,19880.0
2018-06-19,20800.0
2018-06-20,22240.0
2018-06-21,21200.0
2018-06-22,19720.0
2018-06-25,18360.0
2018-06-26,17080.0
2018-06-27,16720.0
2018-06-28,17160.0
2018-06-29,16480.0
2018-07-02,16000.0
2018-07-03,16120.0
2018-07-05,16560.0
2018-07-06,16800.0
2018-07-09,17200.0
2018-07-10,17440.0
2018-07-11,16640.0
2018-07-12,16160.0
2018-07-13,16400.0
2018-07-16,16160.0
2018-07-17,16080.0
2018-07-18,16080.0
2018-07-19,16360.0
2018-07-20,16640.0
2018-07-23,16480.0
2018-07-24,16480.0
2018-07-25,16640.0
2018-07-26,16480.0
2018-07-27,16480.0
2018-07-30,16520.0
2018-07-31,16560.0
2018-08-01,16680.0
2018-08-02,17840.0
2018-08-03,18360.0
2018-08-06,17600.0
2018-08-07,16800.0
2018-08-08,17200.0
2018-08-09,17040.0
2018-08-10,16960.0
2018-08-13,17120.0
2018-08-14,16880.0
2018-08-15,16800.0
2018-08-16,16480.0
2018-08-17,16480.0
2018-08-20,16800.0
2018-08-21,17040.0
2018-08-22,16960.0
2018-08-23,17200.0
2018-08-24,17120.0
2018-08-27,17040.0
2018-08-28,17360.0
2018-08-29,17120.0
2018-08-30,17040.0
2018-08-31,17040.0
2018-09-04,17240.0
2018-09-05,17120.0
2018-09-06,16800.0
2018-09-07,17240.0
2018-09-10,16880.0
2018-09-11,16480.0
2018-09-12,16240.0
2018-09-13,16160.0
2018-09-14,16480.0
2018-09-17,16400.0
2018-09-18,16400.0
2018-09-19,16900.0
2018-09-20,16800.0
2018-09-21,16500.0
2018-09-24,16400.0
2018-09-25,16400.0
2018-09-26,17500.0
2018-09-27,17500.0
2018-09-28,17100.0
2018-10-01,17000.0
2018-10-02,17200.0
2018-10-03,17600.0
2018-10-04,17400.0
2018-10-05,17300.0
2018-10-08,17500.0
2018-10-09,17300.0
2018-10-10,17300.0
2018-10-11,17400.0
2018-10-12,17600.0
2018-10-15,17600.0
2018-10-16,17500.0
2018-10-17,17450.0
2018-10-18,17500.0
2018-10-19,17500.0
2018-10-22,17600.0
2018-10-23,17750.0
2018-10-24,18950.0
2018-10-25,19500.0
2018-10-26,20850.0
2018-10-29,22300.0
2018-10-30,23850.0
2018-10-31,22200.0
2018-11-01,20650.0
2018-11-02,19250.0
2018-11-05,17950.0
2018-11-06,17500.0
2018-11-07,18000.0
2018-11-08,17200.0
2018-11-09,17100.0
2018-11-12,17400.0
2018-11-13,17100.0
2018-11-14,17100.0
2018-11-15,17200.0
2018-11-16,17300.0
2018-11-19,17500.0
2018-11-20,17400.0
2018-11-21,17300.0
2018-11-23,18250.0
2018-11-26,17800.0
2018-11-27,17200.0
2018-11-28,16500.0
2018-11-29,16200.0
2018-11-30,16550.0
2018-12-03,16750.0
2018-12-04,16200.0
2018-12-06,15700.0
2018-12-07,15100.0
2018-12-10,13500.0
2018-12-11,12600.0
2018-12-12,12600.0
2018-12-13,12700.0
2018-12-14,12300.0
2018-12-17,12000.0
2018-12-18,11800.0
2018-12-19,12000.0
2018-12-20,12150.0
2018-12-21,12000.0
2018-12-24,12000.0
2018-12-26,12000.0
2018-12-27,12200.0
2018-12-28,12100.0
2018-12-31,12100.0
2019-01-02,12100.0
2019-01-03,12000.0
2019-01-04,11900.0
2019-01-07,12050.0
2019-01-08,12000.0
2019-01-09,12050.0
2019-01-10,12000.0
2019-01-11,12300.0
2019-01-14,13150.0
2019-01-15,13800.0
2019-01-16,13000.0
2019-01-17,12100.0
2019-01-18,11300.0
2019-01-22,10850.0
2019-01-23,10200.0
2019-01-24,10100.0
2019-01-25,10150.0
2019-01-28,10300.0
2019-01-29,10100.0
2019-01-30,9960.0
2019-01-31,10000.0
2019-02-01,10000.0
2019-02-04,10000.0
2019-02-05,10000.0
2019-02-06,10000.0
2019-02-07,10000.0
2019-02-08,10000.0
2019-02-11,10100.0
2019-02-12,10250.0
2019-02-13,10550.0
2019-02-14,10700.0
2019-02-15,10500.0
2019-02-19,10000.0
2019-02-20,10100.0
2019-02-21,10000.0
2019-02-22,10000.0
2019-02-25,10000.0
2019-02-26,10000.0
2019-02-27,10000.0
2019-02-28,10100.0
2019-03-01,10350.0
2019-03-04,10600.0
2019-03-05,11300.0
2019-03-06,10800.0
2019-03-07,10600.0
2019-03-08,10600.0
2019-03-11,10600.0
2019-03-12,10800.0
2019-03-13,11000.0
2019-03-14,11250.0
2019-03-15,11000.0
2019-03-18,11200.0
2019-03-19,11950.0
2019-03-20,12750.0
2019-03-21,12700.0
2019-03-22,11850.0
