,ACTC
2020-11-30,9.819999694824219
2020-12-01,9.789999961853027
2020-12-02,9.8149995803833
2020-12-03,9.8100004196167
2020-12-04,10.149999618530273
2020-12-07,10.15999984741211
2020-12-08,10.100000381469727
2020-12-09,10.100000381469727
2020-12-10,10.100000381469727
2020-12-11,10.3100004196167
2020-12-14,10.600000381469727
2020-12-15,10.399999618530273
2020-12-16,10.46500015258789
2020-12-17,10.5
2020-12-18,10.4399995803833
2020-12-21,10.399999618530273
2020-12-22,10.390000343322754
2020-12-23,11.0
2020-12-24,11.510000228881836
2020-12-28,11.550000190734863
2020-12-29,11.170000076293945
2020-12-30,11.329999923706055
2020-12-31,11.079999923706055
2021-01-04,10.800000190734863
2021-01-05,10.84000015258789
2021-01-06,10.819000244140625
2021-01-07,11.300000190734863
2021-01-08,11.949999809265137
2021-01-11,12.1899995803833
2021-01-12,25.200000762939453
2021-01-13,23.0
2021-01-14,25.239999771118164
2021-01-15,26.3799991607666
2021-01-19,29.110000610351562
2021-01-20,27.899999618530273
2021-01-21,25.809999465942383
2021-01-22,25.649999618530273
2021-01-25,25.0
2021-01-26,24.549999237060547
2021-01-27,23.0
2021-01-28,23.31999969482422
2021-01-29,23.969999313354492
2021-02-01,26.399999618530273
2021-02-02,26.5
2021-02-03,25.700000762939453
2021-02-04,25.239999771118164
2021-02-05,24.940000534057617
2021-02-08,25.3799991607666
2021-02-09,25.350000381469727
2021-02-10,24.860000610351562
2021-02-11,24.469999313354492
2021-02-12,25.020000457763672
2021-02-16,24.950000762939453
2021-02-17,24.59000015258789
2021-02-18,23.959999084472656
2021-02-19,24.010000228881836
2021-02-22,23.25
2021-02-23,21.950000762939453
2021-02-24,22.75
2021-02-25,21.09000015258789
2021-02-26,20.790000915527344
2021-03-01,21.219999313354492
2021-03-02,21.100000381469727
2021-03-03,19.06999969482422
2021-03-04,16.75
2021-03-05,16.610000610351562
2021-03-08,15.720000267028809
2021-03-09,17.420000076293945
2021-03-10,17.700000762939453
2021-03-11,19.030000686645508
2021-03-12,19.739999771118164
2021-03-15,19.780000686645508
2021-03-16,18.549999237060547
2021-03-17,18.25
2021-03-18,17.149999618530273
2021-03-19,17.170000076293945
2021-03-22,17.59000015258789
2021-03-23,16.700000762939453
2021-03-24,15.819999694824219
2021-03-25,16.219999313354492
2021-03-26,16.25
2021-03-29,15.609999656677246
2021-03-30,15.670000076293945
2021-03-31,17.8799991607666
2021-04-01,18.3799991607666
2021-04-05,17.8799991607666
2021-04-06,18.0
2021-04-07,17.5
2021-04-08,17.40999984741211
2021-04-09,17.030000686645508
2021-04-12,16.299999237060547
2021-04-13,16.360000610351562
2021-04-14,15.899999618530273
2021-04-15,15.90999984741211
2021-04-16,15.579999923706055
2021-04-19,14.760000228881836
2021-04-20,14.449999809265137
2021-04-21,16.709999084472656
2021-04-22,16.440000534057617
2021-04-23,17.3799991607666
2021-04-26,17.8700008392334
2021-04-27,17.8700008392334
2021-04-28,17.06999969482422
2021-04-29,16.670000076293945
2021-04-30,16.18000030517578
2021-05-03,15.5600004196167
2021-05-04,15.390000343322754
2021-05-05,15.630000114440918
2021-05-06,15.289999961853027
2021-05-07,15.579999923706055
2021-05-10,14.979999542236328
2021-05-11,14.699999809265137
2021-05-12,14.09000015258789
2021-05-13,13.300000190734863
2021-05-14,13.960000038146973
