,ACIU
2016-09-23,15.65999984741211
2016-09-26,16.5
2016-09-27,18.209999084472656
2016-09-28,19.299999237060547
2016-09-29,17.540000915527344
2016-09-30,16.469999313354492
2016-10-03,17.860000610351562
2016-10-04,17.520000457763672
2016-10-05,16.65999984741211
2016-10-06,16.079999923706055
2016-10-07,15.8100004196167
2016-10-10,15.25
2016-10-11,15.100000381469727
2016-10-12,14.479999542236328
2016-10-13,14.010000228881836
2016-10-14,13.960000038146973
2016-10-17,14.430000305175781
2016-10-18,15.1899995803833
2016-10-19,14.75
2016-10-20,14.960000038146973
2016-10-21,15.680000305175781
2016-10-24,15.180000305175781
2016-10-25,15.739999771118164
2016-10-26,15.75
2016-10-27,14.90999984741211
2016-10-28,14.5600004196167
2016-10-31,13.619999885559082
2016-11-01,12.8100004196167
2016-11-02,12.050000190734863
2016-11-03,12.079999923706055
2016-11-04,11.859999656677246
2016-11-07,11.510000228881836
2016-11-08,10.520000457763672
2016-11-09,13.289999961853027
2016-11-10,14.149999618530273
2016-11-11,15.109999656677246
2016-11-14,14.699999809265137
2016-11-15,15.359999656677246
2016-11-16,15.569999694824219
2016-11-17,16.110000610351562
2016-11-18,15.300000190734863
2016-11-21,14.079999923706055
2016-11-22,13.699999809265137
2016-11-23,11.529999732971191
2016-11-25,12.609999656677246
2016-11-28,12.130000114440918
2016-11-29,11.859999656677246
2016-11-30,11.59000015258789
2016-12-01,11.579999923706055
2016-12-02,11.5
2016-12-05,11.930000305175781
2016-12-06,11.989999771118164
2016-12-07,11.649999618530273
2016-12-08,12.050000190734863
2016-12-09,14.930000305175781
2016-12-12,12.869999885559082
2016-12-13,13.359999656677246
2016-12-14,13.609999656677246
2016-12-15,13.550000190734863
2016-12-16,14.319999694824219
2016-12-19,14.529999732971191
2016-12-20,14.329999923706055
2016-12-21,12.850000381469727
2016-12-22,12.5600004196167
2016-12-23,13.229999542236328
2016-12-27,13.520000457763672
2016-12-28,12.699999809265137
2016-12-29,12.539999961853027
2016-12-30,12.979999542236328
2017-01-03,13.010000228881836
2017-01-04,13.649999618530273
2017-01-05,13.529999732971191
2017-01-06,13.65999984741211
2017-01-09,13.34000015258789
2017-01-10,13.289999961853027
2017-01-11,13.420000076293945
2017-01-12,13.050000190734863
2017-01-13,13.5
2017-01-17,13.199999809265137
2017-01-18,12.979999542236328
2017-01-19,12.649999618530273
2017-01-20,12.600000381469727
2017-01-23,12.399999618530273
2017-01-24,12.050000190734863
2017-01-25,12.149999618530273
2017-01-26,12.25
2017-01-27,12.119999885559082
2017-01-30,11.760000228881836
2017-01-31,12.020000457763672
2017-02-01,11.979999542236328
2017-02-02,12.09000015258789
2017-02-03,12.140000343322754
2017-02-06,12.0
2017-02-07,12.010000228881836
2017-02-08,12.180000305175781
2017-02-09,11.630000114440918
2017-02-10,12.010000228881836
2017-02-13,12.1899995803833
2017-02-14,12.9399995803833
2017-02-15,12.670000076293945
2017-02-16,12.720000267028809
2017-02-17,12.710000038146973
2017-02-21,12.6899995803833
2017-02-22,12.300000190734863
2017-02-23,12.319999694824219
2017-02-24,11.850000381469727
2017-02-27,12.260000228881836
2017-02-28,12.4399995803833
2017-03-01,12.5600004196167
2017-03-02,12.649999618530273
2017-03-03,12.960000038146973
2017-03-06,12.5
2017-03-07,11.5
2017-03-08,11.630000114440918
2017-03-09,12.020000457763672
2017-03-10,11.8100004196167
2017-03-13,12.199999809265137
2017-03-14,11.609999656677246
2017-03-15,12.270000457763672
2017-03-16,12.350000381469727
2017-03-17,12.069999694824219
2017-03-20,11.550000190734863
2017-03-21,11.550000190734863
2017-03-22,11.470000267028809
2017-03-23,11.039999961853027
2017-03-24,11.020000457763672
2017-03-27,11.130000114440918
2017-03-28,11.619999885559082
2017-03-29,11.579999923706055
2017-03-30,11.569999694824219
2017-03-31,10.359999656677246
2017-04-03,10.170000076293945
2017-04-04,9.510000228881836
2017-04-05,9.670000076293945
2017-04-06,9.9399995803833
2017-04-07,10.079999923706055
2017-04-10,10.149999618530273
2017-04-11,10.15999984741211
2017-04-12,10.039999961853027
2017-04-13,10.100000381469727
2017-04-17,10.010000228881836
2017-04-18,10.010000228881836
