,CCNEP
2020-08-21,25.260000228881836
2020-08-24,25.75
2020-08-25,25.75
2020-08-26,25.799999237060547
2020-08-27,25.75
2020-08-28,25.75
2020-08-31,25.600000381469727
2020-09-01,25.739999771118164
2020-09-02,25.844999313354492
2020-09-03,25.770000457763672
2020-09-04,25.674999237060547
2020-09-08,25.600000381469727
2020-09-09,25.599000930786133
2020-09-10,25.649999618530273
2020-09-11,25.649999618530273
2020-09-14,25.698999404907227
2020-09-15,25.625
2020-09-16,25.549999237060547
2020-09-17,25.600000381469727
2020-09-18,25.649999618530273
2020-09-21,25.5
2020-09-22,25.5
2020-09-23,25.24799919128418
2020-09-24,25.149999618530273
2020-09-25,25.239999771118164
2020-09-28,25.34600067138672
2020-09-29,25.25
2020-09-30,25.049999237060547
2020-10-01,25.149999618530273
2020-10-02,25.25
2020-10-05,25.200000762939453
2020-10-06,25.170000076293945
2020-10-07,25.299999237060547
2020-10-08,25.15999984741211
2020-10-09,25.440000534057617
2020-10-12,25.280000686645508
2020-10-13,25.488000869750977
2020-10-14,25.424999237060547
2020-10-15,25.299999237060547
2020-10-16,25.600000381469727
2020-10-19,25.5310001373291
2020-10-20,25.700000762939453
2020-10-21,25.299999237060547
2020-10-22,25.371999740600586
2020-10-23,25.299999237060547
2020-10-26,25.100000381469727
2020-10-27,25.25
2020-10-28,25.399999618530273
2020-10-29,25.399999618530273
2020-10-30,25.399999618530273
2020-11-02,25.5
2020-11-03,25.549999237060547
2020-11-04,25.299999237060547
2020-11-05,25.5
2020-11-06,25.799999237060547
2020-11-09,25.600000381469727
2020-11-10,25.700000762939453
2020-11-11,25.75
2020-11-12,25.68000030517578
2020-11-13,25.69099998474121
2020-11-16,25.549999237060547
2020-11-17,25.799999237060547
2020-11-18,25.75
2020-11-19,25.75
2020-11-20,25.700000762939453
2020-11-23,25.790000915527344
2020-11-24,25.59000015258789
2020-11-25,25.6299991607666
2020-11-27,25.690000534057617
2020-11-30,25.59000015258789
2020-12-01,25.700000762939453
2020-12-02,25.666000366210938
2020-12-03,25.559999465942383
2020-12-04,25.690000534057617
2020-12-07,25.649999618530273
2020-12-08,25.559999465942383
2020-12-09,25.600000381469727
2020-12-10,25.600000381469727
2020-12-11,25.6299991607666
2020-12-14,25.559999465942383
2020-12-15,25.56999969482422
2020-12-16,25.5
2020-12-17,25.5
2020-12-18,25.5
2020-12-21,25.360000610351562
2020-12-22,25.450000762939453
2020-12-23,25.600000381469727
2020-12-24,25.75200080871582
2020-12-28,25.610000610351562
2020-12-29,25.649999618530273
2020-12-30,25.68000030517578
2020-12-31,26.020000457763672
2021-01-04,26.049999237060547
2021-01-05,26.052000045776367
2021-01-06,26.125
2021-01-07,26.25
2021-01-08,26.100000381469727
2021-01-11,25.820999145507812
2021-01-12,25.81999969482422
2021-01-13,26.049999237060547
2021-01-14,26.024999618530273
2021-01-15,26.07200050354004
2021-01-19,25.84000015258789
2021-01-20,26.075000762939453
2021-01-21,26.299999237060547
2021-01-22,26.149999618530273
2021-01-25,26.190000534057617
2021-01-26,26.5
2021-01-27,26.479999542236328
2021-01-28,26.3700008392334
2021-01-29,26.25
2021-02-01,26.5
2021-02-02,26.5
2021-02-03,26.5
2021-02-04,26.350000381469727
2021-02-05,26.350000381469727
2021-02-08,26.459999084472656
2021-02-09,26.5049991607666
2021-02-10,26.5
2021-02-11,26.5
2021-02-12,26.110000610351562
2021-02-16,26.149999618530273
2021-02-17,26.149999618530273
2021-02-18,26.575000762939453
2021-02-19,26.5
2021-02-22,26.597999572753906
2021-02-23,26.450000762939453
2021-02-24,26.375
2021-02-25,26.25
2021-02-26,26.274999618530273
2021-03-01,26.139999389648438
2021-03-02,26.209999084472656
2021-03-03,26.170000076293945
2021-03-04,26.200000762939453
2021-03-05,26.299999237060547
2021-03-08,26.503999710083008
2021-03-09,26.600000381469727
2021-03-10,26.549999237060547
2021-03-11,26.600000381469727
2021-03-12,26.649999618530273
2021-03-15,26.5
2021-03-16,26.350000381469727
2021-03-17,26.43000030517578
2021-03-18,26.5
2021-03-19,26.690000534057617
2021-03-22,26.989999771118164
2021-03-23,26.733999252319336
2021-03-24,26.549999237060547
2021-03-25,26.950000762939453
2021-03-26,26.549999237060547
2021-03-29,26.510000228881836
2021-03-30,26.850000381469727
2021-03-31,26.761999130249023
2021-04-01,26.6299991607666
2021-04-05,26.979999542236328
2021-04-06,26.996000289916992
2021-04-07,27.09000015258789
2021-04-08,27.329999923706055
2021-04-09,27.049999237060547
2021-04-12,27.059999465942383
2021-04-13,27.209999084472656
2021-04-14,27.100000381469727
2021-04-15,27.3700008392334
2021-04-16,27.049999237060547
2021-04-19,27.05299949645996
2021-04-20,27.415000915527344
2021-04-21,27.200000762939453
2021-04-22,27.079999923706055
2021-04-23,27.09000015258789
2021-04-26,27.125
2021-04-27,27.010000228881836
2021-04-28,27.049999237060547
2021-04-29,27.100000381469727
2021-04-30,27.104999542236328
2021-05-03,27.05500030517578
2021-05-04,27.030000686645508
2021-05-05,27.139999389648438
2021-05-06,27.030000686645508
2021-05-07,27.155000686645508
2021-05-10,27.200000762939453
2021-05-11,27.049999237060547
2021-05-12,27.31999969482422
2021-05-13,27.209999084472656
2021-05-14,27.200000762939453
