,DRTT
2014-01-28,2.4149999618530273
2014-01-29,2.4149999618530273
2014-01-30,2.3989999294281006
2014-01-31,2.3989999294281006
2014-02-03,2.3989999294281006
2014-02-04,2.3989999294281006
2014-02-05,2.299999952316284
2014-02-06,2.299999952316284
2014-02-07,2.299999952316284
2014-02-10,2.299999952316284
2014-02-11,2.299999952316284
2014-02-12,2.299999952316284
2014-02-13,2.299999952316284
2014-02-14,2.299999952316284
2014-02-18,2.299999952316284
2014-02-19,2.990999937057495
2014-02-20,2.9600000381469727
2014-02-21,2.9539999961853027
2014-02-24,2.9539999961853027
2014-02-25,2.9539999961853027
2014-02-26,2.9539999961853027
2014-02-27,2.9539999961853027
2014-02-28,2.9539999961853027
2014-03-03,2.9539999961853027
2014-03-04,2.9539999961853027
2014-03-05,2.9539999961853027
2014-03-06,2.921999931335449
2014-03-07,2.8350000381469727
2014-03-10,2.8350000381469727
2014-03-11,2.8350000381469727
2014-03-12,2.8350000381469727
2014-03-13,2.8350000381469727
2014-03-14,2.8949999809265137
2014-03-17,2.8949999809265137
2014-03-18,2.8949999809265137
2014-03-19,2.8949999809265137
2014-03-20,2.8949999809265137
2014-03-21,2.8949999809265137
2014-03-24,2.8949999809265137
2014-03-25,2.8949999809265137
2014-03-26,2.8949999809265137
2014-03-27,2.8949999809265137
2014-03-28,2.8949999809265137
2014-03-31,2.8949999809265137
2014-04-01,2.8949999809265137
2014-04-02,2.8949999809265137
2014-04-03,2.8949999809265137
2014-04-04,2.890000104904175
2014-04-07,2.890000104904175
2014-04-08,2.765000104904175
2014-04-09,2.765000104904175
2014-04-10,2.76200008392334
2014-04-11,2.7709999084472656
2014-04-14,2.742000102996826
2014-04-15,2.742000102996826
2014-04-16,2.984999895095825
2014-04-17,3.0799999237060547
2014-04-21,3.0799999237060547
2014-04-22,3.0799999237060547
2014-04-23,3.0799999237060547
2014-04-24,3.0799999237060547
2014-04-25,3.0799999237060547
2014-04-28,3.0799999237060547
2014-04-29,3.0799999237060547
2014-04-30,3.0799999237060547
2014-05-01,3.0799999237060547
2014-05-02,3.0799999237060547
2014-05-05,3.0799999237060547
2014-05-06,2.992000102996826
2014-05-07,2.992000102996826
2014-05-08,2.992000102996826
2014-05-09,3.1630001068115234
2014-05-12,3.1630001068115234
2014-05-13,3.1630001068115234
2014-05-14,3.1630001068115234
2014-05-15,2.7149999141693115
2014-05-16,2.7149999141693115
2014-05-19,2.7149999141693115
2014-05-20,2.756999969482422
2014-05-21,2.7039999961853027
2014-05-22,2.7039999961853027
2014-05-23,2.7039999961853027
2014-05-27,2.694000005722046
2014-05-28,2.694000005722046
2014-05-29,2.694000005722046
2014-05-30,2.696000099182129
2014-06-02,2.5439999103546143
2014-06-03,2.5439999103546143
2014-06-04,2.5439999103546143
2014-06-05,2.5439999103546143
2014-06-06,2.9070000648498535
2014-06-09,2.9070000648498535
2014-06-10,2.9070000648498535
2014-06-11,2.9070000648498535
2014-06-12,2.9070000648498535
2014-06-13,2.9070000648498535
2014-06-16,2.9070000648498535
2014-06-17,2.989000082015991
2014-06-18,2.989000082015991
2014-06-19,2.989000082015991
2014-06-20,3.1649999618530273
2014-06-23,3.1649999618530273
2014-06-24,3.1649999618530273
2014-06-25,3.1649999618530273
2014-06-26,3.611999988555908
2014-06-27,3.611999988555908
2014-06-30,3.2880001068115234
2014-07-01,3.2880001068115234
2014-07-02,3.3010001182556152
2014-07-03,3.3010001182556152
2014-07-07,3.200000047683716
2014-07-08,3.2899999618530273
2014-07-09,3.197000026702881
2014-07-10,2.993000030517578
2014-07-11,2.993000030517578
2014-07-14,2.993000030517578
2014-07-15,2.993000030517578
2014-07-16,2.993000030517578
2014-07-17,2.993000030517578
2014-07-18,2.993000030517578
2014-07-21,2.993000030517578
