,AEPPZ
2020-08-12,50.9900016784668
2020-08-13,50.599998474121094
2020-08-14,50.88999938964844
2020-08-17,49.79999923706055
2020-08-18,49.43000030517578
2020-08-19,49.79999923706055
2020-08-20,49.20000076293945
2020-08-21,48.970001220703125
2020-08-24,49.31999969482422
2020-08-25,49.08000183105469
2020-08-26,48.630001068115234
2020-08-27,48.47999954223633
2020-08-28,48.54999923706055
2020-08-31,48.4900016784668
2020-09-01,47.95000076293945
2020-09-02,49.150001525878906
2020-09-03,48.790000915527344
2020-09-04,48.540000915527344
2020-09-08,48.33000183105469
2020-09-09,48.9900016784668
2020-09-10,48.56999969482422
2020-09-11,48.5
2020-09-14,49.43000030517578
2020-09-15,48.66999816894531
2020-09-16,49.04999923706055
2020-09-17,48.560001373291016
2020-09-18,48.16999816894531
2020-09-21,48.41999816894531
2020-09-22,48.599998474121094
2020-09-23,48.279998779296875
2020-09-24,48.529998779296875
2020-09-25,48.7869987487793
2020-09-28,48.849998474121094
2020-09-29,48.83000183105469
2020-09-30,49.02000045776367
2020-10-01,50.0
2020-10-02,50.84600067138672
2020-10-05,51.689998626708984
2020-10-06,52.38999938964844
2020-10-07,52.400001525878906
2020-10-08,52.79999923706055
2020-10-09,53.11000061035156
2020-10-12,53.099998474121094
2020-10-13,52.630001068115234
2020-10-14,52.61000061035156
2020-10-15,52.77000045776367
2020-10-16,53.32500076293945
2020-10-19,55.75
2020-10-20,53.099998474121094
2020-10-21,52.7599983215332
2020-10-22,53.689998626708984
2020-10-23,53.72999954223633
2020-10-26,54.4900016784668
2020-10-27,54.209999084472656
2020-10-28,53.27000045776367
2020-10-29,53.209999084472656
2020-10-30,53.540000915527344
2020-11-02,53.130001068115234
2020-11-03,53.540000915527344
2020-11-04,53.0
2020-11-05,53.40999984741211
2020-11-06,53.220001220703125
2020-11-09,53.459999084472656
2020-11-10,53.45000076293945
2020-11-11,53.29999923706055
2020-11-12,51.736000061035156
2020-11-13,52.349998474121094
2020-11-16,52.18000030517578
2020-11-17,50.67499923706055
2020-11-18,49.560001373291016
2020-11-19,49.08000183105469
2020-11-20,49.209999084472656
2020-11-23,49.86000061035156
2020-11-24,50.27000045776367
2020-11-25,50.7400016784668
2020-11-27,50.130001068115234
2020-11-30,50.04999923706055
2020-12-01,50.720001220703125
2020-12-02,50.68000030517578
2020-12-03,50.439998626708984
2020-12-04,49.790000915527344
2020-12-07,49.86000061035156
2020-12-08,49.849998474121094
2020-12-09,49.439998626708984
2020-12-10,49.470001220703125
2020-12-11,49.709999084472656
2020-12-14,49.470001220703125
2020-12-15,50.27000045776367
2020-12-16,49.790000915527344
2020-12-17,50.2599983215332
2020-12-18,50.9900016784668
2020-12-21,49.17399978637695
2020-12-22,49.130001068115234
2020-12-23,48.970001220703125
2020-12-24,49.31999969482422
2020-12-28,49.29999923706055
2020-12-29,49.36000061035156
2020-12-30,49.52000045776367
2020-12-31,50.630001068115234
2021-01-04,49.779998779296875
2021-01-05,49.6349983215332
2021-01-06,49.9900016784668
2021-01-07,49.189998626708984
2021-01-08,48.900001525878906
2021-01-11,48.6150016784668
2021-01-12,47.75
2021-01-13,48.209999084472656
2021-01-14,48.54999923706055
2021-01-15,49.20000076293945
2021-01-19,49.290000915527344
2021-01-20,49.25
2021-01-21,49.38999938964844
2021-01-22,50.029998779296875
2021-01-25,50.279998779296875
2021-01-26,49.790000915527344
2021-01-27,49.0
2021-01-28,49.2400016784668
2021-01-29,49.349998474121094
2021-02-01,49.2599983215332
2021-02-02,49.720001220703125
2021-02-03,49.5
2021-02-04,49.720001220703125
2021-02-05,49.81999969482422
2021-02-08,49.229000091552734
2021-02-09,49.0
2021-02-10,49.040000915527344
2021-02-11,47.61000061035156
2021-02-12,47.41999816894531
2021-02-16,47.189998626708984
2021-02-17,47.279998779296875
2021-02-18,48.130001068115234
2021-02-19,47.63999938964844
2021-02-22,46.0
2021-02-23,46.29999923706055
2021-02-24,46.0
2021-02-25,45.25
2021-02-26,44.709999084472656
2021-03-01,45.5
2021-03-02,45.310001373291016
2021-03-03,45.34000015258789
2021-03-04,45.59000015258789
2021-03-05,46.68000030517578
2021-03-08,47.29999923706055
2021-03-09,47.439998626708984
2021-03-10,47.65700149536133
2021-03-11,47.38999938964844
2021-03-12,47.59000015258789
2021-03-15,48.060001373291016
2021-03-16,48.5099983215332
2021-03-17,48.04999923706055
2021-03-18,48.16999816894531
2021-03-19,48.7400016784668
2021-03-22,48.61000061035156
2021-03-23,48.959999084472656
2021-03-24,49.20000076293945
2021-03-25,49.0
2021-03-26,49.06999969482422
2021-03-29,49.61000061035156
2021-03-30,49.16999816894531
2021-03-31,48.86000061035156
2021-04-01,49.619998931884766
2021-04-05,50.150001525878906
2021-04-06,50.33000183105469
2021-04-07,50.33000183105469
