,BME
2005-03-29,25.0
2005-03-30,25.0
2005-03-31,25.010000228881836
2005-04-01,25.0
2005-04-04,25.0
2005-04-05,25.010000228881836
2005-04-06,25.0
2005-04-07,25.020000457763672
2005-04-08,25.0
2005-04-11,25.010000228881836
2005-04-12,25.0
2005-04-13,25.0
2005-04-14,25.049999237060547
2005-04-15,25.0
2005-04-18,25.06999969482422
2005-04-19,25.0
2005-04-20,25.0
2005-04-21,25.06999969482422
2005-04-22,25.0
2005-04-25,25.049999237060547
2005-04-26,25.040000915527344
2005-04-27,24.799999237060547
2005-04-28,24.0
2005-04-29,23.799999237060547
2005-05-02,23.350000381469727
2005-05-03,23.799999237060547
2005-05-04,24.0
2005-05-05,24.600000381469727
2005-05-06,24.5
2005-05-09,24.68000030517578
2005-05-10,24.649999618530273
2005-05-11,24.450000762939453
2005-05-12,24.399999618530273
2005-05-13,24.100000381469727
2005-05-16,24.25
2005-05-17,24.200000762939453
2005-05-18,24.700000762939453
2005-05-19,24.299999237060547
2005-05-20,24.299999237060547
2005-05-23,24.5
2005-05-24,24.200000762939453
2005-05-25,24.399999618530273
2005-05-26,24.399999618530273
2005-05-27,24.450000762939453
2005-05-31,24.200000762939453
2005-06-01,24.309999465942383
2005-06-02,24.40999984741211
2005-06-03,24.59000015258789
2005-06-06,24.59000015258789
2005-06-07,24.649999618530273
2005-06-08,24.729999542236328
2005-06-09,24.700000762939453
2005-06-10,24.649999618530273
2005-06-13,24.350000381469727
2005-06-14,24.420000076293945
2005-06-15,24.450000762939453
2005-06-16,24.329999923706055
2005-06-17,24.600000381469727
2005-06-20,24.649999618530273
2005-06-21,24.420000076293945
2005-06-22,24.700000762939453
2005-06-23,24.700000762939453
2005-06-24,24.399999618530273
2005-06-27,24.200000762939453
2005-06-28,24.329999923706055
2005-06-29,24.59000015258789
2005-06-30,24.5
2005-07-01,24.75
2005-07-05,24.75
2005-07-06,24.700000762939453
2005-07-07,24.700000762939453
2005-07-08,24.950000762939453
2005-07-11,24.600000381469727
2005-07-12,24.799999237060547
2005-07-13,24.940000534057617
2005-07-14,24.84000015258789
2005-07-15,24.649999618530273
2005-07-18,24.989999771118164
2005-07-19,24.899999618530273
2005-07-20,24.940000534057617
2005-07-21,24.989999771118164
2005-07-22,24.950000762939453
2005-07-25,24.950000762939453
2005-07-26,24.75
2005-07-27,24.989999771118164
2005-07-28,24.799999237060547
2005-07-29,25.0
2005-08-01,24.600000381469727
2005-08-02,24.899999618530273
2005-08-03,25.040000915527344
2005-08-04,24.969999313354492
2005-08-05,25.059999465942383
2005-08-08,25.450000762939453
2005-08-09,25.18000030517578
2005-08-10,25.020000457763672
2005-08-11,25.100000381469727
2005-08-12,25.329999923706055
2005-08-15,25.3700008392334
2005-08-16,25.049999237060547
2005-08-17,25.040000915527344
2005-08-18,25.149999618530273
2005-08-19,25.149999618530273
2005-08-22,25.139999389648438
2005-08-23,25.079999923706055
2005-08-24,25.0
2005-08-25,24.850000381469727
2005-08-26,25.049999237060547
2005-08-29,25.100000381469727
2005-08-30,25.079999923706055
2005-08-31,25.219999313354492
2005-09-01,25.299999237060547
2005-09-02,25.299999237060547
2005-09-06,25.440000534057617
2005-09-07,25.489999771118164
2005-09-08,25.899999618530273
2005-09-09,26.399999618530273
2005-09-12,25.969999313354492
2005-09-13,25.780000686645508
2005-09-14,25.700000762939453
2005-09-15,25.75
2005-09-16,25.75
2005-09-19,25.389999389648438
2005-09-20,25.75
2005-09-21,25.950000762939453
2005-09-22,25.649999618530273
2005-09-23,25.399999618530273
2005-09-26,25.510000228881836
2005-09-27,25.450000762939453
2005-09-28,25.5
2005-09-29,25.219999313354492
2005-09-30,25.510000228881836
2005-10-03,26.010000228881836
2005-10-04,26.729999542236328
2005-10-05,26.020000457763672
