,AAWW
2005-11-09,31.0
2005-11-10,31.0
2005-11-11,31.0
2005-11-14,31.0
2005-11-15,31.0
2005-11-16,30.25
2005-11-17,31.0
2005-11-18,31.299999237060547
2005-11-21,32.5
2005-11-22,33.0
2005-11-23,32.75
2005-11-25,32.75
2005-11-28,33.0
2005-11-29,33.0
2005-11-30,34.54999923706055
2005-12-01,36.0
2005-12-02,37.0
2005-12-05,37.5
2005-12-06,38.099998474121094
2005-12-07,38.0
2005-12-08,41.75
2005-12-09,41.5
2005-12-12,41.5
2005-12-13,41.0
2005-12-14,41.75
2005-12-15,41.75
2005-12-16,42.5
2005-12-19,42.5
2005-12-20,43.0
2005-12-21,43.099998474121094
2005-12-22,43.150001525878906
2005-12-23,44.0
2005-12-27,43.849998474121094
2005-12-28,44.79999923706055
2005-12-29,45.0
2005-12-30,45.0
2006-01-03,44.5
2006-01-04,45.0
2006-01-05,44.5
2006-01-06,44.25
2006-01-09,44.0
2006-01-10,43.75
2006-01-11,43.75
2006-01-12,44.0
2006-01-13,45.75
2006-01-17,45.0
2006-01-18,44.70000076293945
2006-01-19,44.900001525878906
2006-01-20,44.25
2006-01-23,44.20000076293945
2006-01-24,44.5
2006-01-25,44.5
2006-01-26,44.5
2006-01-27,45.75
2006-01-30,47.0
2006-01-31,48.0
2006-02-01,48.75
2006-02-02,48.25
2006-02-03,47.75
2006-02-06,47.75
2006-02-07,47.75
2006-02-08,47.75
2006-02-09,48.25
2006-02-10,48.25
2006-02-13,48.25
2006-02-14,48.25
2006-02-15,47.75
2006-02-16,47.75
2006-02-17,47.75
2006-02-21,47.630001068115234
2006-02-22,47.630001068115234
2006-02-23,47.5
2006-02-24,47.5
2006-02-27,47.47999954223633
2006-02-28,47.75
2006-03-01,48.0
2006-03-02,48.0
2006-03-03,47.5
2006-03-06,47.5
2006-03-07,47.5
2006-03-08,44.5
2006-03-09,44.5
2006-03-10,46.0
2006-03-13,47.0
2006-03-14,47.0
2006-03-15,48.0
2006-03-16,48.0
2006-03-17,48.0
2006-03-20,48.0
2006-03-21,47.5
2006-03-22,47.0
2006-03-23,47.25
2006-03-24,47.5
2006-03-27,46.5
2006-03-28,46.5
2006-03-29,46.5
2006-03-30,47.54999923706055
2006-03-31,47.099998474121094
2006-04-03,44.5
2006-04-04,45.0099983215332
2006-04-05,46.0
2006-04-06,46.0
2006-04-07,46.0
2006-04-10,46.0
2006-04-11,45.5
2006-04-12,46.0
2006-04-13,46.0
2006-04-17,46.0
2006-04-18,46.0
2006-04-19,46.0
2006-04-20,46.0
2006-04-21,46.0
2006-04-24,46.0
2006-04-25,45.900001525878906
2006-04-26,47.0
2006-04-27,46.0
2006-04-28,48.0
2006-05-01,47.5
2006-05-02,50.0
2006-05-03,49.5
2006-05-04,49.75
2006-05-05,50.0
2006-05-08,50.0
2006-05-09,50.75
2006-05-10,50.75
2006-05-11,50.75
2006-05-12,50.75
2006-05-15,50.0
2006-05-16,51.0
2006-05-17,50.0
2006-05-18,50.0
2006-05-19,49.0
2006-05-22,49.0
2006-05-23,49.0
2006-05-24,48.5
2006-05-25,48.5
2006-05-26,49.0
2006-05-30,51.0
2006-05-31,52.0
2006-06-01,50.9900016784668
2006-06-02,51.040000915527344
2006-06-05,50.88999938964844
2006-06-06,51.0
2006-06-07,50.97999954223633
2006-06-08,49.470001220703125
2006-06-09,49.150001525878906
2006-06-12,48.41999816894531
2006-06-13,47.959999084472656
2006-06-14,49.369998931884766
2006-06-15,50.0
2006-06-16,49.790000915527344
2006-06-19,50.029998779296875
2006-06-20,50.0
2006-06-21,50.0
2006-06-22,49.900001525878906
2006-06-23,50.0
2006-06-26,50.0
2006-06-27,50.0
2006-06-28,50.0
2006-06-29,50.34000015258789
2006-06-30,49.040000915527344
2006-07-03,49.95000076293945
2006-07-05,48.959999084472656
2006-07-06,49.04999923706055
2006-07-07,47.560001373291016
2006-07-10,47.599998474121094
2006-07-11,47.09000015258789
2006-07-12,45.90999984741211
2006-07-13,42.380001068115234
2006-07-14,41.5099983215332
2006-07-17,41.04999923706055
2006-07-18,41.099998474121094
2006-07-19,44.4900016784668
2006-07-20,43.349998474121094
2006-07-21,41.22999954223633
2006-07-24,42.7400016784668
2006-07-25,42.56999969482422
2006-07-26,41.630001068115234
2006-07-27,41.040000915527344
2006-07-28,41.130001068115234
2006-07-31,42.060001373291016
2006-08-01,40.939998626708984
2006-08-02,41.0
2006-08-03,40.540000915527344
2006-08-04,39.81999969482422
2006-08-07,39.45000076293945
2006-08-08,38.65999984741211
2006-08-09,37.18000030517578
2006-08-10,35.93000030517578
2006-08-11,37.81999969482422
2006-08-14,38.150001525878906
2006-08-15,39.04999923706055
2006-08-16,40.630001068115234
2006-08-17,41.619998931884766
2006-08-18,41.720001220703125
2006-08-21,41.0
2006-08-22,41.970001220703125
2006-08-23,41.38999938964844
2006-08-24,41.959999084472656
2006-08-25,42.470001220703125
2006-08-28,42.70000076293945
2006-08-29,43.25
2006-08-30,43.959999084472656
2006-08-31,43.93000030517578
2006-09-01,44.06999969482422
2006-09-05,44.0
2006-09-06,43.810001373291016
2006-09-07,43.13999938964844
2006-09-08,42.970001220703125
2006-09-11,42.66999816894531
2006-09-12,43.58000183105469
2006-09-13,43.90999984741211
2006-09-14,43.83000183105469
2006-09-15,43.75
2006-09-18,43.7599983215332
2006-09-19,43.91999816894531
2006-09-20,44.290000915527344
2006-09-21,44.15999984741211
2006-09-22,43.79999923706055
2006-09-25,43.84000015258789
2006-09-26,43.86000061035156
2006-09-27,43.88999938964844
2006-09-28,43.91999816894531
2006-09-29,43.52000045776367
2006-10-02,43.56999969482422
2006-10-03,43.939998626708984
2006-10-04,44.7400016784668
2006-10-05,45.2400016784668
2006-10-06,45.380001068115234
2006-10-09,45.13999938964844
2006-10-10,46.2400016784668
2006-10-11,46.45000076293945
2006-10-12,46.81999969482422
2006-10-13,46.560001373291016
2006-10-16,47.4900016784668
2006-10-17,47.040000915527344
2006-10-18,47.95000076293945
2006-10-19,47.97999954223633
2006-10-20,47.68000030517578
2006-10-23,47.040000915527344
2006-10-24,46.79999923706055
2006-10-25,46.84000015258789
2006-10-26,46.52000045776367
2006-10-27,45.869998931884766
2006-10-30,45.77000045776367
2006-10-31,45.4900016784668
2006-11-01,44.65999984741211
2006-11-02,43.209999084472656
2006-11-03,43.400001525878906
2006-11-06,43.38999938964844
2006-11-07,43.29999923706055
2006-11-08,41.4900016784668
2006-11-09,39.09000015258789
2006-11-10,37.959999084472656
