,DSP
2021-02-10,47.720001220703125
2021-02-11,57.0
2021-02-12,65.48999786376953
2021-02-16,68.30999755859375
2021-02-17,62.0
2021-02-18,62.5
2021-02-19,65.91999816894531
2021-02-22,65.01000213623047
2021-02-23,58.30500030517578
2021-02-24,55.56999969482422
2021-02-25,53.4900016784668
2021-02-26,49.59000015258789
2021-03-01,52.72999954223633
2021-03-02,50.619998931884766
2021-03-03,42.9900016784668
2021-03-04,42.09000015258789
2021-03-05,41.31999969482422
2021-03-08,37.939998626708984
2021-03-09,39.560001373291016
2021-03-10,43.79999923706055
2021-03-11,43.83000183105469
2021-03-12,50.15999984741211
2021-03-15,49.779998779296875
2021-03-16,50.849998474121094
2021-03-17,47.779998779296875
2021-03-18,48.779998779296875
2021-03-19,52.2599983215332
2021-03-22,59.7400016784668
2021-03-23,49.41999816894531
2021-03-24,47.290000915527344
2021-03-25,46.11000061035156
2021-03-26,44.939998626708984
2021-03-29,44.06999969482422
2021-03-30,50.400001525878906
2021-03-31,52.88999938964844
2021-04-01,48.91999816894531
2021-04-05,44.45000076293945
2021-04-06,42.08000183105469
2021-04-07,42.130001068115234
2021-04-08,44.81999969482422
2021-04-09,43.540000915527344
2021-04-12,42.290000915527344
2021-04-13,42.54999923706055
2021-04-14,41.900001525878906
2021-04-15,40.220001220703125
2021-04-16,39.029998779296875
2021-04-19,39.2400016784668
2021-04-20,33.349998474121094
2021-04-21,32.630001068115234
2021-04-22,35.310001373291016
2021-04-23,33.40999984741211
2021-04-26,31.200000762939453
2021-04-27,33.5
2021-04-28,32.029998779296875
2021-04-29,33.16999816894531
2021-04-30,32.84000015258789
2021-05-03,33.91999816894531
2021-05-04,32.16999816894531
2021-05-05,31.969999313354492
2021-05-06,30.530000686645508
2021-05-07,32.90999984741211
2021-05-10,27.90999984741211
2021-05-11,28.65999984741211
2021-05-12,27.299999237060547
2021-05-13,24.09000015258789
2021-05-14,27.3799991607666
