,DAPP
2021-04-15,32.29999923706055
2021-04-16,31.770000457763672
2021-04-19,29.530000686645508
2021-04-20,28.84000015258789
2021-04-21,29.969999313354492
2021-04-22,28.364999771118164
2021-04-23,28.81999969482422
2021-04-26,30.416000366210938
2021-04-27,30.424999237060547
2021-04-28,30.770000457763672
2021-04-29,29.579999923706055
2021-04-30,30.6200008392334
2021-05-03,30.46299934387207
2021-05-04,28.899999618530273
2021-05-05,29.190000534057617
2021-05-06,28.010000228881836
2021-05-07,28.40999984741211
2021-05-10,26.760000228881836
2021-05-11,26.608999252319336
2021-05-12,24.954999923706055
2021-05-13,23.149999618530273
2021-05-14,25.1299991607666
