,CRSAU
2019-03-08,10.0
2019-03-11,10.0
2019-03-12,10.0
2019-03-13,9.989999771118164
2019-03-14,10.0
2019-03-15,10.0
2019-03-18,10.0
2019-03-19,10.0
2019-03-20,10.0
2019-03-21,9.960000038146973
2019-03-22,9.960000038146973
2019-03-25,9.970000267028809
2019-03-26,9.970000267028809
2019-03-27,9.984999656677246
2019-03-28,10.0
2019-03-29,10.0
2019-04-01,10.0
2019-04-02,10.029999732971191
2019-04-03,10.029999732971191
2019-04-04,10.020000457763672
2019-04-05,10.014399528503418
2019-04-08,10.014399528503418
2019-04-09,10.029999732971191
2019-04-10,10.039999961853027
2019-04-11,10.029999732971191
2019-04-12,10.035900115966797
2019-04-15,10.050000190734863
2019-04-16,10.030099868774414
2019-04-17,10.09000015258789
2019-04-18,10.056900024414062
2019-04-22,10.050000190734863
2019-04-23,10.055000305175781
2019-04-24,10.055000305175781
2019-04-25,10.079999923706055
2019-04-26,10.069999694824219
2019-04-29,10.079999923706055
2019-04-30,10.029999732971191
2019-05-01,10.079999923706055
2019-05-02,10.100000381469727
2019-05-03,10.100000381469727
2019-05-06,10.100000381469727
2019-05-07,10.079999923706055
2019-05-08,10.10099983215332
2019-05-09,10.100000381469727
2019-05-10,10.100000381469727
2019-05-13,10.069999694824219
2019-05-14,10.050000190734863
2019-05-15,10.020000457763672
2019-05-16,10.085000038146973
2019-05-17,10.029999732971191
2019-05-20,10.069999694824219
2019-05-21,10.069999694824219
2019-05-22,10.069999694824219
2019-05-23,10.069999694824219
2019-05-24,10.069999694824219
2019-05-28,10.069999694824219
2019-05-29,10.069999694824219
2019-05-30,10.069999694824219
2019-05-31,10.069999694824219
2019-06-03,10.069999694824219
2019-06-04,10.069999694824219
2019-06-05,10.100000381469727
2019-06-06,10.100000381469727
2019-06-07,10.100000381469727
2019-06-10,10.100000381469727
2019-06-11,10.09000015258789
2019-06-12,10.08489990234375
2019-06-13,10.09000015258789
2019-06-14,10.09000015258789
2019-06-17,10.069999694824219
2019-06-18,10.069999694824219
2019-06-19,10.069999694824219
2019-06-20,10.100000381469727
2019-06-21,10.050000190734863
2019-06-24,10.050000190734863
2019-06-25,10.020099639892578
2019-06-26,10.010100364685059
2019-06-27,10.010100364685059
2019-06-28,10.050100326538086
2019-07-01,10.079999923706055
2019-07-02,10.100000381469727
2019-07-03,10.100000381469727
2019-07-05,10.117199897766113
2019-07-08,10.109999656677246
2019-07-09,10.130000114440918
2019-07-10,10.130000114440918
2019-07-11,10.130000114440918
2019-07-12,10.130000114440918
2019-07-15,10.130000114440918
2019-07-16,10.119999885559082
2019-07-17,10.119999885559082
2019-07-18,10.119999885559082
2019-07-19,10.119999885559082
2019-07-22,10.119999885559082
2019-07-23,10.119999885559082
2019-07-24,10.119999885559082
2019-07-25,10.109999656677246
2019-07-26,10.0600004196167
2019-07-29,10.130000114440918
2019-07-30,10.130000114440918
2019-07-31,10.140000343322754
2019-08-01,10.130000114440918
2019-08-02,10.029999732971191
2019-08-05,10.029999732971191
2019-08-06,10.119999885559082
2019-08-07,10.149999618530273
2019-08-08,10.130000114440918
2019-08-09,10.130000114440918
2019-08-12,10.130000114440918
2019-08-13,10.130000114440918
2019-08-14,10.170000076293945
2019-08-15,10.170000076293945
2019-08-16,10.170000076293945
2019-08-19,10.170000076293945
2019-08-20,10.170000076293945
2019-08-21,10.169899940490723
2019-08-22,10.169899940490723
2019-08-23,10.149999618530273
2019-08-26,10.149999618530273
2019-08-27,10.170000076293945
2019-08-28,10.170000076293945
2019-08-29,10.170000076293945
2019-08-30,10.170000076293945
2019-09-03,10.149999618530273
2019-09-04,10.140000343322754
2019-09-05,10.170000076293945
2019-09-06,10.170000076293945
2019-09-09,10.170000076293945
2019-09-10,10.170000076293945
2019-09-11,10.170000076293945
2019-09-12,10.170000076293945
2019-09-13,10.170000076293945
2019-09-16,10.149999618530273
2019-09-17,10.180000305175781
2019-09-18,10.184100151062012
2019-09-19,10.184100151062012
2019-09-20,10.069999694824219
2019-09-23,10.149999618530273
2019-09-24,10.180000305175781
2019-09-25,10.180000305175781
2019-09-26,10.15999984741211
2019-09-27,10.15999984741211
2019-09-30,10.15999984741211
2019-10-01,10.15999984741211
2019-10-02,10.15999984741211
2019-10-03,10.199999809265137
2019-10-04,10.199999809265137
2019-10-07,10.199999809265137
2019-10-08,10.199999809265137
