,BANX
2013-11-07,25.0
2013-11-08,24.989999771118164
2013-11-11,25.25
2013-11-12,25.010000228881836
2013-11-13,25.209999084472656
2013-11-14,25.450000762939453
2013-11-15,25.299999237060547
2013-11-18,25.389999389648438
2013-11-19,25.700000762939453
2013-11-20,25.799999237060547
2013-11-21,25.68000030517578
2013-11-22,25.299999237060547
2013-11-25,25.200000762939453
2013-11-26,25.049999237060547
2013-11-27,25.0
2013-11-29,25.09000015258789
2013-12-02,25.440000534057617
2013-12-03,25.34000015258789
2013-12-04,25.350000381469727
2013-12-05,25.389999389648438
2013-12-06,25.209999084472656
2013-12-09,25.200000762939453
2013-12-10,25.09000015258789
2013-12-11,24.899999618530273
2013-12-12,25.0
2013-12-13,24.700000762939453
2013-12-16,24.850000381469727
2013-12-17,24.899999618530273
2013-12-18,25.020000457763672
2013-12-19,24.899999618530273
2013-12-20,24.5
2013-12-23,24.6200008392334
2013-12-24,24.899999618530273
2013-12-26,24.899999618530273
2013-12-27,24.850000381469727
2013-12-30,24.709999084472656
2013-12-31,24.559999465942383
2014-01-02,24.690000534057617
2014-01-03,24.75
2014-01-06,24.780000686645508
2014-01-07,24.799999237060547
2014-01-08,24.600000381469727
2014-01-09,24.649999618530273
2014-01-10,24.719999313354492
2014-01-13,24.649999618530273
2014-01-14,24.850000381469727
2014-01-15,24.850000381469727
2014-01-16,24.90999984741211
2014-01-17,24.950000762939453
2014-01-21,25.100000381469727
2014-01-22,25.18000030517578
2014-01-23,25.0
2014-01-24,24.899999618530273
2014-01-27,24.809999465942383
2014-01-28,25.0
2014-01-29,25.0
2014-01-30,25.139999389648438
2014-01-31,25.09000015258789
2014-02-03,24.93000030517578
2014-02-04,24.809999465942383
2014-02-05,24.850000381469727
2014-02-06,24.690000534057617
2014-02-07,25.09000015258789
2014-02-10,24.690000534057617
2014-02-11,24.940000534057617
2014-02-12,24.940000534057617
2014-02-13,24.989999771118164
2014-02-14,25.0
2014-02-18,24.889999389648438
2014-02-19,24.649999618530273
2014-02-20,24.649999618530273
2014-02-21,24.700000762939453
2014-02-24,24.5
2014-02-25,24.31999969482422
2014-02-26,24.600000381469727
2014-02-27,25.0
2014-02-28,24.989999771118164
2014-03-03,24.989999771118164
2014-03-04,24.889999389648438
2014-03-05,24.459999084472656
2014-03-06,24.940000534057617
2014-03-07,24.989999771118164
2014-03-10,24.549999237060547
2014-03-11,24.360000610351562
2014-03-12,24.459999084472656
2014-03-13,24.510000228881836
2014-03-14,24.530000686645508
2014-03-17,24.760000228881836
2014-03-18,25.0
2014-03-19,25.0
2014-03-20,24.90999984741211
2014-03-21,25.010000228881836
2014-03-24,25.100000381469727
2014-03-25,25.15999984741211
2014-03-26,25.020000457763672
2014-03-27,24.90999984741211
2014-03-28,24.90999984741211
2014-03-31,24.579999923706055
2014-04-01,24.780000686645508
2014-04-02,25.0
2014-04-03,25.200000762939453
2014-04-04,25.0
2014-04-07,24.850000381469727
2014-04-08,25.0
2014-04-09,24.530000686645508
2014-04-10,24.639999389648438
2014-04-11,25.079999923706055
2014-04-14,24.8799991607666
2014-04-15,24.729999542236328
2014-04-16,25.100000381469727
2014-04-17,25.100000381469727
2014-04-21,25.010000228881836
2014-04-22,25.290000915527344
2014-04-23,24.90999984741211
2014-04-24,24.989999771118164
2014-04-25,25.09000015258789
2014-04-28,25.0
