,AGCUU
2020-10-01,12.149999618530273
2020-10-02,12.0
2020-10-05,12.029999732971191
2020-10-06,11.800000190734863
2020-10-07,11.755000114440918
2020-10-08,11.789999961853027
2020-10-09,11.75
2020-10-12,11.699999809265137
2020-10-13,11.75
2020-10-14,11.75
2020-10-15,11.899999618530273
2020-10-16,11.899999618530273
2020-10-19,11.875
2020-10-20,11.824999809265137
2020-10-21,11.850000381469727
2020-10-22,11.800000190734863
2020-10-23,11.75
2020-10-26,11.649999618530273
2020-10-27,11.699999809265137
2020-10-28,11.670000076293945
2020-10-29,11.765000343322754
2020-10-30,11.699999809265137
2020-11-02,11.770000457763672
2020-11-03,11.859999656677246
2020-11-04,12.100000381469727
2020-11-05,12.100000381469727
2020-11-06,12.199999809265137
2020-11-09,11.800000190734863
2020-11-10,11.989999771118164
2020-11-11,12.0600004196167
2020-11-12,12.100000381469727
2020-11-13,11.970000267028809
2020-11-16,12.0
2020-11-17,12.010000228881836
2020-11-18,12.0
2020-11-19,12.079999923706055
2020-11-20,12.0
2020-11-23,12.0
2020-11-24,12.119999885559082
2020-11-25,12.069999694824219
2020-11-27,12.079999923706055
2020-11-30,12.100000381469727
2020-12-01,12.739999771118164
2020-12-02,12.425000190734863
2020-12-03,12.760000228881836
2020-12-04,13.0
2020-12-07,12.899999618530273
2020-12-08,12.779999732971191
2020-12-09,13.0
2020-12-10,12.84000015258789
2020-12-11,12.819999694824219
2020-12-14,13.25
2020-12-15,13.199999809265137
2020-12-16,13.619999885559082
2020-12-17,13.640000343322754
2020-12-18,14.220000267028809
2020-12-21,14.569999694824219
2020-12-22,14.279999732971191
2020-12-23,14.25
2020-12-24,14.239999771118164
2020-12-28,13.8100004196167
2020-12-29,13.5
2020-12-30,13.880000114440918
2020-12-31,13.0
2021-01-04,13.600000381469727
2021-01-05,13.619999885559082
2021-01-06,13.699999809265137
2021-01-07,14.5
2021-01-08,14.25
2021-01-11,14.789999961853027
2021-01-12,15.069999694824219
2021-01-13,14.680000305175781
2021-01-14,15.0
2021-01-15,15.300000190734863
2021-01-19,15.670000076293945
2021-01-20,15.489999771118164
2021-01-21,17.229999542236328
2021-01-22,18.0
2021-01-25,15.819999694824219
2021-01-26,15.0
2021-01-27,13.510000228881836
2021-01-28,14.579999923706055
2021-01-29,14.5
2021-02-01,15.220000267028809
2021-02-02,15.350000381469727
2021-02-03,15.199999809265137
2021-02-04,15.199999809265137
2021-02-05,15.800000190734863
2021-02-08,15.460000038146973
2021-02-09,15.6899995803833
2021-02-10,15.449999809265137
2021-02-11,14.819999694824219
2021-02-12,14.850000381469727
2021-02-16,15.239999771118164
2021-02-17,15.220000267028809
2021-02-18,14.800000190734863
2021-02-19,14.675000190734863
2021-02-22,14.729999542236328
2021-02-23,14.789999961853027
2021-02-24,13.699999809265137
2021-02-25,13.529999732971191
2021-02-26,13.489999771118164
2021-03-01,13.5
2021-03-02,13.399999618530273
2021-03-03,12.045999526977539
2021-03-04,11.8100004196167
2021-03-05,12.039999961853027
2021-03-08,11.880000114440918
2021-03-09,12.350000381469727
2021-03-10,12.670000076293945
2021-03-11,15.597999572753906
2021-03-12,14.979999542236328
2021-03-15,14.529999732971191
2021-03-16,13.760000228881836
2021-03-17,13.550000190734863
2021-03-18,13.760000228881836
2021-03-19,13.829999923706055
2021-03-22,14.369999885559082
2021-03-23,13.430000305175781
2021-03-24,12.430000305175781
2021-03-25,12.739999771118164
2021-03-26,12.329999923706055
2021-03-29,12.260000228881836
2021-03-30,11.850000381469727
2021-03-31,12.229999542236328
2021-04-01,12.609999656677246
2021-04-05,12.800000190734863
2021-04-06,13.381999969482422
2021-04-07,14.199999809265137
2021-04-08,14.869999885559082
2021-04-09,14.619999885559082
2021-04-12,14.949999809265137
2021-04-13,16.139999389648438
2021-04-14,15.4399995803833
2021-04-15,14.420000076293945
2021-04-16,13.420000076293945
2021-04-19,14.010000228881836
2021-04-20,13.579999923706055
2021-04-21,13.569999694824219
2021-04-22,13.5
2021-04-23,13.779999732971191
2021-04-26,14.460000038146973
2021-04-27,14.550000190734863
2021-04-28,14.170000076293945
2021-04-29,13.779999732971191
2021-04-30,14.069999694824219
2021-05-03,13.699999809265137
2021-05-04,13.630000114440918
2021-05-05,13.180000305175781
2021-05-06,12.510000228881836
2021-05-07,12.350000381469727
2021-05-10,12.399999618530273
2021-05-11,13.25
2021-05-12,12.170000076293945
2021-05-13,11.779999732971191
2021-05-14,12.180000305175781
