,CHSCO
2013-09-23,26.100000381469727
2013-09-24,26.0
2013-09-25,26.1299991607666
2013-09-26,26.459999084472656
2013-09-27,27.59000015258789
2013-09-30,27.440000534057617
2013-10-01,27.459999084472656
2013-10-02,27.489999771118164
2013-10-03,27.479999542236328
2013-10-04,27.540000915527344
2013-10-07,28.100000381469727
2013-10-08,28.049999237060547
2013-10-09,27.959999084472656
2013-10-10,28.149999618530273
2013-10-11,28.399999618530273
2013-10-14,28.399999618530273
2013-10-15,28.489999771118164
2013-10-16,28.280000686645508
2013-10-17,28.209999084472656
2013-10-18,28.139999389648438
2013-10-21,27.959999084472656
2013-10-22,28.010000228881836
2013-10-23,28.25
2013-10-24,28.100000381469727
2013-10-25,28.200000762939453
2013-10-28,28.299999237060547
2013-10-29,28.280000686645508
2013-10-30,28.290000915527344
2013-10-31,28.610000610351562
2013-11-01,28.3799991607666
2013-11-04,28.25
2013-11-05,28.290000915527344
2013-11-06,28.299999237060547
2013-11-07,28.31999969482422
2013-11-08,28.209999084472656
2013-11-11,28.25
2013-11-12,28.329999923706055
2013-11-13,28.3799991607666
2013-11-14,28.479999542236328
2013-11-15,28.3799991607666
2013-11-18,28.399999618530273
2013-11-19,28.489999771118164
2013-11-20,28.450000762939453
2013-11-21,28.5
2013-11-22,28.829999923706055
2013-11-25,28.5
2013-11-26,28.75
2013-11-27,28.690000534057617
2013-11-29,28.649999618530273
2013-12-02,28.600000381469727
2013-12-03,28.5
2013-12-04,28.520000457763672
2013-12-05,28.489999771118164
2013-12-06,28.600000381469727
2013-12-09,28.56999969482422
2013-12-10,28.75
2013-12-11,28.719999313354492
2013-12-12,28.200000762939453
2013-12-13,28.579999923706055
2013-12-16,28.639999389648438
2013-12-17,28.479999542236328
2013-12-18,28.450000762939453
2013-12-19,28.600000381469727
2013-12-20,28.450000762939453
2013-12-23,28.450000762939453
2013-12-24,28.350000381469727
2013-12-26,28.350000381469727
2013-12-27,28.25
2013-12-30,28.889999389648438
2013-12-31,28.469999313354492
2014-01-02,28.25
2014-01-03,28.219999313354492
2014-01-06,28.260000228881836
2014-01-07,28.299999237060547
2014-01-08,28.25
2014-01-09,28.229999542236328
2014-01-10,28.34000015258789
2014-01-13,28.469999313354492
2014-01-14,28.440000534057617
2014-01-15,28.399999618530273
2014-01-16,28.649999618530273
2014-01-17,28.5
2014-01-21,28.56999969482422
2014-01-22,28.579999923706055
2014-01-23,28.65999984741211
2014-01-24,28.610000610351562
2014-01-27,28.6299991607666
2014-01-28,28.75
2014-01-29,28.829999923706055
2014-01-30,28.790000915527344
2014-01-31,28.670000076293945
2014-02-03,28.700000762939453
2014-02-04,28.799999237060547
2014-02-05,28.790000915527344
2014-02-06,28.780000686645508
2014-02-07,28.850000381469727
2014-02-10,28.950000762939453
2014-02-11,28.989999771118164
2014-02-12,28.299999237060547
2014-02-13,28.270000457763672
2014-02-14,28.219999313354492
2014-02-18,27.760000228881836
2014-02-19,27.59000015258789
2014-02-20,27.239999771118164
2014-02-21,27.3799991607666
2014-02-24,27.299999237060547
2014-02-25,27.40999984741211
2014-02-26,27.389999389648438
2014-02-27,27.5
2014-02-28,27.559999465942383
2014-03-03,27.700000762939453
2014-03-04,27.979999542236328
2014-03-05,28.229999542236328
2014-03-06,28.5
2014-03-07,28.290000915527344
2014-03-10,28.479999542236328
2014-03-11,28.670000076293945
2014-03-12,28.950000762939453
2014-03-13,29.280000686645508
2014-03-14,29.420000076293945
2014-03-17,29.299999237060547
2014-03-18,29.049999237060547
2014-03-19,28.899999618530273
2014-03-20,28.899999618530273
2014-03-21,29.270000457763672
2014-03-24,29.239999771118164
2014-03-25,29.299999237060547
2014-03-26,29.170000076293945
2014-03-27,29.229999542236328
2014-03-28,29.25
2014-03-31,29.229999542236328
2014-04-01,29.479999542236328
2014-04-02,29.420000076293945
2014-04-03,29.520000457763672
2014-04-04,29.510000228881836
2014-04-07,29.450000762939453
2014-04-08,29.420000076293945
2014-04-09,29.440000534057617
2014-04-10,29.43000030517578
2014-04-11,29.420000076293945
2014-04-14,29.420000076293945
2014-04-15,29.520000457763672
2014-04-16,29.18000030517578
2014-04-17,28.260000228881836
2014-04-21,28.729999542236328
2014-04-22,28.829999923706055
2014-04-23,29.06999969482422
2014-04-24,29.0
2014-04-25,29.260000228881836
2014-04-28,29.25
2014-04-29,29.520000457763672
2014-04-30,29.540000915527344
2014-05-01,29.489999771118164
2014-05-02,29.469999313354492
2014-05-05,29.43000030517578
2014-05-06,29.489999771118164
2014-05-07,29.469999313354492
2014-05-08,29.600000381469727
2014-05-09,29.75
2014-05-12,29.799999237060547
2014-05-13,29.84000015258789
2014-05-14,30.209999084472656
2014-05-15,30.18000030517578
2014-05-16,30.34000015258789
2014-05-19,30.510000228881836
2014-05-20,30.260000228881836
2014-05-21,30.270000457763672
2014-05-22,30.200000762939453
2014-05-23,30.299999237060547
2014-05-27,30.389999389648438
2014-05-28,30.34000015258789
2014-05-29,30.350000381469727
2014-05-30,30.34000015258789
2014-06-02,30.25
2014-06-03,30.100000381469727
2014-06-04,29.770000457763672
2014-06-05,29.600000381469727
2014-06-06,29.649999618530273
2014-06-09,29.719999313354492
2014-06-10,29.579999923706055
2014-06-11,29.639999389648438
2014-06-12,29.530000686645508
2014-06-13,29.229999542236328
2014-06-16,29.270000457763672
2014-06-17,29.309999465942383
2014-06-18,29.459999084472656
2014-06-19,29.489999771118164
2014-06-20,29.290000915527344
2014-06-23,29.479999542236328
2014-06-24,29.5
2014-06-25,29.5
2014-06-26,29.549999237060547
2014-06-27,29.40999984741211
2014-06-30,29.559999465942383
2014-07-01,29.479999542236328
2014-07-02,29.5
2014-07-03,29.40999984741211
2014-07-07,29.40999984741211
2014-07-08,29.479999542236328
2014-07-09,29.5
2014-07-10,29.1299991607666
2014-07-11,29.270000457763672
2014-07-14,29.600000381469727
2014-07-15,29.549999237060547
2014-07-16,29.549999237060547
2014-07-17,29.360000610351562
2014-07-18,29.56999969482422
2014-07-21,29.549999237060547
2014-07-22,29.59000015258789
2014-07-23,29.579999923706055
2014-07-24,29.5
2014-07-25,29.59000015258789
2014-07-28,29.549999237060547
2014-07-29,29.5
2014-07-30,29.520000457763672
2014-07-31,29.25
2014-08-01,29.260000228881836
2014-08-04,29.450000762939453
2014-08-05,29.059999465942383
2014-08-06,29.15999984741211
2014-08-07,29.420000076293945
2014-08-08,29.450000762939453
2014-08-11,29.5
2014-08-12,29.6299991607666
2014-08-13,29.6299991607666
2014-08-14,29.6200008392334
2014-08-15,29.530000686645508
2014-08-18,29.6200008392334
2014-08-19,29.6299991607666
2014-08-20,29.360000610351562
2014-08-21,29.459999084472656
2014-08-22,29.549999237060547
2014-08-25,29.389999389648438
2014-08-26,29.489999771118164
2014-08-27,29.549999237060547
2014-08-28,29.350000381469727
2014-08-29,29.25
2014-09-02,29.280000686645508
2014-09-03,29.219999313354492
2014-09-04,28.93000030517578
2014-09-05,29.579999923706055
2014-09-08,28.899999618530273
2014-09-09,28.65999984741211
2014-09-10,28.81999969482422
2014-09-11,28.920000076293945
2014-09-12,28.3700008392334
2014-09-15,28.290000915527344
2014-09-16,28.350000381469727
2014-09-17,28.15999984741211
2014-09-18,28.350000381469727
2014-09-19,28.260000228881836
2014-09-22,28.110000610351562
2014-09-23,27.899999618530273
2014-09-24,27.790000915527344
2014-09-25,28.079999923706055
2014-09-26,28.239999771118164
2014-09-29,27.969999313354492
2014-09-30,27.950000762939453
2014-10-01,28.020000457763672
2014-10-02,28.06999969482422
2014-10-03,27.989999771118164
2014-10-06,27.940000534057617
2014-10-07,27.93000030517578
2014-10-08,27.950000762939453
2014-10-09,27.799999237060547
2014-10-10,27.610000610351562
2014-10-13,27.540000915527344
2014-10-14,27.81999969482422
2014-10-15,27.700000762939453
2014-10-16,28.030000686645508
2014-10-17,27.899999618530273
2014-10-20,27.780000686645508
2014-10-21,27.93000030517578
2014-10-22,28.09000015258789
2014-10-23,28.059999465942383
2014-10-24,28.280000686645508
2014-10-27,28.360000610351562
2014-10-28,28.399999618530273
2014-10-29,28.520000457763672
2014-10-30,28.56999969482422
2014-10-31,28.469999313354492
2014-11-03,28.790000915527344
2014-11-04,28.649999618530273
2014-11-05,28.559999465942383
2014-11-06,28.799999237060547
2014-11-07,28.649999618530273
2014-11-10,28.739999771118164
2014-11-11,28.729999542236328
2014-11-12,28.739999771118164
