,CFFN
1999-04-01,4.2933030128479
1999-04-05,4.003402233123779
1999-04-06,4.003402233123779
1999-04-07,3.9205729961395264
1999-04-08,4.086231231689453
1999-04-09,4.03101110458374
1999-04-12,4.058620929718018
1999-04-13,4.058620929718018
1999-04-14,4.141449928283691
1999-04-15,4.141449928283691
1999-04-16,4.196669101715088
1999-04-19,4.224278926849365
1999-04-20,4.169060230255127
1999-04-21,4.169060230255127
1999-04-22,4.169060230255127
1999-04-23,4.086231231689453
1999-04-26,4.169060230255127
1999-04-27,4.141449928283691
1999-04-28,4.224278926849365
1999-04-29,4.251889228820801
1999-04-30,4.238083839416504
1999-05-03,4.224278926849365
1999-05-04,4.169060230255127
1999-05-05,4.113840103149414
1999-05-06,4.113840103149414
1999-05-07,4.169060230255127
1999-05-10,4.2311811447143555
1999-05-11,4.279498100280762
1999-05-12,4.2933030128479
1999-05-13,4.2933030128479
1999-05-14,4.251889228820801
1999-05-17,4.224278926849365
1999-05-18,4.210474014282227
1999-05-19,4.251889228820801
1999-05-20,4.265693187713623
1999-05-21,4.238083839416504
1999-05-24,4.224278926849365
1999-05-25,4.251889228820801
1999-05-26,4.251889228820801
1999-05-27,4.238083839416504
1999-05-28,4.307107925415039
1999-06-01,4.238083839416504
1999-06-02,4.251889228820801
1999-06-03,4.251889228820801
1999-06-04,4.251889228820801
1999-06-07,4.238083839416504
1999-06-08,4.251889228820801
1999-06-09,4.265693187713623
1999-06-10,4.2933030128479
1999-06-11,4.2933030128479
1999-06-14,4.307107925415039
1999-06-15,4.3623270988464355
1999-06-16,4.348522186279297
1999-06-17,4.348522186279297
1999-06-18,4.389936923980713
1999-06-21,4.376132011413574
1999-06-22,4.403741836547852
1999-06-23,4.417545795440674
1999-06-24,4.417545795440674
1999-06-25,4.403741836547852
1999-06-28,4.403741836547852
1999-06-29,4.417545795440674
1999-06-30,4.610814094543457
1999-07-01,4.472765922546387
1999-07-02,4.5555949211120605
1999-07-06,4.5555949211120605
1999-07-07,4.5555949211120605
1999-07-08,4.5555949211120605
1999-07-09,4.534887790679932
1999-07-12,4.527985095977783
1999-07-13,4.541790008544922
1999-07-14,4.610814094543457
1999-07-15,4.610814094543457
1999-07-16,4.610814094543457
1999-07-19,4.5555949211120605
1999-07-20,4.527985095977783
1999-07-21,4.541790008544922
1999-07-22,4.527985095977783
1999-07-23,4.500374794006348
1999-07-26,4.527985095977783
1999-07-27,4.5555949211120605
1999-07-28,4.610814094543457
1999-07-29,4.5832037925720215
1999-07-30,4.5832037925720215
1999-08-02,4.569399833679199
1999-08-03,4.5832037925720215
1999-08-04,4.5555949211120605
1999-08-05,4.527985095977783
1999-08-06,4.500374794006348
1999-08-09,4.500374794006348
1999-08-10,4.500374794006348
1999-08-11,4.500374794006348
1999-08-12,4.472765922546387
1999-08-13,4.472765922546387
1999-08-16,4.472765922546387
1999-08-17,4.479668140411377
1999-08-18,4.445156097412109
