,ASPC
2021-04-14,9.8100004196167
2021-04-15,9.8100004196167
2021-04-16,9.800000190734863
2021-04-19,9.890000343322754
2021-04-20,9.890000343322754
2021-04-21,9.890000343322754
2021-04-22,9.755000114440918
2021-04-23,9.755000114440918
2021-04-26,9.670000076293945
2021-04-27,9.75
2021-04-28,9.710000038146973
2021-04-29,9.720000267028809
2021-04-30,9.720000267028809
2021-05-03,9.75
2021-05-04,9.75
2021-05-05,9.699999809265137
2021-05-06,9.699999809265137
2021-05-07,9.699999809265137
2021-05-10,9.699999809265137
2021-05-11,9.710000038146973
2021-05-12,9.710000038146973
2021-05-13,9.720000267028809
2021-05-14,9.770000457763672
