,BTEC
2016-08-22,25.5
2016-08-23,25.68000030517578
2016-08-24,25.5
2016-08-25,25.5
2016-08-26,25.5
2016-08-29,25.5
2016-08-30,24.670000076293945
2016-08-31,24.670000076293945
2016-09-01,24.670000076293945
2016-09-02,24.670000076293945
2016-09-06,24.670000076293945
2016-09-07,25.399999618530273
2016-09-08,25.399999618530273
2016-09-09,25.320999145507812
2016-09-12,25.320999145507812
2016-09-13,24.96500015258789
2016-09-14,25.472000122070312
2016-09-15,25.472000122070312
2016-09-16,25.472000122070312
2016-09-19,26.450000762939453
2016-09-20,26.450000762939453
2016-09-21,26.40999984741211
2016-09-22,26.40999984741211
2016-09-23,26.40999984741211
2016-09-26,26.40999984741211
2016-09-27,27.139999389648438
2016-09-28,27.139999389648438
2016-09-29,26.5
2016-09-30,26.299999237060547
2016-10-03,25.979999542236328
2016-10-04,26.049999237060547
2016-10-05,26.3799991607666
2016-10-06,26.079999923706055
2016-10-07,25.239999771118164
2016-10-10,25.579999923706055
2016-10-11,25.0
2016-10-12,25.0
2016-10-13,24.30900001525879
2016-10-14,24.149999618530273
2016-10-17,23.5
2016-10-18,23.5
2016-10-19,23.5
2016-10-20,23.5
2016-10-21,23.5
2016-10-24,23.5
2016-10-25,23.5
2016-10-26,23.469999313354492
2016-10-27,23.469999313354492
2016-10-28,22.57900047302246
2016-10-31,22.5
2016-11-01,22.5
2016-11-02,22.34000015258789
2016-11-03,21.6299991607666
2016-11-04,21.6299991607666
2016-11-07,21.6299991607666
2016-11-08,22.6200008392334
2016-11-09,24.639999389648438
2016-11-10,25.415000915527344
2016-11-11,25.415000915527344
2016-11-14,25.415000915527344
2016-11-15,25.415000915527344
2016-11-16,26.25
2016-11-17,25.979999542236328
2016-11-18,25.729999542236328
2016-11-21,25.621000289916992
2016-11-22,25.621000289916992
2016-11-23,25.621000289916992
2016-11-25,25.621000289916992
2016-11-28,25.239999771118164
2016-11-29,25.024999618530273
2016-11-30,24.510000228881836
2016-12-01,24.510000228881836
2016-12-02,24.099000930786133
2016-12-05,24.099000930786133
2016-12-06,24.099000930786133
2016-12-07,24.1299991607666
2016-12-08,24.1299991607666
2016-12-09,24.1299991607666
2016-12-12,24.1299991607666
2016-12-13,24.1299991607666
2016-12-14,24.1299991607666
2016-12-15,23.958999633789062
2016-12-16,23.958999633789062
2016-12-19,23.958999633789062
2016-12-20,23.958999633789062
2016-12-21,24.06999969482422
2016-12-22,23.200000762939453
2016-12-23,23.200000762939453
2016-12-27,23.200000762939453
2016-12-28,23.200000762939453
2016-12-29,24.309999465942383
2016-12-30,23.0
2017-01-03,23.1200008392334
2017-01-04,24.06999969482422
2017-01-05,24.030000686645508
2017-01-06,24.030000686645508
2017-01-09,25.0
2017-01-10,25.0
2017-01-11,24.34000015258789
2017-01-12,24.270000457763672
2017-01-13,25.299999237060547
2017-01-17,25.299999237060547
2017-01-18,24.399999618530273
2017-01-19,24.375
2017-01-20,24.15999984741211
2017-01-23,24.15999984741211
2017-01-24,23.90999984741211
2017-01-25,23.90999984741211
2017-01-26,23.90999984741211
2017-01-27,23.90999984741211
2017-01-30,23.90999984741211
2017-01-31,23.90999984741211
2017-02-01,23.90999984741211
2017-02-02,23.90999984741211
2017-02-03,25.190000534057617
2017-02-06,25.25
2017-02-07,25.25
2017-02-08,25.239999771118164
