,BEEM
2010-05-03,18.25
2010-05-04,20.5
2010-05-05,24.5
2010-05-06,28.0
2010-05-07,30.0
2010-05-10,32.5
2010-05-11,30.5
2010-05-12,26.5
2010-05-13,29.25
2010-05-14,29.0
2010-05-17,28.049999237060547
2010-05-18,26.5
2010-05-19,26.5
2010-05-20,26.5
2010-05-21,26.5
2010-05-24,26.5
2010-05-25,25.5
2010-05-26,25.5
2010-05-27,26.0
2010-05-28,25.0
2010-06-01,25.0
2010-06-02,25.0
2010-06-03,25.0
2010-06-04,25.0
2010-06-07,25.0
2010-06-08,25.0
2010-06-09,25.0
2010-06-10,25.5
2010-06-11,25.5
2010-06-14,27.0
2010-06-15,26.0
2010-06-16,26.0
2010-06-17,25.5
2010-06-18,25.25
2010-06-21,25.5
2010-06-22,25.5
2010-06-23,25.0
2010-06-24,25.0
2010-06-25,25.0
2010-06-28,25.5
2010-06-29,25.5
2010-06-30,24.0
2010-07-01,24.0
2010-07-02,23.5
2010-07-06,23.5
2010-07-07,24.0
2010-07-08,24.0
2010-07-09,24.5
2010-07-12,29.5
2010-07-13,24.0
2010-07-14,23.0
2010-07-15,24.5
2010-07-16,23.5
2010-07-19,24.0
2010-07-20,23.25
2010-07-21,23.5
2010-07-22,20.5
2010-07-23,20.5
2010-07-26,22.0
2010-07-27,21.5
2010-07-28,20.0
2010-07-29,19.5
2010-07-30,19.0
2010-08-02,18.0
2010-08-03,18.0
2010-08-04,17.0
2010-08-05,18.0
2010-08-06,15.5
2010-08-09,16.75
2010-08-10,16.700000762939453
2010-08-11,16.5
2010-08-12,14.0
2010-08-13,14.050000190734863
2010-08-16,13.75
2010-08-17,14.0
2010-08-18,12.800000190734863
2010-08-19,13.5
2010-08-20,14.5
2010-08-23,14.5
2010-08-24,12.5
2010-08-25,14.25
2010-08-26,15.5
2010-08-27,17.25
2010-08-30,15.0
2010-08-31,13.5
2010-09-01,15.5
2010-09-02,14.5
2010-09-03,15.0
2010-09-07,14.0
2010-09-08,13.75
2010-09-09,15.0
2010-09-10,16.0
2010-09-13,16.0
2010-09-14,16.0
2010-09-15,17.5
2010-09-16,20.5
2010-09-17,21.5
2010-09-20,22.25
2010-09-21,21.0
2010-09-22,22.0
2010-09-23,22.0
2010-09-24,21.0
2010-09-27,21.25
2010-09-28,21.5
2010-09-29,21.75
2010-09-30,21.5
2010-10-01,22.0
2010-10-04,22.0
2010-10-05,19.5
2010-10-06,19.5
2010-10-07,22.0
2010-10-08,22.0
2010-10-11,22.5
2010-10-12,22.5
2010-10-13,24.5
2010-10-14,25.0
2010-10-15,25.5
2010-10-18,25.0
2010-10-19,24.950000762939453
2010-10-20,24.950000762939453
2010-10-21,23.5
2010-10-22,22.5
2010-10-25,22.75
2010-10-26,22.5
2010-10-27,22.5
2010-10-28,22.0
2010-10-29,21.5
2010-11-01,20.75
2010-11-02,21.950000762939453
2010-11-03,21.899999618530273
2010-11-04,20.75
2010-11-05,18.5
2010-11-08,20.0
2010-11-09,20.0
2010-11-10,22.450000762939453
2010-11-11,21.0
2010-11-12,20.0
2010-11-15,21.0
2010-11-16,20.5
2010-11-17,20.0
2010-11-18,21.0
2010-11-19,20.0
2010-11-22,21.75
2010-11-23,22.0
2010-11-24,20.0
2010-11-26,20.0
2010-11-29,20.0
2010-11-30,20.0
2010-12-01,20.0
2010-12-02,20.0
2010-12-03,19.5
2010-12-06,20.0
2010-12-07,20.0
2010-12-08,20.0
2010-12-09,17.5
2010-12-10,20.0
2010-12-13,21.0
2010-12-14,20.0
2010-12-15,20.5
2010-12-16,19.0
2010-12-17,19.5
2010-12-20,19.5
2010-12-21,20.0
2010-12-22,20.5
2010-12-23,21.0
2010-12-27,21.0
2010-12-28,20.5
2010-12-29,20.0
2010-12-30,20.0
2010-12-31,21.0
2011-01-03,21.0
2011-01-04,20.5
2011-01-05,19.799999237060547
2011-01-06,22.5
2011-01-07,20.049999237060547
2011-01-10,21.0
2011-01-11,24.0
2011-01-12,24.0
2011-01-13,24.0
2011-01-14,24.0
2011-01-18,24.0
2011-01-19,24.0
2011-01-20,23.5
2011-01-21,22.100000381469727
2011-01-24,24.0
2011-01-25,24.5
2011-01-26,27.25
2011-01-27,26.25
2011-01-28,27.450000762939453
2011-01-31,27.5
2011-02-01,27.5
2011-02-02,27.75
2011-02-03,28.75
2011-02-04,29.0
2011-02-07,28.5
2011-02-08,28.0
2011-02-09,28.0
2011-02-10,25.75
2011-02-11,29.700000762939453
2011-02-14,28.5
2011-02-15,29.0
2011-02-16,31.0
2011-02-17,31.25
2011-02-18,36.0
2011-02-22,34.75
2011-02-23,33.95000076293945
2011-02-24,37.45000076293945
2011-02-25,38.5
2011-02-28,41.0
2011-03-01,37.5
2011-03-02,38.0
2011-03-03,39.75
2011-03-04,37.5
2011-03-07,32.0
2011-03-08,31.0
2011-03-09,32.0
2011-03-10,33.5
2011-03-11,37.0
2011-03-14,37.75
2011-03-15,37.95000076293945
2011-03-16,36.0
2011-03-17,35.95000076293945
2011-03-18,35.5
2011-03-21,36.5
2011-03-22,35.75
2011-03-23,36.5
2011-03-24,34.0
2011-03-25,32.0
2011-03-28,27.100000381469727
2011-03-29,29.049999237060547
2011-03-30,30.0
2011-03-31,30.5
2011-04-01,30.5
2011-04-04,31.0
2011-04-05,29.549999237060547
2011-04-06,32.5
2011-04-07,31.0
2011-04-08,35.0
2011-04-11,31.5
2011-04-12,31.0
2011-04-13,29.5
2011-04-14,31.5
2011-04-15,31.0
2011-04-18,29.5
2011-04-19,30.0
2011-04-20,28.0
2011-04-21,29.0
2011-04-25,28.0
2011-04-26,27.0
2011-04-27,27.049999237060547
2011-04-28,25.5
2011-04-29,24.5
2011-05-02,23.100000381469727
2011-05-03,23.5
2011-05-04,23.5
