,COOLU
2020-12-17,10.359999656677246
2020-12-18,10.350000381469727
2020-12-21,10.289999961853027
2020-12-22,10.390000343322754
2020-12-23,10.369999885559082
2020-12-24,10.399999618530273
2020-12-28,10.430000305175781
2020-12-29,10.399999618530273
2020-12-30,10.40999984741211
2020-12-31,10.449999809265137
2021-01-04,10.420000076293945
2021-01-05,10.399999618530273
2021-01-06,10.319999694824219
2021-01-07,10.420000076293945
2021-01-08,10.515000343322754
2021-01-11,10.569999694824219
2021-01-12,10.739999771118164
2021-01-13,10.619999885559082
2021-01-14,10.579999923706055
2021-01-15,10.539999961853027
2021-01-19,10.600000381469727
2021-01-20,10.609999656677246
2021-01-21,10.65999984741211
2021-01-22,10.75
2021-01-25,10.8100004196167
2021-01-26,10.649999618530273
2021-01-27,10.550000190734863
2021-01-28,10.5
2021-01-29,10.5
2021-02-01,10.600000381469727
2021-02-02,10.619999885559082
2021-02-03,10.670000076293945
2021-02-04,10.630000114440918
2021-02-05,10.630000114440918
2021-02-08,10.670000076293945
2021-02-09,10.720000267028809
2021-02-10,10.75
2021-02-11,10.630000114440918
2021-02-12,10.649999618530273
2021-02-16,10.6899995803833
2021-02-17,10.579999923706055
2021-02-18,10.6899995803833
2021-02-19,10.760000228881836
2021-02-22,10.869999885559082
2021-02-23,10.720000267028809
2021-02-24,10.789999961853027
2021-02-25,10.609999656677246
2021-02-26,10.420000076293945
2021-03-01,10.5
2021-03-02,10.470000267028809
2021-03-03,10.470000267028809
2021-03-04,10.239999771118164
2021-03-05,10.270000457763672
2021-03-08,10.239999771118164
2021-03-09,10.279999732971191
2021-03-10,10.289999961853027
2021-03-11,10.239999771118164
2021-03-12,10.319999694824219
2021-03-15,10.300000190734863
2021-03-16,10.1899995803833
2021-03-17,10.199999809265137
2021-03-18,10.149999618530273
2021-03-19,10.170000076293945
2021-03-22,10.222999572753906
2021-03-23,10.050000190734863
2021-03-24,10.029999732971191
2021-03-25,10.0600004196167
2021-03-26,10.104999542236328
2021-03-29,10.0
2021-03-30,10.0600004196167
2021-03-31,10.100000381469727
2021-04-01,10.170000076293945
2021-04-05,10.109999656677246
2021-04-06,10.109999656677246
2021-04-07,10.119999885559082
2021-04-08,10.210000038146973
2021-04-09,10.149999618530273
2021-04-12,10.390000343322754
2021-04-13,10.140000343322754
2021-04-14,10.180000305175781
2021-04-15,10.15999984741211
2021-04-16,10.130000114440918
2021-04-19,10.050000190734863
2021-04-20,9.949999809265137
2021-04-21,10.0600004196167
2021-04-22,10.050000190734863
2021-04-23,10.0
2021-04-26,9.979999542236328
2021-04-27,10.010000228881836
2021-04-28,10.0
2021-04-29,10.079999923706055
2021-04-30,10.010000228881836
2021-05-03,10.010000228881836
2021-05-04,10.0
2021-05-05,10.0
2021-05-06,10.050000190734863
2021-05-07,10.029999732971191
2021-05-10,9.989999771118164
2021-05-11,9.979999542236328
2021-05-12,9.979999542236328
2021-05-13,9.979999542236328
2021-05-14,10.0
