,HAS
1980-03-17,0.10535000264644623
1980-03-18,0.09876500070095062
1980-03-19,0.10973899811506271
1980-03-20,0.10754500329494476
1980-03-21,0.10535000264644623
1980-03-24,0.10096000134944916
1980-03-25,0.09437599778175354
1980-03-26,0.092180997133255
1980-03-27,0.07901199907064438
1980-03-28,0.08559700101613998
1980-03-31,0.08779100328683853
1980-04-01,0.08779100328683853
1980-04-02,0.092180997133255
1980-04-03,0.092180997133255
1980-04-07,0.092180997133255
1980-04-08,0.08998599648475647
1980-04-09,0.08998599648475647
1980-04-10,0.09657099843025208
1980-04-11,0.09876500070095062
1980-04-14,0.09657099843025208
1980-04-15,0.09437599778175354
1980-04-16,0.08998599648475647
1980-04-17,0.08779100328683853
1980-04-18,0.092180997133255
1980-04-21,0.092180997133255
1980-04-22,0.10535000264644623
1980-04-23,0.11193399876356125
1980-04-24,0.11851900070905685
1980-04-25,0.11412899941205978
1980-04-28,0.12290800362825394
1980-04-29,0.11632400006055832
1980-04-30,0.11193399876356125
1980-05-01,0.11193399876356125
1980-05-02,0.10973899811506271
1980-05-05,0.11412899941205978
1980-05-06,0.11412899941205978
1980-05-07,0.11412899941205978
1980-05-08,0.11193399876356125
1980-05-09,0.11193399876356125
1980-05-12,0.11632400006055832
1980-05-13,0.11412899941205978
1980-05-14,0.11412899941205978
1980-05-15,0.11412899941205978
1980-05-16,0.11412899941205978
1980-05-19,0.11412899941205978
1980-05-20,0.11632400006055832
1980-05-21,0.11632400006055832
1980-05-22,0.11412899941205978
1980-05-23,0.11193399876356125
1980-05-27,0.11632400006055832
1980-05-28,0.11412899941205978
1980-05-29,0.1207130029797554
1980-05-30,0.11632400006055832
1980-06-02,0.11412899941205978
1980-06-03,0.11412899941205978
1980-06-04,0.11851900070905685
1980-06-05,0.12290800362825394
1980-06-06,0.1207130029797554
1980-06-09,0.12290800362825394
1980-06-10,0.11851900070905685
1980-06-11,0.11412899941205978
1980-06-12,0.11632400006055832
1980-06-13,0.11193399876356125
1980-06-16,0.11193399876356125
1980-06-17,0.11193399876356125
1980-06-18,0.11412899941205978
1980-06-19,0.10973899811506271
1980-06-20,0.11193399876356125
