,ALT
2017-05-26,133.1999969482422
2017-05-30,125.0999984741211
2017-05-31,127.5
2017-06-01,129.89999389648438
2017-06-02,128.10000610351562
2017-06-05,124.19999694824219
2017-06-06,123.5999984741211
2017-06-07,121.5
2017-06-08,119.4000015258789
2017-06-09,121.5
2017-06-12,116.69999694824219
2017-06-13,124.5
2017-06-14,119.69999694824219
2017-06-15,117.5999984741211
2017-06-16,106.19999694824219
2017-06-19,119.69999694824219
2017-06-20,112.19999694824219
2017-06-21,114.0
2017-06-22,117.9000015258789
2017-06-23,108.9000015258789
2017-06-26,108.0
2017-06-27,104.0999984741211
2017-06-28,98.69999694824219
2017-06-29,89.4000015258789
2017-06-30,96.0
2017-07-03,97.19999694824219
2017-07-05,95.4000015258789
2017-07-06,90.0
2017-07-07,90.5999984741211
2017-07-10,84.0
2017-07-11,81.0
2017-07-12,77.69999694824219
2017-07-13,79.80000305175781
2017-07-14,81.0
2017-07-17,78.9000015258789
2017-07-18,72.5999984741211
2017-07-19,75.0
2017-07-20,74.0999984741211
2017-07-21,74.4000015258789
2017-07-24,73.5
2017-07-25,87.0
2017-07-26,84.0
2017-07-27,87.30000305175781
2017-07-28,80.69999694824219
2017-07-31,75.5999984741211
2017-08-01,70.5
2017-08-02,67.5
2017-08-03,72.0
2017-08-04,68.4000015258789
2017-08-07,72.0
2017-08-08,72.0
2017-08-09,67.5
2017-08-10,68.69999694824219
2017-08-11,69.9000015258789
2017-08-14,69.30000305175781
2017-08-15,62.70000076293945
2017-08-16,65.0999984741211
2017-08-17,61.20000076293945
2017-08-18,61.5
2017-08-21,60.599998474121094
2017-08-22,65.37000274658203
2017-08-23,67.80000305175781
2017-08-24,65.0999984741211
2017-08-25,65.0999984741211
2017-08-28,72.9000015258789
2017-08-29,80.4000015258789
2017-08-30,75.0
2017-08-31,75.5999984741211
2017-09-01,79.5
2017-09-05,75.0
2017-09-06,75.0
2017-09-07,73.19999694824219
2017-09-08,72.5999984741211
2017-09-11,74.69999694824219
2017-09-12,76.5
2017-09-13,78.0
2017-09-14,78.9000015258789
2017-09-15,72.9000015258789
2017-09-18,69.5999984741211
2017-09-19,72.0
2017-09-20,75.9000015258789
2017-09-21,77.4000015258789
2017-09-22,74.4000015258789
2017-09-25,69.0
2017-09-26,70.5
2017-09-27,69.30000305175781
2017-09-28,69.5999984741211
2017-09-29,69.5999984741211
2017-10-02,70.19999694824219
2017-10-03,68.4000015258789
2017-10-04,68.69999694824219
2017-10-05,69.5999984741211
2017-10-06,68.0999984741211
2017-10-09,77.69999694824219
2017-10-10,75.30000305175781
2017-10-11,79.11000061035156
2017-10-12,76.80000305175781
2017-10-13,75.0
2017-10-16,73.80000305175781
2017-10-17,75.5999984741211
2017-10-18,75.0
2017-10-19,79.80000305175781
2017-10-20,79.80000305175781
2017-10-23,81.5999984741211
2017-10-24,81.9000015258789
2017-10-25,78.0
2017-10-26,78.9000015258789
2017-10-27,75.9000015258789
2017-10-30,72.0
2017-10-31,72.0
2017-11-01,67.80000305175781
2017-11-02,67.80000305175781
2017-11-03,65.69999694824219
2017-11-06,66.5999984741211
2017-11-07,67.19999694824219
2017-11-08,69.72000122070312
2017-11-09,67.80000305175781
2017-11-10,69.0
2017-11-13,66.0
2017-11-14,64.80000305175781
2017-11-15,61.79999923706055
2017-11-16,64.80000305175781
2017-11-17,64.5
2017-11-20,61.79999923706055
2017-11-21,61.5
2017-11-22,62.400001525878906
2017-11-24,61.79999923706055
2017-11-27,59.400001525878906
2017-11-28,58.20000076293945
2017-11-29,57.900001525878906
2017-11-30,54.29999923706055
2017-12-01,54.0
2017-12-04,53.400001525878906
2017-12-05,55.5
2017-12-06,54.29999923706055
2017-12-07,53.70000076293945
2017-12-08,52.20000076293945
2017-12-11,49.79999923706055
2017-12-12,48.900001525878906
2017-12-13,50.70000076293945
2017-12-14,48.599998474121094
2017-12-15,48.29999923706055
2017-12-18,46.79999923706055
2017-12-19,49.20000076293945
2017-12-20,47.099998474121094
2017-12-21,46.5
2017-12-22,47.70000076293945
2017-12-26,52.5
2017-12-27,53.25
2017-12-28,57.599998474121094
2017-12-29,59.70000076293945
2018-01-02,60.0
2018-01-03,60.0
2018-01-04,59.400001525878906
2018-01-05,60.900001525878906
2018-01-08,58.5
2018-01-09,59.54999923706055
2018-01-10,59.400001525878906
2018-01-11,58.5
2018-01-12,58.79999923706055
2018-01-16,57.0
2018-01-17,56.099998474121094
2018-01-18,55.5
2018-01-19,54.599998474121094
2018-01-22,54.599998474121094
2018-01-23,55.20000076293945
2018-01-24,57.900001525878906
2018-01-25,55.20000076293945
2018-01-26,54.599998474121094
2018-01-29,57.0
2018-01-30,54.900001525878906
2018-01-31,54.29999923706055
2018-02-01,48.900001525878906
2018-02-02,46.79999923706055
2018-02-05,48.0
2018-02-06,47.400001525878906
2018-02-07,47.099998474121094
2018-02-08,45.900001525878906
2018-02-09,46.79999923706055
2018-02-12,45.0
2018-02-13,42.0
2018-02-14,44.70000076293945
2018-02-15,44.099998474121094
2018-02-16,43.79999923706055
2018-02-20,44.400001525878906
2018-02-21,47.70000076293945
2018-02-22,45.29999923706055
2018-02-23,45.599998474121094
2018-02-26,47.90999984741211
2018-02-27,46.20000076293945
2018-02-28,47.400001525878906
2018-03-01,47.400001525878906
2018-03-02,48.29999923706055
2018-03-05,47.099998474121094
2018-03-06,44.400001525878906
2018-03-07,46.79999923706055
2018-03-08,50.099998474121094
2018-03-09,52.5
2018-03-12,52.20000076293945
2018-03-13,54.0
2018-03-14,51.599998474121094
2018-03-15,51.29999923706055
2018-03-16,48.900001525878906
2018-03-19,49.20000076293945
2018-03-20,47.400001525878906
2018-03-21,46.79999923706055
2018-03-22,45.599998474121094
2018-03-23,45.900001525878906
2018-03-26,46.20000076293945
2018-03-27,37.95000076293945
2018-03-28,33.0
2018-03-29,34.79999923706055
2018-04-02,35.70000076293945
2018-04-03,32.099998474121094
2018-04-04,31.200000762939453
2018-04-05,28.5
2018-04-06,27.8700008392334
2018-04-09,26.520000457763672
2018-04-10,27.899999618530273
2018-04-11,26.729999542236328
2018-04-12,25.350000381469727
2018-04-13,25.799999237060547
2018-04-16,25.079999923706055
2018-04-17,23.399999618530273
2018-04-18,23.280000686645508
2018-04-19,22.709999084472656
2018-04-20,21.239999771118164
2018-04-23,21.0
2018-04-24,21.600000381469727
2018-04-25,21.0
2018-04-26,21.450000762939453
2018-04-27,24.299999237060547
2018-04-30,21.75
2018-05-01,21.09000015258789
2018-05-02,20.579999923706055
2018-05-03,18.56999969482422
2018-05-04,18.899999618530273
2018-05-07,18.059999465942383
2018-05-08,18.299999237060547
2018-05-09,18.0
2018-05-10,17.100000381469727
2018-05-11,15.930000305175781
2018-05-14,15.600000381469727
2018-05-15,16.020000457763672
2018-05-16,17.280000686645508
2018-05-17,15.149999618530273
2018-05-18,15.300000190734863
2018-05-21,13.350000381469727
2018-05-22,15.239999771118164
2018-05-23,16.59000015258789
2018-05-24,15.300000190734863
2018-05-25,15.0600004196167
2018-05-29,15.300000190734863
2018-05-30,16.350000381469727
2018-05-31,18.299999237060547
2018-06-01,17.610000610351562
2018-06-04,16.770000457763672
2018-06-05,17.700000762939453
2018-06-06,20.610000610351562
2018-06-07,20.399999618530273
2018-06-08,19.739999771118164
2018-06-11,16.799999237060547
2018-06-12,16.799999237060547
2018-06-13,15.09000015258789
2018-06-14,15.869999885559082
2018-06-15,15.539999961853027
2018-06-18,16.200000762939453
2018-06-19,18.75
2018-06-20,18.719999313354492
2018-06-21,17.520000457763672
2018-06-22,17.639999389648438
2018-06-25,16.049999237060547
2018-06-26,15.65999984741211
2018-06-27,13.649999618530273
2018-06-28,13.859999656677246
2018-06-29,13.350000381469727
2018-07-02,12.300000190734863
2018-07-03,12.510000228881836
2018-07-05,12.960000038146973
2018-07-06,12.420000076293945
2018-07-09,13.920000076293945
2018-07-10,13.890000343322754
2018-07-11,13.109999656677246
2018-07-12,13.619999885559082
2018-07-13,15.300000190734863
2018-07-16,13.649999618530273
2018-07-17,11.069999694824219
2018-07-18,10.979999542236328
2018-07-19,10.800000190734863
2018-07-20,12.0
2018-07-23,11.850000381469727
2018-07-24,11.100000381469727
2018-07-25,11.130000114440918
2018-07-26,11.460000038146973
2018-07-27,11.130000114440918
2018-07-30,11.100000381469727
2018-07-31,9.989999771118164
2018-08-01,9.600000381469727
2018-08-02,10.140000343322754
2018-08-03,10.050000190734863
2018-08-06,9.600000381469727
2018-08-07,10.020000457763672
2018-08-08,10.109999656677246
2018-08-09,9.6899995803833
2018-08-10,9.300000190734863
2018-08-13,9.869999885559082
2018-08-14,10.800000190734863
2018-08-15,10.350000381469727
2018-08-16,10.199999809265137
2018-08-17,9.899999618530273
2018-08-20,9.300000190734863
2018-08-21,9.180000305175781
2018-08-22,9.0
2018-08-23,9.569999694824219
2018-08-24,9.300000190734863
2018-08-27,9.539999961853027
2018-08-28,9.210000038146973
2018-08-29,9.300000190734863
2018-08-30,9.329999923706055
2018-08-31,9.600000381469727
2018-09-04,9.600000381469727
2018-09-05,9.300000190734863
2018-09-06,9.510000228881836
2018-09-07,8.850000381469727
2018-09-10,8.699999809265137
2018-09-11,8.760000228881836
2018-09-12,8.640000343322754
2018-09-13,7.800000190734863
2018-09-14,5.449999809265137
2018-09-17,4.889999866485596
2018-09-18,4.269999980926514
2018-09-19,16.459999084472656
2018-09-20,26.229999542236328
2018-09-21,26.190000534057617
2018-09-24,13.899999618530273
2018-09-25,13.09000015258789
2018-09-26,12.130000114440918
2018-09-27,8.779999732971191
2018-09-28,4.400000095367432
2018-10-01,4.980000019073486
2018-10-02,4.610000133514404
2018-10-03,4.75
2018-10-04,4.699999809265137
2018-10-05,7.239999771118164
2018-10-08,4.940000057220459
2018-10-09,4.630000114440918
2018-10-10,4.590000152587891
2018-10-11,4.170000076293945
2018-10-12,4.159999847412109
2018-10-15,3.8499999046325684
2018-10-16,4.650000095367432
2018-10-17,4.46999979019165
2018-10-18,4.150000095367432
2018-10-19,4.309999942779541
2018-10-22,4.110000133514404
2018-10-23,4.239999771118164
2018-10-24,3.9100000858306885
2018-10-25,4.139999866485596
2018-10-26,4.079999923706055
2018-10-29,4.039999961853027
2018-10-30,3.9700000286102295
