,AFMD
2014-09-12,5.699999809265137
2014-09-15,6.400000095367432
2014-09-16,6.21999979019165
2014-09-17,6.269999980926514
2014-09-18,6.119999885559082
2014-09-19,6.179999828338623
2014-09-22,6.360000133514404
2014-09-23,6.369999885559082
2014-09-24,6.340000152587891
2014-09-25,6.260000228881836
2014-09-26,6.400000095367432
2014-09-29,6.190000057220459
2014-09-30,6.300000190734863
2014-10-01,6.010000228881836
2014-10-02,6.0
2014-10-03,6.360000133514404
2014-10-06,6.300000190734863
2014-10-07,6.159999847412109
2014-10-08,6.090000152587891
2014-10-09,6.099999904632568
2014-10-10,5.199999809265137
2014-10-13,5.119999885559082
2014-10-14,5.25
2014-10-15,5.300000190734863
2014-10-16,5.289999961853027
2014-10-17,5.001999855041504
2014-10-20,4.910999774932861
2014-10-21,4.570000171661377
2014-10-22,4.630000114440918
2014-10-23,4.610000133514404
2014-10-24,4.409999847412109
2014-10-27,4.111999988555908
2014-10-28,4.51200008392334
2014-10-29,4.590000152587891
2014-10-30,4.440000057220459
2014-10-31,4.71999979019165
2014-11-03,4.519999980926514
2014-11-04,4.369999885559082
2014-11-05,4.900000095367432
2014-11-06,4.949999809265137
2014-11-07,5.0
2014-11-10,4.559999942779541
2014-11-11,4.699999809265137
2014-11-12,4.710000038146973
2014-11-13,4.989999771118164
2014-11-14,5.400000095367432
2014-11-17,6.019999980926514
2014-11-18,6.199999809265137
2014-11-19,5.71999979019165
2014-11-20,5.650000095367432
2014-11-21,5.949999809265137
2014-11-24,6.230000019073486
2014-11-25,6.599999904632568
2014-11-26,7.010000228881836
2014-11-28,7.650000095367432
2014-12-01,7.539999961853027
2014-12-02,7.449999809265137
2014-12-03,7.5
2014-12-04,7.590000152587891
2014-12-05,7.829999923706055
2014-12-08,7.050000190734863
2014-12-09,5.789999961853027
2014-12-10,5.75
2014-12-11,5.71999979019165
2014-12-12,5.380000114440918
2014-12-15,5.679999828338623
2014-12-16,5.429999828338623
2014-12-17,5.309999942779541
2014-12-18,5.699999809265137
2014-12-19,6.099999904632568
2014-12-22,6.349999904632568
2014-12-23,6.164000034332275
2014-12-24,6.190000057220459
2014-12-26,6.190000057220459
2014-12-29,6.309999942779541
2014-12-30,6.320000171661377
2014-12-31,6.199999809265137
2015-01-02,6.239999771118164
2015-01-05,6.550000190734863
