,NCC
2012-05-03,2.759999990463257
2012-05-04,0.800000011920929
2012-05-07,2.759999990463257
2012-05-08,2.759999990463257
2012-05-09,2.759999990463257
2012-05-10,2.759999990463257
2012-05-11,0.6669999957084656
2012-05-14,2.759999990463257
2012-05-15,2.759999990463257
2012-05-16,2.5
2012-05-17,2.5
2012-05-18,0.5849999785423279
2012-05-21,2.5
2012-05-22,2.5
2012-05-23,2.5
2012-05-24,2.5
2012-05-25,0.5619999766349792
2012-05-29,2.5
2012-05-30,2.5
2012-05-31,2.5
2012-06-01,0.5320000052452087
2012-06-04,2.5999999046325684
2012-06-05,2.5999999046325684
2012-06-06,2.5999999046325684
2012-06-07,2.5999999046325684
2012-06-08,0.609000027179718
2012-06-11,2.5999999046325684
2012-06-12,2.5999999046325684
2012-06-13,2.5999999046325684
2012-06-14,2.5999999046325684
2012-06-15,0.675000011920929
2012-06-18,2.5999999046325684
2012-06-19,2.5999999046325684
2012-06-20,2.5999999046325684
2012-06-21,2.5999999046325684
2012-06-22,2.5999999046325684
2012-06-25,2.5999999046325684
2012-06-26,2.5999999046325684
2012-06-27,2.5999999046325684
2012-06-28,2.5999999046325684
2012-06-29,0.8080000281333923
2012-07-02,2.5999999046325684
2012-07-03,2.5999999046325684
2012-07-05,2.5999999046325684
2012-07-06,0.7789999842643738
2012-07-09,2.5999999046325684
2012-07-10,2.5999999046325684
2012-07-11,2.5999999046325684
2012-07-12,2.5999999046325684
2012-07-13,0.765999972820282
2012-07-16,2.5999999046325684
2012-07-17,2.5999999046325684
2012-07-18,2.5999999046325684
2012-07-19,2.5999999046325684
2012-07-20,0.7250000238418579
2012-07-23,2.3399999141693115
2012-07-24,2.3399999141693115
2012-07-25,2.3399999141693115
2012-07-26,2.3399999141693115
2012-07-27,0.6449999809265137
2012-07-30,2.3399999141693115
2012-07-31,2.3399999141693115
2012-08-01,2.3399999141693115
2012-08-02,2.3399999141693115
2012-08-03,0.6859999895095825
2012-08-06,2.3399999141693115
2012-08-07,2.3399999141693115
2012-08-08,2.3399999141693115
2012-08-09,2.3399999141693115
2012-08-10,0.7269999980926514
2012-08-13,2.3399999141693115
2012-08-14,2.3399999141693115
2012-08-15,2.3399999141693115
2012-08-16,2.3399999141693115
2012-08-17,2.3399999141693115
2012-08-20,2.3399999141693115
2012-08-21,2.3399999141693115
2012-08-22,2.3399999141693115
2012-08-23,2.3399999141693115
2012-08-24,2.3399999141693115
2012-08-27,2.3399999141693115
2012-08-28,2.3399999141693115
2012-08-29,2.3399999141693115
2012-08-30,2.3399999141693115
2012-08-31,0.6060000061988831
2012-09-04,2.3399999141693115
2012-09-05,2.3399999141693115
2012-09-06,2.3399999141693115
2012-09-07,0.593999981880188
2012-09-10,2.3399999141693115
2012-09-11,2.3399999141693115
2012-09-12,2.3399999141693115
2012-09-13,2.3399999141693115
2012-09-14,0.6209999918937683
2012-09-17,2.3399999141693115
2012-09-18,2.3399999141693115
2012-09-19,2.3399999141693115
2012-09-20,2.3399999141693115
2012-09-21,0.8529999852180481
2012-09-24,2.3399999141693115
2012-09-25,2.3399999141693115
2012-09-26,2.3399999141693115
2012-09-27,2.3399999141693115
2012-09-28,0.8880000114440918
2012-10-01,2.3399999141693115
2012-10-02,2.3399999141693115
2012-10-03,2.3399999141693115
2012-10-04,2.3399999141693115
2012-10-05,0.9300000071525574
2012-10-08,2.3399999141693115
2012-10-09,2.3399999141693115
2012-10-10,2.3399999141693115
2012-10-11,2.3399999141693115
2012-10-12,0.9300000071525574
2012-10-15,2.3399999141693115
2012-10-16,2.3399999141693115
2012-10-17,2.3399999141693115
2012-10-18,2.3399999141693115
2012-10-19,0.9300000071525574
2012-10-22,2.3399999141693115
2012-10-23,2.3399999141693115
2012-10-24,2.3399999141693115
2012-10-25,2.3399999141693115
2012-10-26,0.9300000071525574
2012-10-31,2.3399999141693115
2012-11-01,2.3399999141693115
2012-11-02,0.9300000071525574
2012-11-05,2.3399999141693115
2012-11-06,2.3399999141693115
2012-11-07,2.3399999141693115
2012-11-08,2.3399999141693115
2012-11-09,0.7770000100135803
2012-11-12,2.3399999141693115
2012-11-13,2.3399999141693115
2012-11-14,2.549999952316284
2012-11-15,2.549999952316284
2012-11-16,0.7850000262260437
2012-11-19,2.549999952316284
2012-11-20,2.549999952316284
2012-11-21,2.549999952316284
2012-11-23,0.753000020980835
2012-11-26,2.549999952316284
2012-11-27,2.549999952316284
2012-11-28,2.549999952316284
2012-11-29,2.549999952316284
2012-11-30,0.8759999871253967
2012-12-03,2.549999952316284
2012-12-04,2.549999952316284
2012-12-05,2.549999952316284
2012-12-06,2.549999952316284
2012-12-07,0.8889999985694885
2012-12-10,2.9200000762939453
2012-12-11,2.9200000762939453
2012-12-12,2.9200000762939453
2012-12-13,2.9200000762939453
2012-12-14,0.9330000281333923
2012-12-17,2.9200000762939453
2012-12-18,2.9200000762939453
2012-12-19,2.9200000762939453
2012-12-20,2.9200000762939453
2012-12-21,0.9869999885559082
2012-12-24,2.9200000762939453
2012-12-26,2.9200000762939453
2012-12-27,2.9200000762939453
2012-12-28,1.0099999904632568
2012-12-31,2.9200000762939453
2013-01-02,2.9200000762939453
2013-01-03,2.9200000762939453
2013-01-04,1.1009999513626099
2013-01-07,2.9000000953674316
2013-01-08,2.9000000953674316
2013-01-09,2.9000000953674316
2013-01-10,2.9000000953674316
2013-01-11,1.003000020980835
2013-01-14,2.9000000953674316
2013-01-15,2.9000000953674316
2013-01-16,2.9000000953674316
2013-01-17,2.9000000953674316
2013-01-18,1.055999994277954
