,ACBAU
2021-04-06,10.069999694824219
2021-04-07,10.130000114440918
2021-04-08,10.168000221252441
2021-04-09,10.069999694824219
2021-04-12,10.130000114440918
2021-04-13,10.161999702453613
2021-04-14,10.135000228881836
2021-04-15,10.135000228881836
2021-04-16,10.12600040435791
2021-04-19,10.130000114440918
2021-04-20,10.187999725341797
2021-04-21,10.149999618530273
2021-04-22,10.140000343322754
2021-04-23,10.157999992370605
2021-04-26,10.170000076293945
2021-04-27,10.140000343322754
2021-04-28,10.140000343322754
2021-04-29,10.140000343322754
2021-04-30,10.15999984741211
2021-05-03,10.15999984741211
2021-05-04,10.15999984741211
2021-05-05,10.15999984741211
2021-05-06,10.170000076293945
2021-05-07,10.15999984741211
2021-05-10,10.15999984741211
2021-05-11,10.199999809265137
2021-05-12,10.199999809265137
2021-05-13,10.149999618530273
2021-05-14,10.149999618530273
