,FALN
2016-06-21,25.350000381469727
2016-06-22,25.44700050354004
2016-06-23,25.60300064086914
2016-06-24,25.209999084472656
2016-06-27,24.790000915527344
2016-06-28,25.180999755859375
2016-06-29,25.573999404907227
2016-06-30,25.729999542236328
2016-07-01,25.89900016784668
2016-07-05,25.75
2016-07-06,25.75
2016-07-07,25.75
2016-07-08,26.09000015258789
2016-07-11,26.160999298095703
2016-07-12,26.280000686645508
2016-07-13,26.231000900268555
2016-07-14,26.277000427246094
2016-07-15,26.167999267578125
2016-07-18,26.167999267578125
2016-07-19,26.224000930786133
2016-07-20,26.399999618530273
2016-07-21,26.350000381469727
2016-07-22,26.3799991607666
2016-07-25,26.3799991607666
2016-07-26,26.3799991607666
2016-07-27,26.267000198364258
2016-07-28,26.239999771118164
2016-07-29,26.233999252319336
2016-08-01,25.954999923706055
2016-08-02,25.799999237060547
2016-08-03,26.110000610351562
2016-08-04,26.25
2016-08-05,26.309999465942383
2016-08-08,26.43000030517578
2016-08-09,26.445999145507812
2016-08-10,26.450000762939453
2016-08-11,26.6200008392334
2016-08-12,26.610000610351562
2016-08-15,26.694000244140625
2016-08-16,26.670000076293945
2016-08-17,26.670000076293945
2016-08-18,26.670000076293945
2016-08-19,26.790000915527344
2016-08-22,26.70800018310547
2016-08-23,26.829999923706055
2016-08-24,26.829999923706055
2016-08-25,26.83799934387207
2016-08-26,26.788000106811523
2016-08-29,26.841999053955078
2016-08-30,26.893999099731445
2016-08-31,26.788999557495117
2016-09-01,26.481000900268555
2016-09-02,26.71500015258789
2016-09-06,26.790000915527344
2016-09-07,26.760000228881836
2016-09-08,26.729000091552734
2016-09-09,26.329999923706055
2016-09-12,26.549999237060547
2016-09-13,26.09000015258789
2016-09-14,26.09000015258789
2016-09-15,26.5
2016-09-16,26.5
2016-09-19,26.5
2016-09-20,26.5
2016-09-21,26.610000610351562
2016-09-22,26.780000686645508
2016-09-23,26.680999755859375
2016-09-26,26.55299949645996
2016-09-27,26.670000076293945
2016-09-28,26.715999603271484
2016-09-29,26.715999603271484
2016-09-30,26.875
2016-10-03,26.75
2016-10-04,26.75
2016-10-05,26.81999969482422
2016-10-06,26.84000015258789
2016-10-07,26.84000015258789
2016-10-10,26.84000015258789
2016-10-11,26.84000015258789
2016-10-12,26.899999618530273
2016-10-13,26.90999984741211
2016-10-14,26.889999389648438
2016-10-17,26.760000228881836
2016-10-18,26.8700008392334
2016-10-19,27.149999618530273
2016-10-20,27.149999618530273
2016-10-21,27.07699966430664
2016-10-24,27.09000015258789
2016-10-25,27.113000869750977
2016-10-26,27.010000228881836
2016-10-27,26.976999282836914
2016-10-28,26.969999313354492
2016-10-31,26.809999465942383
2016-11-01,26.559999465942383
2016-11-02,26.469999313354492
2016-11-03,26.389999389648438
2016-11-04,26.389999389648438
2016-11-07,26.68000030517578
2016-11-08,26.799999237060547
2016-11-09,26.729999542236328
2016-11-10,26.40999984741211
2016-11-11,25.899999618530273
2016-11-14,26.191999435424805
2016-11-15,26.191999435424805
2016-11-16,26.360000610351562
2016-11-17,26.360000610351562
2016-11-18,26.360000610351562
2016-11-21,26.399999618530273
2016-11-22,26.520000457763672
2016-11-23,26.479999542236328
2016-11-25,26.479999542236328
2016-11-28,26.549999237060547
2016-11-29,26.489999771118164
2016-11-30,26.540000915527344
2016-12-01,26.540000915527344
2016-12-02,26.290000915527344
2016-12-05,26.479999542236328
2016-12-06,26.639999389648438
2016-12-07,26.81999969482422
2016-12-08,26.719999313354492
2016-12-09,26.719999313354492
2016-12-12,26.719999313354492
2016-12-13,26.719999313354492
2016-12-14,26.559999465942383
2016-12-15,26.559999465942383
2016-12-16,26.729999542236328
2016-12-19,26.729999542236328
2016-12-20,26.729999542236328
2016-12-21,26.68000030517578
2016-12-22,26.732999801635742
2016-12-23,26.8700008392334
2016-12-27,26.8700008392334
2016-12-28,26.75
2016-12-29,26.788999557495117
2016-12-30,26.760000228881836
2017-01-03,26.889999389648438
2017-01-04,27.033000946044922
2017-01-05,27.020000457763672
2017-01-06,27.040000915527344
2017-01-09,27.049999237060547
2017-01-10,27.108999252319336
2017-01-11,27.219999313354492
2017-01-12,27.18000030517578
2017-01-13,27.139999389648438
2017-01-17,27.149999618530273
2017-01-18,27.05500030517578
2017-01-19,27.100000381469727
2017-01-20,27.10700035095215
2017-01-23,27.172000885009766
2017-01-24,27.34000015258789
2017-01-25,27.31800079345703
2017-01-26,27.399999618530273
2017-01-27,27.420000076293945
2017-01-30,27.270000457763672
2017-01-31,27.270000457763672
2017-02-01,27.211000442504883
2017-02-02,27.211000442504883
2017-02-03,27.291000366210938
2017-02-06,27.34000015258789
2017-02-07,27.290000915527344
2017-02-08,27.264999389648438
2017-02-09,27.31800079345703
2017-02-10,27.354999542236328
2017-02-13,27.440000534057617
2017-02-14,27.399999618530273
2017-02-15,27.3700008392334
2017-02-16,27.389999389648438
2017-02-17,27.360000610351562
2017-02-21,27.360000610351562
2017-02-22,27.413999557495117
2017-02-23,27.5
2017-02-24,27.520000457763672
2017-02-27,27.510000228881836
2017-02-28,27.417999267578125
2017-03-01,27.479999542236328
2017-03-02,27.43000030517578
2017-03-03,27.39699935913086
2017-03-06,27.239999771118164
2017-03-07,27.149999618530273
2017-03-08,26.90999984741211
2017-03-09,26.82200050354004
2017-03-10,26.81999969482422
2017-03-13,26.799999237060547
2017-03-14,26.790000915527344
2017-03-15,27.1299991607666
2017-03-16,27.106000900268555
2017-03-17,27.110000610351562
2017-03-20,27.06399917602539
2017-03-21,27.0
2017-03-22,26.940000534057617
2017-03-23,26.950000762939453
2017-03-24,26.950000762939453
2017-03-27,27.024999618530273
2017-03-28,27.131000518798828
2017-03-29,27.131000518798828
2017-03-30,27.399999618530273
2017-03-31,27.39900016784668
2017-04-03,27.280000686645508
2017-04-04,27.260000228881836
2017-04-05,27.336000442504883
2017-04-06,27.309999465942383
2017-04-07,27.3799991607666
2017-04-10,27.402000427246094
2017-04-11,27.3700008392334
2017-04-12,27.34000015258789
2017-04-13,27.31999969482422
2017-04-17,27.34000015258789
2017-04-18,27.356000900268555
2017-04-19,27.299999237060547
2017-04-20,27.399999618530273
2017-04-21,27.360000610351562
2017-04-24,27.459999084472656
2017-04-25,27.540000915527344
2017-04-26,27.549999237060547
2017-04-27,27.53700065612793
2017-04-28,27.586999893188477
2017-05-01,27.437000274658203
2017-05-02,27.420000076293945
2017-05-03,27.440000534057617
2017-05-04,27.260000228881836
2017-05-05,27.329999923706055
2017-05-08,27.33799934387207
2017-05-09,27.368000030517578
2017-05-10,27.408000946044922
2017-05-11,27.40999984741211
2017-05-12,27.389999389648438
2017-05-15,27.489999771118164
2017-05-16,27.469999313354492
2017-05-17,27.312000274658203
2017-05-18,27.312000274658203
2017-05-19,27.312000274658203
2017-05-22,27.489999771118164
2017-05-23,27.479999542236328
2017-05-24,27.559999465942383
2017-05-25,27.510000228881836
2017-05-26,27.489999771118164
2017-05-30,27.530000686645508
2017-05-31,27.540000915527344
2017-06-01,27.409000396728516
2017-06-02,27.459999084472656
2017-06-05,27.420000076293945
2017-06-06,27.43000030517578
2017-06-07,27.360000610351562
2017-06-08,27.399999618530273
2017-06-09,27.399999618530273
2017-06-12,27.469999313354492
2017-06-13,27.433000564575195
2017-06-14,27.40999984741211
2017-06-15,27.290000915527344
2017-06-16,27.260000228881836
2017-06-19,27.389999389648438
2017-06-20,27.290000915527344
2017-06-21,27.049999237060547
2017-06-22,27.100000381469727
2017-06-23,27.299999237060547
2017-06-26,27.350000381469727
2017-06-27,27.3700008392334
2017-06-28,27.420000076293945
2017-06-29,27.31999969482422
2017-06-30,27.32900047302246
2017-07-03,27.25
2017-07-05,27.24799919128418
2017-07-06,27.139999389648438
2017-07-07,27.134000778198242
2017-07-10,27.18000030517578
2017-07-11,27.18000030517578
2017-07-12,27.31399917602539
2017-07-13,27.40999984741211
2017-07-14,27.459999084472656
2017-07-17,27.40399932861328
2017-07-18,27.469999313354492
