,AIKI
1980-03-18,13620.4619140625
1980-03-19,12939.439453125
1980-03-20,12939.439453125
1980-03-21,12939.439453125
1980-03-24,12939.439453125
1980-03-25,12939.439453125
1980-03-26,12939.439453125
1980-03-27,10896.3701171875
1980-03-28,10896.3701171875
1980-03-31,12258.416015625
1980-04-01,12258.416015625
1980-04-02,12258.416015625
1980-04-03,12258.416015625
1980-04-07,12258.416015625
1980-04-08,12258.416015625
1980-04-09,12258.416015625
1980-04-10,12258.416015625
1980-04-11,12258.416015625
1980-04-14,12258.416015625
1980-04-15,12258.416015625
1980-04-16,12258.416015625
1980-04-17,11577.392578125
1980-04-18,11577.392578125
1980-04-21,11577.392578125
1980-04-22,11577.392578125
1980-04-23,11577.392578125
1980-04-24,12258.416015625
1980-04-25,12258.416015625
1980-04-28,12939.439453125
1980-04-29,13620.4619140625
1980-04-30,13620.4619140625
1980-05-01,13620.4619140625
1980-05-02,13620.4619140625
1980-05-05,13620.4619140625
1980-05-06,14301.4853515625
1980-05-07,14982.5087890625
1980-05-08,14301.4853515625
1980-05-09,14301.4853515625
1980-05-12,14301.4853515625
1980-05-13,14301.4853515625
1980-05-14,14301.4853515625
1980-05-15,14982.5087890625
1980-05-16,16344.5546875
1980-05-19,19068.646484375
1980-05-20,17706.6015625
1980-05-21,16344.5546875
1980-05-22,16344.5546875
1980-05-23,16344.5546875
1980-05-27,16344.5546875
1980-05-28,17025.578125
1980-05-29,17025.578125
1980-05-30,17025.578125
1980-06-02,17025.578125
1980-06-03,17706.6015625
1980-06-04,17706.6015625
1980-06-05,17706.6015625
1980-06-06,17706.6015625
1980-06-09,17706.6015625
1980-06-10,17025.578125
1980-06-11,16344.5546875
1980-06-12,15663.53125
1980-06-13,16344.5546875
1980-06-16,16344.5546875
1980-06-17,15663.53125
1980-06-18,15663.53125
1980-06-19,15663.53125
1980-06-20,15663.53125
1980-06-23,17025.578125
1980-06-24,17025.578125
1980-06-25,16344.5546875
1980-06-26,16344.5546875
1980-06-27,16344.5546875
1980-06-30,16344.5546875
1980-07-01,15663.53125
1980-07-02,15663.53125
1980-07-03,15663.53125
1980-07-07,15663.53125
1980-07-08,15663.53125
