,POG
2013-01-03,0.75
2013-01-04,0.75
2013-01-07,0.5
2013-01-08,0.6000000238418579
2013-01-09,0.6000000238418579
2013-01-10,0.6000000238418579
2013-01-11,0.6000000238418579
2013-01-14,0.25
2013-01-15,0.5
2013-01-16,0.5
2013-01-17,0.5
2013-01-18,0.5
2013-01-22,0.5
2013-01-23,0.5
2013-01-24,0.5
2013-01-25,0.5
2013-01-28,0.5
2013-01-29,0.5
2013-01-30,0.5
2013-01-31,0.5
2013-02-01,0.5
2013-02-04,0.5
2013-02-05,0.5
2013-02-06,0.5
2013-02-07,0.5
2013-02-08,0.5
2013-02-11,0.5
2013-02-12,0.5
2013-02-13,0.5
2013-02-14,0.5
2013-02-15,0.5
2013-02-19,0.5
2013-02-20,0.5
2013-02-21,0.5
2013-02-22,0.5
2013-02-25,0.5
2013-02-26,0.5
2013-02-27,0.5
2013-02-28,0.5
2013-03-01,0.5
2013-03-04,0.5
2013-03-05,0.5
2013-03-06,0.5
2013-03-07,0.5
2013-03-08,0.5
2013-03-11,0.5
2013-03-12,0.5
2013-03-13,0.5
2013-03-14,0.5
2013-03-15,0.5
2013-03-18,0.20000000298023224
2013-03-19,0.20000000298023224
2013-03-20,0.20000000298023224
2013-03-21,0.20000000298023224
2013-03-22,0.20000000298023224
2013-03-25,0.20000000298023224
2013-03-26,0.20000000298023224
2013-03-27,0.20000000298023224
2013-03-28,0.20000000298023224
2013-04-01,0.20000000298023224
2013-04-02,0.20000000298023224
2013-04-03,0.20000000298023224
2013-04-04,0.20000000298023224
2013-04-05,0.20000000298023224
2013-04-08,0.20000000298023224
2013-04-09,0.20000000298023224
2013-04-10,0.20000000298023224
2013-04-11,0.20000000298023224
2013-04-12,0.20000000298023224
2013-04-15,0.20000000298023224
2013-04-16,0.20000000298023224
2013-04-17,0.20000000298023224
2013-04-18,0.20000000298023224
2013-04-19,0.20000000298023224
2013-04-22,0.20000000298023224
2013-04-23,0.20000000298023224
2013-04-24,0.20000000298023224
2013-04-25,0.20000000298023224
2013-04-26,0.20000000298023224
2013-04-29,0.20000000298023224
2013-04-30,0.20000000298023224
2013-05-01,0.20000000298023224
2013-05-02,0.20000000298023224
2013-05-03,0.20000000298023224
2013-05-06,0.20000000298023224
2013-05-07,0.20000000298023224
2013-05-08,0.20000000298023224
2013-05-09,0.20000000298023224
2013-05-10,0.20000000298023224
2013-05-13,0.20000000298023224
2013-05-14,0.20000000298023224
2013-05-15,0.20000000298023224
2013-05-16,0.20000000298023224
2013-05-17,0.20000000298023224
2013-05-20,0.20000000298023224
2013-05-21,0.20000000298023224
2013-05-22,0.20000000298023224
2013-05-23,0.20000000298023224
2013-05-24,0.20000000298023224
2013-05-28,0.20000000298023224
2013-05-29,0.20000000298023224
2013-05-30,0.20000000298023224
2013-05-31,0.20000000298023224
2013-06-03,0.20000000298023224
2013-06-04,0.20000000298023224
2013-06-05,0.20000000298023224
2013-06-06,0.20000000298023224
2013-06-07,0.20000000298023224
2013-06-10,0.20000000298023224
2013-06-11,0.20000000298023224
2013-06-12,0.75
2013-06-13,0.75
2013-06-14,0.75
2013-06-17,0.75
2013-06-18,0.75
2013-06-19,0.75
2013-06-20,0.75
2013-06-21,0.75
2013-06-24,0.75
2013-06-25,0.75
2013-06-26,0.75
2013-06-27,0.75
2013-06-28,0.75
2013-07-01,0.75
2013-07-02,0.75
2013-07-03,0.75
2013-07-05,0.75
2013-07-08,0.75
2013-07-09,0.75
2013-07-10,0.75
2013-07-11,0.75
2013-07-12,0.75
2013-07-15,0.75
2013-07-16,0.75
2013-07-17,0.75
2013-07-18,0.75
2013-07-19,0.75
2013-07-22,0.75
2013-07-23,0.75
2013-07-24,0.75
2013-07-25,0.75
2013-07-26,0.75
2013-07-29,0.75
2013-07-30,0.75
2013-07-31,0.75
2013-08-01,0.75
2013-08-02,0.75
2013-08-05,0.75
2013-08-06,0.75
2013-08-07,0.75
2013-08-08,0.75
2013-08-09,0.75
2013-08-12,0.75
2013-08-13,0.75
2013-08-14,0.75
2013-08-15,0.75
2013-08-16,0.10000000149011612
2013-08-19,0.30000001192092896
