,CFVI
2021-04-14,9.75
2021-04-15,9.75
2021-04-16,9.819999694824219
2021-04-19,9.819999694824219
2021-04-20,9.819999694824219
2021-04-21,9.829999923706055
2021-04-22,9.829999923706055
2021-04-23,9.829999923706055
2021-04-26,9.850000381469727
2021-04-27,9.899999618530273
2021-04-28,9.899999618530273
2021-04-29,9.789999961853027
2021-04-30,9.781000137329102
2021-05-03,9.819999694824219
2021-05-04,9.885000228881836
2021-05-05,9.779999732971191
2021-05-06,9.779999732971191
2021-05-07,9.744999885559082
2021-05-10,9.899999618530273
2021-05-11,9.760000228881836
2021-05-12,9.779999732971191
2021-05-13,9.770000457763672
2021-05-14,9.770000457763672
