,BNDW
2018-09-06,75.12999725341797
2018-09-07,74.95999908447266
2018-09-10,75.0
2018-09-11,74.93000030517578
2018-09-12,74.9800033569336
2018-09-13,74.97000122070312
2018-09-14,74.87999725341797
2018-09-17,74.9000015258789
2018-09-18,74.80000305175781
2018-09-19,74.69999694824219
2018-09-20,74.73999786376953
2018-09-21,74.7699966430664
2018-09-24,74.6500015258789
2018-09-25,74.5999984741211
2018-09-26,74.76000213623047
2018-09-27,74.80999755859375
2018-09-28,74.77999877929688
2018-10-01,74.55000305175781
2018-10-02,74.6500015258789
2018-10-03,74.37999725341797
2018-10-04,74.22000122070312
2018-10-05,74.05000305175781
2018-10-08,74.08999633789062
2018-10-09,74.13999938964844
2018-10-10,74.12000274658203
2018-10-11,74.2699966430664
2018-10-12,74.30000305175781
2018-10-15,74.29000091552734
2018-10-16,74.3499984741211
2018-10-17,74.31999969482422
2018-10-18,74.33000183105469
2018-10-19,74.29000091552734
2018-10-22,74.29000091552734
2018-10-23,74.44000244140625
2018-10-24,74.51000213623047
2018-10-25,74.5
2018-10-26,74.66999816894531
2018-10-29,74.63999938964844
2018-10-30,74.45999908447266
2018-10-31,74.43000030517578
2018-11-01,74.30999755859375
2018-11-02,74.18000030517578
2018-11-05,74.22000122070312
2018-11-06,74.20999908447266
2018-11-07,74.22000122070312
2018-11-08,74.16999816894531
2018-11-09,74.27999877929688
2018-11-12,74.3499984741211
2018-11-13,74.33000183105469
2018-11-14,74.3499984741211
2018-11-15,74.37999725341797
2018-11-16,74.47000122070312
2018-11-19,74.48999786376953
2018-11-20,74.4800033569336
2018-11-21,74.52999877929688
2018-11-23,74.58000183105469
2018-11-26,74.54000091552734
2018-11-27,74.5999984741211
2018-11-28,74.5999984741211
2018-11-29,74.66999816894531
2018-11-30,74.69999694824219
2018-12-03,74.66000366210938
2018-12-04,74.86000061035156
2018-12-06,74.94000244140625
2018-12-07,75.06999969482422
2018-12-10,75.12000274658203
2018-12-11,75.11000061035156
2018-12-12,75.04000091552734
2018-12-13,75.08999633789062
2018-12-14,75.16999816894531
2018-12-17,75.25
2018-12-18,75.37999725341797
2018-12-19,75.4800033569336
2018-12-20,75.47000122070312
2018-12-21,75.3499984741211
2018-12-24,74.54000091552734
2018-12-26,74.47000122070312
2018-12-27,74.6500015258789
2018-12-28,74.61000061035156
2018-12-31,74.79000091552734
2019-01-02,74.95999908447266
2019-01-03,75.05000305175781
2019-01-04,74.91000366210938
2019-01-07,74.7300033569336
2019-01-08,74.62000274658203
2019-01-09,74.83000183105469
2019-01-10,74.72000122070312
2019-01-11,74.83000183105469
2019-01-14,74.77999877929688
2019-01-15,74.88999938964844
2019-01-16,74.88999938964844
2019-01-17,74.93000030517578
2019-01-18,74.88999938964844
2019-01-22,75.0199966430664
2019-01-23,75.06999969482422
