,ENSG
2007-11-09,4.118445873260498
2007-11-12,4.115893840789795
2007-11-13,4.24858283996582
2007-11-14,4.235824108123779
2007-11-15,4.184790134429932
2007-11-16,4.205204010009766
2007-11-19,4.164377212524414
2007-11-20,4.143962860107422
2007-11-21,4.098031997680664
2007-11-23,4.10313606262207
2007-11-26,4.10823917388916
2007-11-27,4.105687141418457
2007-11-28,4.10823917388916
2007-11-29,4.159273147583008
2007-11-30,4.2103071212768555
2007-12-03,4.2103071212768555
2007-12-04,4.2103071212768555
2007-12-05,4.120997905731201
2007-12-06,4.126101016998291
2007-12-07,4.098031997680664
2007-12-10,4.133756160736084
2007-12-11,4.095480918884277
2007-12-12,4.018929958343506
2007-12-13,3.8938961029052734
2007-12-14,3.980654001235962
2007-12-17,3.9857571125030518
2007-12-18,3.7050700187683105
2007-12-19,3.5800371170043945
2007-12-20,3.3810040950775146
2007-12-21,3.0875589847564697
2007-12-24,3.6795530319213867
2007-12-26,3.7765181064605713
2007-12-27,3.5621750354766846
2007-12-28,3.6055541038513184
2007-12-31,3.674449920654297
2008-01-02,3.508589029312134
2008-01-03,3.2279019355773926
2008-01-04,2.806870937347412
2008-01-07,2.9063880443573
2008-01-08,2.837491989135742
2008-01-09,2.8757669925689697
2008-01-10,2.860456943511963
2008-01-11,2.7481820583343506
2008-01-14,2.8043200969696045
2008-01-15,2.699700117111206
2008-01-16,2.7303199768066406
2008-01-17,2.7532858848571777
2008-01-18,2.7966649532318115
2008-01-22,2.8145270347595215
2008-01-23,2.7226650714874268
2008-01-24,2.7124578952789307
2008-01-25,2.674182891845703
2008-01-28,2.692044973373413
2008-01-29,2.692044973373413
2008-01-30,2.6410109996795654
2008-01-31,2.50321888923645
2008-02-01,2.4981160163879395
2008-02-04,2.5976319313049316
2008-02-05,2.515976905822754
2008-02-06,2.510874032974243
2008-02-07,2.546597957611084
2008-02-08,2.561908006668091
2008-02-11,2.5134260654449463
2008-02-12,2.546597957611084
2008-02-13,2.549149990081787
2008-02-14,2.4879090785980225
2008-02-15,2.319495916366577
2008-02-19,2.2786691188812256
2008-02-20,2.3220479488372803
2008-02-21,2.365427017211914
2008-02-22,2.3041861057281494
2008-02-25,2.367979049682617
2008-02-26,2.3322548866271973
2008-02-27,2.3169450759887695
2008-02-28,2.250601053237915
2008-02-29,2.209773063659668
2008-03-03,2.074532985687256
2008-03-04,2.041361093521118
2008-03-05,2.033705949783325
2008-03-06,1.9188790321350098
2008-03-07,2.2072219848632812
2008-03-10,2.2863240242004395
2008-03-11,2.5695629119873047
2008-03-12,2.692044973373413
2008-03-13,2.7558369636535645
2008-03-14,2.681838035583496
2008-03-17,2.403702974319458
2008-03-18,2.4241158962249756
2008-03-19,2.373081922531128
2008-03-20,2.3041861057281494
2008-03-24,2.3348069190979004
2008-03-25,2.337357997894287
