,DCRB
2020-12-14,10.25
2020-12-15,10.125
2020-12-16,10.289999961853027
2020-12-17,10.279999732971191
2020-12-18,10.350000381469727
2020-12-21,10.40999984741211
2020-12-22,10.479999542236328
2020-12-23,10.520000457763672
2020-12-24,10.600000381469727
2020-12-28,10.699999809265137
2020-12-29,10.600000381469727
2020-12-30,10.649999618530273
2020-12-31,10.600000381469727
2021-01-04,10.5600004196167
2021-01-05,10.489999771118164
2021-01-06,10.510000228881836
2021-01-07,10.609999656677246
2021-01-08,10.699999809265137
2021-01-11,10.800000190734863
2021-01-12,11.510000228881836
2021-01-13,12.069999694824219
2021-01-14,12.289999961853027
2021-01-15,12.0
2021-01-19,12.470000267028809
2021-01-20,12.260000228881836
2021-01-21,12.350000381469727
2021-01-22,13.680000305175781
2021-01-25,13.880000114440918
2021-01-26,13.920000076293945
2021-01-27,12.829999923706055
2021-01-28,12.59000015258789
2021-01-29,12.600000381469727
2021-02-01,13.100000381469727
2021-02-02,13.579999923706055
2021-02-03,14.0
2021-02-04,13.739999771118164
2021-02-05,16.5
2021-02-08,17.760000228881836
2021-02-09,16.040000915527344
2021-02-10,15.720000267028809
2021-02-11,15.09000015258789
2021-02-12,15.579999923706055
2021-02-16,15.75
2021-02-17,15.100000381469727
2021-02-18,14.869999885559082
2021-02-19,14.899999618530273
2021-02-22,14.0600004196167
2021-02-23,12.800000190734863
2021-02-24,12.539999961853027
2021-02-25,11.789999961853027
2021-02-26,11.770000457763672
2021-03-01,12.890000343322754
2021-03-02,12.34000015258789
2021-03-03,11.390000343322754
2021-03-04,10.970000267028809
2021-03-05,11.350000381469727
2021-03-08,10.800000190734863
2021-03-09,11.390000343322754
2021-03-10,11.789999961853027
2021-03-11,12.029999732971191
2021-03-12,12.380000114440918
2021-03-15,12.329999923706055
2021-03-16,11.600000381469727
2021-03-17,11.15999984741211
2021-03-18,10.979999542236328
2021-03-19,11.119999885559082
2021-03-22,11.149999618530273
2021-03-23,10.75
2021-03-24,10.300000190734863
2021-03-25,10.289999961853027
2021-03-26,10.649999618530273
2021-03-29,10.350000381469727
2021-03-30,10.3100004196167
2021-03-31,10.489999771118164
2021-04-01,10.869999885559082
2021-04-05,10.630000114440918
2021-04-06,10.40999984741211
2021-04-07,10.420000076293945
2021-04-08,10.600000381469727
2021-04-09,10.640000343322754
2021-04-12,10.319999694824219
2021-04-13,10.34000015258789
2021-04-14,10.319999694824219
2021-04-15,10.069999694824219
2021-04-16,10.119999885559082
2021-04-19,10.0600004196167
2021-04-20,10.029999732971191
2021-04-21,10.145000457763672
2021-04-22,10.3100004196167
2021-04-23,10.319999694824219
2021-04-26,10.350000381469727
2021-04-27,10.289999961853027
2021-04-28,10.229999542236328
2021-04-29,10.399999618530273
2021-04-30,10.399999618530273
2021-05-03,10.399999618530273
2021-05-04,10.3100004196167
2021-05-05,10.3100004196167
2021-05-06,10.3100004196167
2021-05-07,10.329999923706055
2021-05-10,10.140000343322754
2021-05-11,9.989999771118164
2021-05-12,9.960000038146973
2021-05-13,9.9399995803833
2021-05-14,9.9399995803833
