,CDXC
2008-06-25,11.699999809265137
2008-06-26,12.0
2008-06-27,12.0
2008-06-30,11.25
2008-07-01,11.25
2008-07-02,11.25
2008-07-03,11.25
2008-07-07,11.25
2008-07-08,11.25
2008-07-09,11.25
2008-07-10,11.25
2008-07-11,15.0
2008-07-14,9.149999618530273
2008-07-15,9.0
2008-07-16,6.75
2008-07-17,9.0
2008-07-18,9.0
2008-07-21,9.0
2008-07-22,13.5
2008-07-23,13.5
2008-07-24,13.5
2008-07-25,13.5
2008-07-28,13.5
2008-07-29,13.199999809265137
2008-07-30,13.199999809265137
2008-07-31,13.199999809265137
2008-08-01,13.199999809265137
2008-08-04,13.5
2008-08-05,13.5
2008-08-06,13.5
2008-08-07,13.5
2008-08-08,13.5
2008-08-11,13.5
2008-08-12,13.5
2008-08-13,13.5
2008-08-14,13.5
2008-08-15,13.5
2008-08-18,10.5
2008-08-19,15.0
2008-08-20,15.0
2008-08-21,15.0
2008-08-22,15.0
2008-08-25,15.0
2008-08-26,15.0
2008-08-27,15.0
2008-08-28,15.0
2008-08-29,15.0
2008-09-02,15.0
2008-09-03,15.0
2008-09-04,15.0
2008-09-05,15.0
2008-09-08,15.0
2008-09-09,15.0
2008-09-10,15.0
2008-09-11,15.0
2008-09-12,15.0
2008-09-15,15.0
2008-09-16,15.0
2008-09-17,15.0
2008-09-18,15.0
2008-09-19,15.0
2008-09-22,15.0
2008-09-23,6.0
2008-09-24,6.0
2008-09-25,5.550000190734863
2008-09-26,4.739999771118164
2008-09-29,4.5
2008-09-30,4.5
2008-10-01,4.5
2008-10-02,4.5
2008-10-03,4.5
2008-10-06,3.1500000953674316
2008-10-07,3.450000047683716
2008-10-08,1.5299999713897705
2008-10-09,3.75
2008-10-10,1.7999999523162842
2008-10-13,3.1500000953674316
2008-10-14,1.7999999523162842
2008-10-15,1.5299999713897705
2008-10-16,1.5299999713897705
2008-10-17,1.5299999713897705
2008-10-20,1.5299999713897705
2008-10-21,1.5299999713897705
2008-10-22,1.2000000476837158
2008-10-23,1.2000000476837158
2008-10-24,2.0999999046325684
2008-10-27,2.0999999046325684
2008-10-28,0.75
2008-10-29,0.75
2008-10-30,0.8100000023841858
2008-10-31,0.8100000023841858
2008-11-03,3.0299999713897705
2008-11-04,3.75
2008-11-05,2.9100000858306885
2008-11-06,0.8999999761581421
2008-11-07,0.6000000238418579
2008-11-10,0.6000000238418579
2008-11-11,0.8999999761581421
2008-11-12,0.8999999761581421
2008-11-13,0.8999999761581421
2008-11-14,1.0499999523162842
2008-11-17,0.9599999785423279
2008-11-18,0.9599999785423279
2008-11-19,0.9599999785423279
2008-11-20,0.9599999785423279
2008-11-21,0.9599999785423279
