,ACGL
1995-09-14,2.3611109256744385
1995-09-15,2.3611109256744385
1995-09-18,2.3611109256744385
1995-09-19,2.3333330154418945
1995-09-20,2.3611109256744385
1995-09-21,2.3888890743255615
1995-09-22,2.3333330154418945
1995-09-25,2.3611109256744385
1995-09-26,2.3333330154418945
1995-09-27,2.3611109256744385
1995-09-28,2.3333330154418945
1995-09-29,2.4166669845581055
1995-10-02,2.3611109256744385
1995-10-03,2.444443941116333
1995-10-04,2.4166669845581055
1995-10-05,2.4583330154418945
1995-10-06,2.5
1995-10-09,2.5
1995-10-10,2.3888890743255615
1995-10-11,2.4166669845581055
1995-10-12,2.4583330154418945
1995-10-13,2.4583330154418945
1995-10-16,2.444443941116333
1995-10-17,2.430556058883667
1995-10-18,2.444443941116333
1995-10-19,2.430556058883667
1995-10-20,2.375
1995-10-23,2.375
1995-10-24,2.402777910232544
1995-10-25,2.402777910232544
1995-10-26,2.402777910232544
1995-10-27,2.4583330154418945
1995-10-30,2.4166669845581055
1995-10-31,2.444443941116333
1995-11-01,2.430556058883667
1995-11-02,2.430556058883667
1995-11-03,2.430556058883667
1995-11-06,2.402777910232544
1995-11-07,2.4166669845581055
1995-11-08,2.3611109256744385
1995-11-09,2.3611109256744385
1995-11-10,2.305556058883667
1995-11-13,2.3333330154418945
1995-11-14,2.3333330154418945
1995-11-15,2.277777910232544
1995-11-16,2.2916669845581055
1995-11-17,2.2361109256744385
1995-11-20,2.222222089767456
1995-11-21,2.25
1995-11-22,2.305556058883667
1995-11-24,2.25
1995-11-27,2.25
1995-11-28,2.3333330154418945
1995-11-29,2.277777910232544
1995-11-30,2.2916669845581055
1995-12-01,2.2361109256744385
1995-12-04,2.25
1995-12-05,2.25
1995-12-06,2.25
1995-12-07,2.222222089767456
1995-12-08,2.25
1995-12-11,2.277777910232544
1995-12-12,2.347222089767456
1995-12-13,2.3611109256744385
1995-12-14,2.3611109256744385
1995-12-15,2.375
1995-12-18,2.2916669845581055
1995-12-19,2.277777910232544
1995-12-20,2.2916669845581055
1995-12-21,2.2638890743255615
1995-12-22,2.222222089767456
1995-12-26,2.222222089767456
1995-12-27,2.2361109256744385
1995-12-28,2.305556058883667
1995-12-29,2.597222089767456
1996-01-02,2.569443941116333
1996-01-03,2.5416669845581055
1996-01-04,2.555556058883667
1996-01-05,2.5
1996-01-08,2.5
1996-01-09,2.5
1996-01-10,2.5
1996-01-11,2.5
