,AACQ
2020-09-04,10.0
2020-09-08,9.949999809265137
2020-09-09,9.989999771118164
2020-09-10,9.960000038146973
2020-09-11,9.960000038146973
2020-09-14,10.0
2020-09-15,9.970000267028809
2020-09-16,9.975000381469727
2020-09-17,9.930000305175781
2020-09-18,9.949999809265137
2020-09-21,9.949999809265137
2020-09-22,9.920000076293945
2020-09-23,9.949999809265137
2020-09-24,9.869999885559082
2020-09-25,9.880000114440918
2020-09-28,9.949999809265137
2020-09-29,9.9399995803833
2020-09-30,9.9399995803833
2020-10-01,9.9399995803833
2020-10-02,9.949999809265137
2020-10-05,9.864999771118164
2020-10-06,9.779999732971191
2020-10-07,9.800000190734863
2020-10-08,9.78499984741211
2020-10-09,9.770000457763672
2020-10-12,9.800000190734863
2020-10-13,9.800000190734863
2020-10-14,9.800000190734863
2020-10-15,9.789999961853027
2020-10-16,9.779999732971191
2020-10-19,9.800000190734863
2020-10-20,9.800000190734863
2020-10-21,9.75
2020-10-22,9.779999732971191
2020-10-23,9.710000038146973
2020-10-26,9.6899995803833
2020-10-27,9.6850004196167
2020-10-28,9.619999885559082
2020-10-29,9.649999618530273
2020-10-30,9.647000312805176
2020-11-02,9.6899995803833
2020-11-03,9.710000038146973
2020-11-04,9.720000267028809
2020-11-05,9.779999732971191
2020-11-06,9.720000267028809
2020-11-09,9.739999771118164
2020-11-10,9.75
2020-11-11,9.739999771118164
2020-11-12,9.699999809265137
2020-11-13,9.779999732971191
2020-11-16,9.800000190734863
2020-11-17,9.779999732971191
2020-11-18,9.800000190734863
2020-11-19,9.869999885559082
2020-11-20,9.890000343322754
2020-11-23,9.880000114440918
2020-11-24,9.90999984741211
2020-11-25,9.920000076293945
2020-11-27,9.949999809265137
2020-11-30,9.949999809265137
2020-12-01,9.949999809265137
2020-12-02,9.949999809265137
2020-12-03,9.949999809265137
2020-12-04,9.949999809265137
2020-12-07,10.09000015258789
2020-12-08,10.3100004196167
2020-12-09,10.300000190734863
2020-12-10,10.300000190734863
2020-12-11,10.369999885559082
2020-12-14,10.449999809265137
2020-12-15,10.289999961853027
2020-12-16,10.300000190734863
2020-12-17,10.350000381469727
2020-12-18,10.430000305175781
2020-12-21,10.399999618530273
2020-12-22,10.449999809265137
2020-12-23,10.420000076293945
2020-12-24,10.460000038146973
2020-12-28,10.539999961853027
2020-12-29,10.539999961853027
2020-12-30,10.470000267028809
2020-12-31,10.630000114440918
2021-01-04,10.65999984741211
2021-01-05,10.5600004196167
2021-01-06,10.619999885559082
2021-01-07,10.539999961853027
2021-01-08,10.529999732971191
2021-01-11,10.579999923706055
2021-01-12,11.010000228881836
2021-01-13,11.039999961853027
2021-01-14,11.069999694824219
2021-01-15,10.899999618530273
2021-01-19,10.84000015258789
2021-01-20,10.75
2021-01-21,10.960000038146973
2021-01-22,11.029999732971191
2021-01-25,11.020000457763672
2021-01-26,10.640000343322754
2021-01-27,10.550000190734863
2021-01-28,10.579999923706055
2021-01-29,10.619999885559082
2021-02-01,10.75
2021-02-02,10.829999923706055
2021-02-03,11.140000343322754
2021-02-04,11.119999885559082
2021-02-05,11.300000190734863
2021-02-08,11.4399995803833
2021-02-09,11.350000381469727
2021-02-10,11.399999618530273
2021-02-11,11.260000228881836
2021-02-12,11.270000457763672
2021-02-16,14.0
2021-02-17,13.5
2021-02-18,12.779999732971191
2021-02-19,13.199999809265137
2021-02-22,13.369999885559082
2021-02-23,12.390000343322754
2021-02-24,11.800000190734863
2021-02-25,11.229999542236328
2021-02-26,10.880000114440918
2021-03-01,11.229999542236328
2021-03-02,10.729999542236328
2021-03-03,10.380000114440918
2021-03-04,10.289999961853027
2021-03-05,10.65999984741211
2021-03-08,10.680000305175781
2021-03-09,10.670000076293945
2021-03-10,10.489999771118164
2021-03-11,10.779999732971191
2021-03-12,10.770000457763672
2021-03-15,10.59000015258789
2021-03-16,10.449999809265137
2021-03-17,10.350000381469727
2021-03-18,10.359999656677246
2021-03-19,10.3100004196167
2021-03-22,10.329999923706055
2021-03-23,10.130000114440918
2021-03-24,10.050000190734863
2021-03-25,10.069999694824219
2021-03-26,10.260000228881836
2021-03-29,10.029999732971191
2021-03-30,10.039999961853027
2021-03-31,10.100000381469727
2021-04-01,10.319999694824219
2021-04-05,10.229999542236328
2021-04-06,10.180000305175781
2021-04-07,10.300000190734863
2021-04-08,10.390000343322754
2021-04-09,10.300000190734863
2021-04-12,10.300000190734863
2021-04-13,10.199999809265137
2021-04-14,10.15999984741211
2021-04-15,10.039999961853027
2021-04-16,10.010000228881836
2021-04-19,10.029999732971191
2021-04-20,9.949999809265137
2021-04-21,10.0
2021-04-22,9.979999542236328
2021-04-23,10.020000457763672
2021-04-26,10.079999923706055
2021-04-27,10.029999732971191
2021-04-28,10.0600004196167
2021-04-29,10.020000457763672
2021-04-30,10.029999732971191
2021-05-03,10.069999694824219
2021-05-04,10.100000381469727
2021-05-05,10.050000190734863
2021-05-06,9.920000076293945
2021-05-07,9.90999984741211
2021-05-10,9.899999618530273
2021-05-11,9.869999885559082
2021-05-12,9.850000381469727
2021-05-13,9.859999656677246
2021-05-14,9.850000381469727
