,AKIC
2021-02-26,9.970000267028809
2021-03-01,9.979999542236328
2021-03-02,10.880000114440918
2021-03-03,10.09000015258789
2021-03-04,9.880000114440918
2021-03-05,9.802000045776367
2021-03-08,9.90999984741211
2021-03-09,9.869999885559082
2021-03-10,9.90999984741211
2021-03-11,9.819999694824219
2021-03-12,9.899999618530273
2021-03-15,9.979999542236328
2021-03-16,9.979999542236328
2021-03-17,9.84000015258789
2021-03-18,9.850000381469727
2021-03-19,9.850000381469727
2021-03-22,9.854999542236328
2021-03-23,9.600000381469727
2021-03-24,9.612000465393066
2021-03-25,9.59000015258789
2021-03-26,9.800000190734863
2021-03-29,9.699999809265137
2021-03-30,9.619999885559082
2021-03-31,9.619999885559082
2021-04-01,9.680000305175781
2021-04-05,9.791000366210938
2021-04-06,9.800000190734863
2021-04-07,9.850000381469727
2021-04-08,9.920000076293945
2021-04-09,9.829999923706055
2021-04-12,9.84000015258789
2021-04-13,9.850000381469727
2021-04-14,9.850000381469727
2021-04-15,9.850000381469727
2021-04-16,9.850000381469727
2021-04-19,9.899999618530273
2021-04-20,9.779999732971191
2021-04-21,9.859999656677246
2021-04-22,9.880000114440918
2021-04-23,9.8100004196167
2021-04-26,9.831000328063965
2021-04-27,9.890000343322754
2021-04-28,9.869999885559082
2021-04-29,9.899999618530273
2021-04-30,9.770000457763672
2021-05-03,9.779999732971191
2021-05-04,9.800000190734863
2021-05-05,9.800000190734863
2021-05-06,9.789999961853027
2021-05-07,9.800000190734863
2021-05-10,9.800000190734863
2021-05-11,9.760000228881836
2021-05-12,9.829999923706055
2021-05-13,9.800000190734863
2021-05-14,9.800000190734863
