,BIVI
2020-09-18,9.989999771118164
2020-09-21,9.75
2020-09-22,9.550000190734863
2020-09-23,9.300000190734863
2020-09-24,9.399999618530273
2020-09-25,9.15999984741211
2020-09-28,9.33899974822998
2020-09-29,9.460000038146973
2020-09-30,9.510000228881836
2020-10-01,9.539999961853027
2020-10-02,9.369999885559082
2020-10-05,9.3100004196167
2020-10-06,9.510000228881836
2020-10-07,9.319999694824219
2020-10-08,9.319999694824219
2020-10-09,9.600000381469727
2020-10-12,9.380000114440918
2020-10-13,9.899999618530273
2020-10-14,10.550000190734863
2020-10-15,10.289999961853027
2020-10-16,9.75
2020-10-19,9.569999694824219
2020-10-20,9.529999732971191
2020-10-21,9.109999656677246
2020-10-22,9.175000190734863
2020-10-23,9.010000228881836
2020-10-26,7.980000019073486
2020-10-27,8.029999732971191
2020-10-28,7.933000087738037
2020-10-29,8.300000190734863
2020-10-30,7.96999979019165
2020-11-02,7.925000190734863
2020-11-03,8.125
2020-11-04,8.204999923706055
2020-11-05,8.140000343322754
2020-11-06,8.239999771118164
2020-11-09,8.289999961853027
2020-11-10,8.074999809265137
2020-11-11,8.100000381469727
2020-11-12,7.96999979019165
2020-11-13,8.039999961853027
2020-11-16,7.860000133514404
2020-11-17,8.0
2020-11-18,7.8460001945495605
2020-11-19,7.880000114440918
2020-11-20,7.900000095367432
2020-11-23,8.0600004196167
2020-11-24,8.430000305175781
2020-11-25,8.4399995803833
2020-11-27,8.84000015258789
2020-11-30,9.649999618530273
2020-12-01,9.420000076293945
2020-12-02,9.130000114440918
2020-12-03,8.880000114440918
2020-12-04,8.829999923706055
2020-12-07,8.550000190734863
2020-12-08,8.600000381469727
2020-12-09,8.550000190734863
2020-12-10,9.760000228881836
2020-12-11,10.300000190734863
2020-12-14,12.0
2020-12-15,13.1899995803833
2020-12-16,13.0
2020-12-17,13.9399995803833
2020-12-18,13.90999984741211
2020-12-21,14.359999656677246
2020-12-22,15.140000343322754
2020-12-23,15.600000381469727
2020-12-24,15.5
2020-12-28,15.800000190734863
2020-12-29,15.199999809265137
2020-12-30,15.8100004196167
2020-12-31,17.31999969482422
2021-01-04,17.59000015258789
2021-01-05,20.84000015258789
2021-01-06,22.639999389648438
2021-01-07,25.010000228881836
2021-01-08,24.440000534057617
2021-01-11,24.739999771118164
2021-01-12,28.06999969482422
2021-01-13,27.90999984741211
2021-01-14,29.940000534057617
2021-01-15,37.91999816894531
2021-01-19,42.09000015258789
2021-01-20,37.86000061035156
2021-01-21,35.29999923706055
2021-01-22,34.869998931884766
2021-01-25,32.619998931884766
2021-01-26,37.5099983215332
2021-01-27,29.8799991607666
2021-01-28,33.0
2021-01-29,33.5099983215332
2021-02-01,36.7400016784668
2021-02-02,38.689998626708984
2021-02-03,44.810001373291016
2021-02-04,44.20000076293945
2021-02-05,40.83000183105469
2021-02-08,40.880001068115234
2021-02-09,41.27000045776367
2021-02-10,40.59000015258789
2021-02-11,37.5099983215332
2021-02-12,37.5
2021-02-16,35.79999923706055
2021-02-17,35.119998931884766
2021-02-18,33.09000015258789
2021-02-19,41.5
2021-02-22,33.599998474121094
2021-02-23,33.5099983215332
2021-02-24,30.760000228881836
2021-02-25,28.950000762939453
2021-02-26,32.099998474121094
2021-03-01,24.489999771118164
2021-03-02,26.059999465942383
2021-03-03,23.420000076293945
2021-03-04,14.350000381469727
2021-03-05,14.779999732971191
2021-03-08,16.360000610351562
2021-03-09,21.5
2021-03-10,19.770000457763672
2021-03-11,21.3700008392334
2021-03-12,20.399999618530273
2021-03-15,20.100000381469727
2021-03-16,19.979999542236328
2021-03-17,21.510000228881836
2021-03-18,20.100000381469727
2021-03-19,21.700000762939453
2021-03-22,21.790000915527344
2021-03-23,20.25
2021-03-24,19.040000915527344
2021-03-25,17.549999237060547
2021-03-26,18.549999237060547
2021-03-29,17.219999313354492
2021-03-30,17.1299991607666
2021-03-31,19.34000015258789
2021-04-01,18.690000534057617
2021-04-05,18.850000381469727
2021-04-06,17.450000762939453
2021-04-07,16.270000457763672
2021-04-08,16.81999969482422
2021-04-09,16.5
2021-04-12,15.779999732971191
2021-04-13,13.899999618530273
2021-04-14,14.199999809265137
2021-04-15,13.430000305175781
2021-04-16,13.1899995803833
2021-04-19,12.100000381469727
2021-04-20,10.569999694824219
2021-04-21,13.34000015258789
2021-04-22,13.350000381469727
2021-04-23,17.770000457763672
2021-04-26,21.610000610351562
2021-04-27,21.5
2021-04-28,18.8799991607666
2021-04-29,16.209999084472656
2021-04-30,17.510000228881836
2021-05-03,17.280000686645508
2021-05-04,15.430000305175781
2021-05-05,14.130000114440918
2021-05-06,13.199999809265137
2021-05-07,15.350000381469727
2021-05-10,15.0
2021-05-11,14.850000381469727
2021-05-12,13.699999809265137
2021-05-13,12.149999618530273
2021-05-14,13.149999618530273
