,BROG
2018-07-13,9.529999732971191
2018-07-16,9.5600004196167
2018-07-17,9.539999961853027
2018-07-18,9.550000190734863
2018-07-19,9.539999961853027
2018-07-20,9.539999961853027
2018-07-23,9.539999961853027
2018-07-24,9.569999694824219
2018-07-25,9.5600004196167
2018-07-26,9.550000190734863
2018-07-27,9.550000190734863
2018-07-30,9.567999839782715
2018-07-31,9.579999923706055
2018-08-01,9.569999694824219
2018-08-02,9.569999694824219
2018-08-03,9.635000228881836
2018-08-06,9.739999771118164
2018-08-07,9.739999771118164
2018-08-08,9.600000381469727
2018-08-09,9.609999656677246
2018-08-10,9.609999656677246
2018-08-13,9.635000228881836
2018-08-14,9.59000015258789
2018-08-15,9.550000190734863
2018-08-16,9.550000190734863
2018-08-17,9.550000190734863
2018-08-20,9.520000457763672
2018-08-21,9.5600004196167
2018-08-22,9.567999839782715
2018-08-23,9.567999839782715
2018-08-24,9.567999839782715
2018-08-27,9.567999839782715
2018-08-28,9.585000038146973
2018-08-29,9.569999694824219
2018-08-30,9.569999694824219
2018-08-31,9.569999694824219
2018-09-04,9.569999694824219
2018-09-05,9.569999694824219
2018-09-06,9.569999694824219
2018-09-07,9.59000015258789
2018-09-10,9.600000381469727
2018-09-11,9.579999923706055
2018-09-12,9.579999923706055
2018-09-13,9.579999923706055
2018-09-14,9.579999923706055
2018-09-17,9.579999923706055
2018-09-18,9.569999694824219
2018-09-19,9.569999694824219
2018-09-20,9.569999694824219
2018-09-21,9.579999923706055
2018-09-24,9.579999923706055
2018-09-25,9.579999923706055
2018-09-26,9.579999923706055
2018-09-27,9.600000381469727
2018-09-28,9.600000381469727
2018-10-01,9.600000381469727
2018-10-02,9.600000381469727
2018-10-03,9.600000381469727
2018-10-04,9.600000381469727
2018-10-05,9.600000381469727
2018-10-08,9.619999885559082
2018-10-09,9.630000114440918
2018-10-10,9.630000114440918
2018-10-11,9.630000114440918
2018-10-12,9.630000114440918
2018-10-15,9.630000114440918
2018-10-16,9.630000114440918
2018-10-17,9.630000114440918
2018-10-18,9.630000114440918
2018-10-19,9.630000114440918
2018-10-22,9.630000114440918
2018-10-23,9.630000114440918
2018-10-24,9.630000114440918
2018-10-25,9.630000114440918
2018-10-26,9.630000114440918
2018-10-29,9.630000114440918
2018-10-30,9.630000114440918
2018-10-31,9.739999771118164
2018-11-01,9.739999771118164
