,CSSEN
2020-07-22,24.200000762939453
2020-07-23,24.200000762939453
2020-07-24,24.309999465942383
2020-07-27,24.280000686645508
2020-07-28,24.100000381469727
2020-07-29,24.200000762939453
2020-07-30,24.14299964904785
2020-07-31,24.329999923706055
2020-08-03,24.739999771118164
2020-08-04,24.239999771118164
2020-08-05,24.239999771118164
2020-08-06,24.389999389648438
2020-08-07,24.100000381469727
2020-08-10,24.422000885009766
2020-08-11,24.100000381469727
2020-08-12,24.110000610351562
2020-08-13,24.110000610351562
2020-08-14,24.329999923706055
2020-08-17,24.25
2020-08-18,24.270000457763672
2020-08-19,24.283000946044922
2020-08-20,24.25
2020-08-21,24.200000762939453
2020-08-24,24.25
2020-08-25,24.3799991607666
2020-08-26,24.420000076293945
2020-08-27,24.260000228881836
2020-08-28,24.450000762939453
2020-08-31,24.934999465942383
2020-09-01,25.239999771118164
2020-09-02,25.5
2020-09-03,24.850000381469727
2020-09-04,25.479000091552734
2020-09-08,25.479000091552734
2020-09-09,24.950000762939453
2020-09-10,25.25
2020-09-11,25.201000213623047
2020-09-14,24.979999542236328
2020-09-15,24.979999542236328
2020-09-16,24.979999542236328
2020-09-17,24.892000198364258
2020-09-18,24.80500030517578
2020-09-21,24.709999084472656
2020-09-22,24.709999084472656
2020-09-23,24.729999542236328
2020-09-24,24.709999084472656
2020-09-25,24.709999084472656
2020-09-28,24.701000213623047
2020-09-29,24.729999542236328
2020-09-30,24.81999969482422
2020-10-01,24.725000381469727
2020-10-02,24.760000228881836
2020-10-05,24.735000610351562
2020-10-06,24.499000549316406
2020-10-07,25.0
2020-10-08,25.100000381469727
2020-10-09,24.9950008392334
2020-10-12,24.9950008392334
2020-10-13,24.9950008392334
2020-10-14,24.899999618530273
2020-10-15,24.899999618530273
2020-10-16,25.0
2020-10-19,24.5
2020-10-20,25.020000457763672
2020-10-21,25.100000381469727
2020-10-22,25.0
2020-10-23,24.875
2020-10-26,24.90999984741211
2020-10-27,25.219999313354492
2020-10-28,25.0
2020-10-29,25.0
2020-10-30,24.885000228881836
2020-11-02,24.885000228881836
2020-11-03,25.0
2020-11-04,24.851999282836914
2020-11-05,25.22100067138672
2020-11-06,25.22100067138672
2020-11-09,25.219999313354492
2020-11-10,25.0
2020-11-11,24.933000564575195
2020-11-12,24.937999725341797
2020-11-13,24.972999572753906
2020-11-16,24.850000381469727
2020-11-17,24.905000686645508
2020-11-18,24.950000762939453
2020-11-19,24.989999771118164
2020-11-20,24.899999618530273
2020-11-23,25.06999969482422
2020-11-24,25.459999084472656
2020-11-25,25.190000534057617
2020-11-27,25.350000381469727
2020-11-30,25.395999908447266
2020-12-01,25.25
2020-12-02,25.166000366210938
2020-12-03,25.1200008392334
2020-12-04,25.0
2020-12-07,25.1200008392334
2020-12-08,25.200000762939453
2020-12-09,25.0
2020-12-10,25.0
2020-12-11,25.06999969482422
2020-12-14,24.93000030517578
2020-12-15,24.93000030517578
2020-12-16,24.700000762939453
2020-12-17,24.729999542236328
2020-12-18,24.209999084472656
2020-12-21,24.299999237060547
2020-12-22,24.5
2020-12-23,24.549999237060547
2020-12-24,24.540000915527344
2020-12-28,24.540000915527344
2020-12-29,24.549999237060547
2020-12-30,24.570999145507812
2020-12-31,24.690000534057617
2021-01-04,24.5
2021-01-05,24.56999969482422
2021-01-06,24.520000457763672
2021-01-07,24.5
2021-01-08,24.610000610351562
2021-01-11,24.6299991607666
2021-01-12,24.799999237060547
2021-01-13,25.200000762939453
2021-01-14,25.139999389648438
2021-01-15,25.489999771118164
2021-01-19,25.700000762939453
2021-01-20,25.68000030517578
2021-01-21,25.700000762939453
2021-01-22,25.899999618530273
2021-01-25,26.0
2021-01-26,25.799999237060547
2021-01-27,25.864999771118164
2021-01-28,25.999000549316406
2021-01-29,25.700000762939453
2021-02-01,25.700000762939453
2021-02-02,25.709999084472656
2021-02-03,25.947999954223633
2021-02-04,25.940000534057617
2021-02-05,25.764999389648438
2021-02-08,25.8799991607666
2021-02-09,25.950000762939453
2021-02-10,26.200000762939453
2021-02-11,25.959999084472656
2021-02-12,25.979999542236328
2021-02-16,26.0
2021-02-17,25.98900032043457
2021-02-18,26.07699966430664
2021-02-19,26.07699966430664
2021-02-22,26.170000076293945
2021-02-23,25.950000762939453
2021-02-24,26.100000381469727
2021-02-25,26.174999237060547
2021-02-26,25.950000762939453
2021-03-01,26.045000076293945
2021-03-02,26.049999237060547
2021-03-03,25.75
2021-03-04,25.809999465942383
2021-03-05,26.0
2021-03-08,26.100000381469727
2021-03-09,26.049999237060547
2021-03-10,25.98200035095215
2021-03-11,26.09000015258789
2021-03-12,25.81999969482422
2021-03-15,25.450000762939453
2021-03-16,25.59000015258789
2021-03-17,25.530000686645508
2021-03-18,25.59000015258789
2021-03-19,25.56999969482422
2021-03-22,25.700000762939453
2021-03-23,25.649999618530273
2021-03-24,25.860000610351562
2021-03-25,25.75
2021-03-26,25.700000762939453
2021-03-29,25.833999633789062
2021-03-30,25.690000534057617
2021-03-31,25.729999542236328
2021-04-01,25.899999618530273
2021-04-05,25.75
2021-04-06,25.700000762939453
2021-04-07,25.986000061035156
2021-04-08,25.729999542236328
2021-04-09,25.709999084472656
2021-04-12,25.795000076293945
2021-04-13,25.899999618530273
2021-04-14,25.804000854492188
2021-04-15,25.799999237060547
2021-04-16,25.905000686645508
2021-04-19,25.799999237060547
2021-04-20,25.899999618530273
2021-04-21,25.999000549316406
2021-04-22,26.040000915527344
2021-04-23,25.899999618530273
2021-04-26,26.100000381469727
2021-04-27,26.059999465942383
2021-04-28,26.03700065612793
2021-04-29,25.8700008392334
2021-04-30,26.81999969482422
2021-05-03,26.780000686645508
2021-05-04,26.829999923706055
2021-05-05,26.600000381469727
2021-05-06,26.610000610351562
2021-05-07,26.6299991607666
2021-05-10,26.399999618530273
2021-05-11,26.410999298095703
2021-05-12,26.600000381469727
2021-05-13,26.600000381469727
2021-05-14,26.639999389648438
