,CHSCM
2014-09-10,24.950000762939453
2014-09-11,25.1200008392334
2014-09-12,25.06999969482422
2014-09-15,25.100000381469727
2014-09-16,25.200000762939453
2014-09-17,25.299999237060547
2014-09-18,25.399999618530273
2014-09-19,25.469999313354492
2014-09-22,25.3700008392334
2014-09-23,25.3700008392334
2014-09-24,25.3799991607666
2014-09-25,25.350000381469727
2014-09-26,25.34000015258789
2014-09-29,25.360000610351562
2014-09-30,25.489999771118164
2014-10-01,25.5
2014-10-02,25.510000228881836
2014-10-03,25.6299991607666
2014-10-06,25.610000610351562
2014-10-07,25.566999435424805
2014-10-08,25.6200008392334
2014-10-09,25.489999771118164
2014-10-10,25.34000015258789
2014-10-13,25.638999938964844
2014-10-14,25.59000015258789
2014-10-15,25.299999237060547
2014-10-16,25.360000610351562
2014-10-17,25.049999237060547
2014-10-20,25.09000015258789
2014-10-21,25.18000030517578
2014-10-22,25.200000762939453
2014-10-23,25.239999771118164
2014-10-24,25.239999771118164
2014-10-27,25.229999542236328
2014-10-28,25.299999237060547
2014-10-29,25.170000076293945
2014-10-30,25.030000686645508
2014-10-31,25.18000030517578
2014-11-03,25.299999237060547
2014-11-04,25.43000030517578
2014-11-05,25.450000762939453
2014-11-06,25.489999771118164
2014-11-07,25.649999618530273
2014-11-10,25.690000534057617
2014-11-11,25.540000915527344
2014-11-12,25.639999389648438
2014-11-13,25.600000381469727
2014-11-14,25.600000381469727
2014-11-17,25.59000015258789
2014-11-18,25.600000381469727
2014-11-19,25.489999771118164
2014-11-20,25.5
2014-11-21,25.5
2014-11-24,25.510000228881836
2014-11-25,25.440000534057617
2014-11-26,25.6200008392334
2014-11-28,25.600000381469727
2014-12-01,25.450000762939453
2014-12-02,25.600000381469727
2014-12-03,25.540000915527344
2014-12-04,25.3799991607666
2014-12-05,25.469999313354492
2014-12-08,25.579999923706055
2014-12-09,25.549999237060547
2014-12-10,25.582000732421875
2014-12-11,25.489999771118164
2014-12-12,25.450000762939453
2014-12-15,24.940000534057617
2014-12-16,24.969999313354492
2014-12-17,25.09000015258789
2014-12-18,25.200000762939453
2014-12-19,25.31999969482422
2014-12-22,25.469999313354492
2014-12-23,25.3700008392334
2014-12-24,25.3700008392334
2014-12-26,25.360000610351562
2014-12-29,25.440000534057617
2014-12-30,25.440000534057617
2014-12-31,25.420000076293945
2015-01-02,25.530000686645508
2015-01-05,25.31999969482422
2015-01-06,25.350000381469727
2015-01-07,25.399999618530273
2015-01-08,25.445999145507812
2015-01-09,25.489999771118164
2015-01-12,25.5
2015-01-13,24.979999542236328
2015-01-14,24.479999542236328
2015-01-15,24.690000534057617
2015-01-16,24.829999923706055
2015-01-20,24.8799991607666
2015-01-21,24.93000030517578
2015-01-22,25.030000686645508
2015-01-23,25.059999465942383
2015-01-26,25.05699920654297
2015-01-27,25.020000457763672
2015-01-28,25.049999237060547
2015-01-29,25.079999923706055
2015-01-30,25.209999084472656
2015-02-02,25.239999771118164
2015-02-03,25.350000381469727
2015-02-04,25.3700008392334
2015-02-05,25.329999923706055
2015-02-06,25.049999237060547
2015-02-09,25.1299991607666
2015-02-10,25.18000030517578
2015-02-11,25.420000076293945
2015-02-12,25.489999771118164
2015-02-13,25.520000457763672
2015-02-17,25.420000076293945
2015-02-18,25.22599983215332
2015-02-19,25.3799991607666
2015-02-20,25.459999084472656
2015-02-23,25.610000610351562
2015-02-24,25.8700008392334
2015-02-25,25.899999618530273
2015-02-26,26.059999465942383
