,DVLU
2018-10-18,18.350000381469727
2018-10-19,18.280000686645508
2018-10-22,18.1299991607666
2018-10-23,17.860000610351562
2018-10-24,17.520000457763672
2018-10-25,17.440000534057617
2018-10-26,17.049999237060547
2018-10-29,17.479999542236328
2018-10-30,17.479999542236328
2018-10-31,17.979999542236328
2018-11-01,17.93000030517578
2018-11-02,17.81999969482422
2018-11-05,17.93000030517578
2018-11-06,18.100000381469727
2018-11-07,18.1299991607666
2018-11-08,18.229999542236328
2018-11-09,18.020000457763672
2018-11-12,17.899999618530273
2018-11-13,17.899999618530273
2018-11-14,17.75
2018-11-15,17.6200008392334
2018-11-16,17.6200008392334
2018-11-19,17.670000076293945
2018-11-20,17.18000030517578
2018-11-21,17.3700008392334
2018-11-23,17.329999923706055
2018-11-26,17.530000686645508
2018-11-27,17.479999542236328
2018-11-28,18.520000457763672
2018-11-29,17.860000610351562
2018-11-30,17.780000686645508
2018-12-03,17.969999313354492
2018-12-04,17.25
2018-12-06,17.139999389648438
2018-12-07,16.799999237060547
2018-12-10,16.520000457763672
2018-12-11,16.489999771118164
2018-12-12,16.489999771118164
2018-12-13,16.489999771118164
2018-12-14,16.34000015258789
2018-12-17,15.890000343322754
2018-12-18,15.899999618530273
2018-12-19,15.40999984741211
2018-12-20,15.229999542236328
2018-12-21,15.0600004196167
2018-12-24,14.569999694824219
2018-12-26,15.15999984741211
2018-12-27,14.930000305175781
2018-12-28,14.930000305175781
2018-12-31,14.930000305175781
2019-01-02,15.520000457763672
2019-01-03,15.34000015258789
2019-01-04,15.34000015258789
2019-01-07,16.1299991607666
2019-01-08,16.15999984741211
2019-01-09,16.15999984741211
2019-01-10,16.399999618530273
2019-01-11,16.5
2019-01-14,16.489999771118164
2019-01-15,16.549999237060547
2019-01-16,16.799999237060547
2019-01-17,16.860000610351562
2019-01-18,17.100000381469727
2019-01-22,16.950000762939453
2019-01-23,16.989999771118164
2019-01-24,16.969999313354492
2019-01-25,17.1200008392334
2019-01-28,17.010000228881836
2019-01-29,17.1299991607666
2019-01-30,17.299999237060547
2019-01-31,17.360000610351562
2019-02-01,17.43000030517578
2019-02-04,17.549999237060547
2019-02-05,17.649999618530273
2019-02-06,17.639999389648438
2019-02-07,17.670000076293945
2019-02-08,17.59000015258789
2019-02-11,17.649999618530273
2019-02-12,17.809999465942383
2019-02-13,17.93000030517578
2019-02-14,17.959999084472656
2019-02-15,18.030000686645508
2019-02-19,18.110000610351562
2019-02-20,18.1299991607666
2019-02-21,18.09000015258789
2019-02-22,18.170000076293945
2019-02-25,18.110000610351562
2019-02-26,18.040000915527344
2019-02-27,17.920000076293945
2019-02-28,18.010000228881836
2019-03-01,18.09000015258789
2019-03-04,18.09000015258789
2019-03-05,17.920000076293945
2019-03-06,17.719999313354492
2019-03-07,17.559999465942383
2019-03-08,17.559999465942383
2019-03-11,17.790000915527344
2019-03-12,17.84000015258789
2019-03-13,17.950000762939453
2019-03-14,17.950000762939453
2019-03-15,17.940000534057617
2019-03-18,18.09000015258789
2019-03-19,18.059999465942383
2019-03-20,17.8700008392334
2019-03-21,17.93000030517578
2019-03-22,17.93000030517578
2019-03-25,17.600000381469727
2019-03-26,17.6200008392334
2019-03-27,17.610000610351562
2019-03-28,17.649999618530273
2019-03-29,17.75
2019-04-01,17.940000534057617
2019-04-02,17.950000762939453
2019-04-03,18.059999465942383
2019-04-04,18.1200008392334
2019-04-05,18.219999313354492
2019-04-08,18.239999771118164
2019-04-09,18.100000381469727
2019-04-10,18.239999771118164
2019-04-11,18.299999237060547
2019-04-12,18.360000610351562
2019-04-15,18.329999923706055
2019-04-16,18.34000015258789
2019-04-17,18.290000915527344
2019-04-18,18.3799991607666
2019-04-22,18.25
2019-04-23,18.43000030517578
2019-04-24,18.530000686645508
2019-04-25,18.5
2019-04-26,18.5
2019-04-29,18.68000030517578
2019-04-30,18.719999313354492
2019-05-01,18.559999465942383
2019-05-02,18.420000076293945
2019-05-03,18.68000030517578
