,FMAO
2006-01-30,10.90625
2006-01-31,10.875
2006-02-01,11.0625
2006-02-02,11.0625
2006-02-03,11.0625
2006-02-06,11.0625
2006-02-07,11.0625
2006-02-08,11.0625
2006-02-09,11.0625
2006-02-10,11.0625
2006-02-13,11.0625
2006-02-14,11.0625
2006-02-15,11.0625
2006-02-16,11.0625
2006-02-17,11.0625
2006-02-21,11.0625
2006-02-22,11.0625
2006-02-23,11.0625
2006-02-24,11.125
2006-02-27,11.125
2006-02-28,11.0
2006-03-01,11.0
2006-03-02,11.0
2006-03-03,11.4375
2006-03-06,11.4375
2006-03-07,11.4375
2006-03-08,11.4375
2006-03-09,11.4375
2006-03-10,11.4375
2006-03-13,11.4375
2006-03-14,11.4375
2006-03-15,11.0625
2006-03-16,11.0625
2006-03-17,11.4375
2006-03-20,11.4375
2006-03-21,11.4375
2006-03-22,11.4375
2006-03-23,11.4375
2006-03-24,11.0625
2006-03-27,11.0625
2006-03-28,11.0625
2006-03-29,11.4375
2006-03-30,11.4375
2006-03-31,11.4375
2006-04-03,11.4375
2006-04-04,11.25
2006-04-05,11.25
2006-04-06,11.25
2006-04-07,11.25
2006-04-10,11.25
2006-04-11,11.25
2006-04-12,11.25
2006-04-13,11.25
2006-04-17,11.25
2006-04-18,11.25
2006-04-19,11.25
2006-04-20,11.25
2006-04-21,11.25
2006-04-24,11.25
2006-04-25,11.25
2006-04-26,11.25
2006-04-27,11.25
2006-04-28,11.25
2006-05-01,11.25
2006-05-02,11.25
2006-05-03,11.25
2006-05-04,11.875
2006-05-05,11.875
2006-05-08,11.875
2006-05-09,11.875
2006-05-10,11.875
2006-05-11,11.875
2006-05-12,11.875
2006-05-15,13.0
2006-05-16,12.0
2006-05-17,11.5
2006-05-18,11.5
2006-05-19,11.625
2006-05-22,11.725000381469727
2006-05-23,11.725000381469727
2006-05-24,11.725000381469727
2006-05-25,11.524999618530273
2006-05-26,11.524999618530273
2006-05-30,11.524999618530273
2006-05-31,11.524999618530273
2006-06-01,11.524999618530273
2006-06-02,11.524999618530273
2006-06-05,11.524999618530273
2006-06-06,11.5
2006-06-07,11.5
2006-06-08,11.5
2006-06-09,11.125
2006-06-12,11.125
2006-06-13,11.75
2006-06-14,11.5
2006-06-15,11.5
2006-06-16,11.550000190734863
2006-06-19,11.25
2006-06-20,11.25
2006-06-21,11.25
2006-06-22,11.75
2006-06-23,11.75
2006-06-26,11.75
2006-06-27,11.75
2006-06-28,11.75
2006-06-29,11.5
2006-06-30,11.5
2006-07-03,11.5
2006-07-05,11.5
2006-07-06,11.5
2006-07-07,11.5
2006-07-10,11.5
2006-07-11,11.5
2006-07-12,11.5
2006-07-13,11.5
2006-07-14,11.425000190734863
2006-07-17,11.399999618530273
2006-07-18,11.399999618530273
2006-07-19,11.399999618530273
2006-07-20,11.625
2006-07-21,11.625
2006-07-24,11.625
2006-07-25,11.625
2006-07-26,11.625
2006-07-27,11.625
2006-07-28,11.625
2006-07-31,11.625
2006-08-01,11.625
2006-08-02,11.625
2006-08-03,11.625
2006-08-04,11.149999618530273
2006-08-07,11.149999618530273
2006-08-08,11.149999618530273
2006-08-09,11.149999618530273
2006-08-10,11.449999809265137
2006-08-11,11.449999809265137
2006-08-14,11.25
2006-08-15,11.25
2006-08-16,11.375
2006-08-17,11.25
2006-08-18,11.25
2006-08-21,11.25
2006-08-22,11.25
2006-08-23,11.050000190734863
2006-08-24,11.25
2006-08-25,11.25
2006-08-28,11.25
2006-08-29,11.024999618530273
2006-08-30,11.0
2006-08-31,11.0
2006-09-01,11.0
2006-09-05,11.25
2006-09-06,11.25
2006-09-07,11.25
2006-09-08,11.25
2006-09-11,11.25
2006-09-12,11.25
2006-09-13,11.25
2006-09-14,11.0
2006-09-15,10.800000190734863
2006-09-18,10.800000190734863
2006-09-19,10.75
2006-09-20,10.75
2006-09-21,10.75
2006-09-22,10.75
2006-09-25,10.75
2006-09-26,11.0
2006-09-27,11.25
2006-09-28,11.25
2006-09-29,11.25
2006-10-02,11.25
2006-10-03,11.25
2006-10-04,11.25
2006-10-05,10.75
2006-10-06,10.75
2006-10-09,10.75
2006-10-10,10.75
2006-10-11,10.75
2006-10-12,10.75
2006-10-13,10.75
2006-10-16,10.699999809265137
2006-10-17,10.699999809265137
2006-10-18,10.699999809265137
2006-10-19,10.699999809265137
2006-10-20,10.800000190734863
2006-10-23,10.800000190734863
2006-10-24,11.25
2006-10-25,11.25
2006-10-26,11.25
2006-10-27,11.25
2006-10-30,11.25
2006-10-31,11.25
2006-11-01,11.25
2006-11-02,11.25
2006-11-03,11.024999618530273
2006-11-06,11.024999618530273
2006-11-07,11.024999618530273
2006-11-08,11.024999618530273
2006-11-09,11.024999618530273
2006-11-10,11.024999618530273
2006-11-13,11.024999618530273
2006-11-14,11.050000190734863
2006-11-15,11.050000190734863
2006-11-16,11.050000190734863
2006-11-17,11.074999809265137
2006-11-20,11.074999809265137
2006-11-21,11.074999809265137
2006-11-22,11.074999809265137
2006-11-24,11.074999809265137
2006-11-27,11.074999809265137
2006-11-28,11.074999809265137
2006-11-29,11.125
2006-11-30,11.125
2006-12-01,11.125
2006-12-04,11.199999809265137
2006-12-05,11.074999809265137
2006-12-06,11.074999809265137
2006-12-07,11.074999809265137
2006-12-08,11.149999618530273
2006-12-11,11.149999618530273
2006-12-12,11.149999618530273
2006-12-13,11.149999618530273
2006-12-14,11.149999618530273
2006-12-15,11.149999618530273
2006-12-18,11.149999618530273
2006-12-19,11.149999618530273
2006-12-20,11.149999618530273
2006-12-21,11.175000190734863
2006-12-22,11.175000190734863
2006-12-26,11.175000190734863
2006-12-27,11.175000190734863
2006-12-28,11.175000190734863
2006-12-29,11.199999809265137
2007-01-03,11.100000381469727
2007-01-04,11.100000381469727
2007-01-05,11.100000381469727
2007-01-08,11.100000381469727
2007-01-09,11.100000381469727
2007-01-10,11.100000381469727
2007-01-11,11.095000267028809
2007-01-12,11.074999809265137
2007-01-16,11.074999809265137
2007-01-17,11.050000190734863
2007-01-18,11.050000190734863
2007-01-19,11.050000190734863
2007-01-22,11.050000190734863
2007-01-23,11.050000190734863
2007-01-24,11.050000190734863
2007-01-25,11.050000190734863
2007-01-26,11.050000190734863
2007-01-29,11.050000190734863
2007-01-30,11.050000190734863
2007-01-31,11.055000305175781
2007-02-01,11.055000305175781
2007-02-02,11.079999923706055
2007-02-05,11.104999542236328
2007-02-06,11.175000190734863
2007-02-07,11.175000190734863
2007-02-08,11.149999618530273
2007-02-09,11.149999618530273
2007-02-12,11.149999618530273
2007-02-13,11.149999618530273
2007-02-14,11.149999618530273
2007-02-15,11.149999618530273
2007-02-16,11.149999618530273
2007-02-20,11.149999618530273
2007-02-21,11.149999618530273
2007-02-22,11.170000076293945
2007-02-23,11.170000076293945
2007-02-26,11.170000076293945
2007-02-27,11.149999618530273
2007-02-28,11.149999618530273
2007-03-01,11.170000076293945
2007-03-02,11.1850004196167
2007-03-05,11.25
2007-03-06,11.25
2007-03-07,11.25
2007-03-08,11.25
2007-03-09,11.25
2007-03-12,11.149999618530273
2007-03-13,11.149999618530273
2007-03-14,11.149999618530273
2007-03-15,11.149999618530273
2007-03-16,11.149999618530273
2007-03-19,11.399999618530273
2007-03-20,11.399999618530273
2007-03-21,11.399999618530273
2007-03-22,11.399999618530273
2007-03-23,11.75
2007-03-26,11.5
2007-03-27,11.5
2007-03-28,11.675000190734863
2007-03-29,11.524999618530273
2007-03-30,11.524999618530273
2007-04-02,11.524999618530273
2007-04-03,11.524999618530273
2007-04-04,11.274999618530273
2007-04-05,11.175000190734863
2007-04-09,11.175000190734863
2007-04-10,11.175000190734863
2007-04-11,11.175000190734863
2007-04-12,11.175000190734863
2007-04-13,11.175000190734863
2007-04-16,11.175000190734863
2007-04-17,11.175000190734863
2007-04-18,11.175000190734863
2007-04-19,11.175000190734863
2007-04-20,11.175000190734863
2007-04-23,11.175000190734863
2007-04-24,11.175000190734863
