,ALBO
2007-05-11,2160.0
2007-05-14,2187.60009765625
2007-05-15,2146.800048828125
2007-05-16,2164.800048828125
2007-05-17,2142.0
2007-05-18,2121.60009765625
2007-05-21,2161.199951171875
2007-05-22,2160.0
2007-05-23,2126.39990234375
2007-05-24,2190.0
2007-05-25,2190.0
2007-05-29,2191.199951171875
2007-05-30,2160.0
2007-05-31,2145.60009765625
2007-06-01,2208.0
2007-06-04,2206.800048828125
2007-06-05,2179.199951171875
2007-06-06,2122.800048828125
2007-06-07,2101.199951171875
2007-06-08,2082.0
2007-06-11,2157.60009765625
2007-06-12,2122.800048828125
2007-06-13,2106.0
2007-06-14,2096.39990234375
2007-06-15,2215.199951171875
2007-06-18,2244.0
2007-06-19,2460.0
2007-06-20,2580.0
2007-06-21,2520.0
2007-06-22,2451.60009765625
2007-06-25,2438.39990234375
2007-06-26,2298.0
2007-06-27,2361.60009765625
2007-06-28,2338.800048828125
2007-06-29,2376.0
2007-07-02,2395.199951171875
2007-07-03,2424.0
2007-07-05,2443.199951171875
2007-07-06,2463.60009765625
2007-07-09,2419.199951171875
2007-07-10,2336.39990234375
2007-07-11,2264.39990234375
2007-07-12,2266.800048828125
2007-07-13,2217.60009765625
2007-07-16,2188.800048828125
2007-07-17,2220.0
2007-07-18,2258.39990234375
2007-07-19,2230.800048828125
2007-07-20,2205.60009765625
2007-07-23,2251.199951171875
2007-07-24,2218.800048828125
2007-07-25,2222.39990234375
2007-07-26,2188.800048828125
2007-07-27,2137.199951171875
2007-07-30,2059.199951171875
2007-07-31,2028.0
2007-08-01,2013.5999755859375
2007-08-02,1989.5999755859375
2007-08-03,1880.4000244140625
2007-08-06,1809.5999755859375
2007-08-07,1822.800048828125
2007-08-08,1879.199951171875
2007-08-09,1741.199951171875
2007-08-10,1797.5999755859375
2007-08-13,1920.0
2007-08-14,1894.800048828125
2007-08-15,1887.5999755859375
2007-08-16,1976.4000244140625
2007-08-17,1959.5999755859375
2007-08-20,1980.0
2007-08-21,1995.5999755859375
2007-08-22,2119.199951171875
2007-08-23,2119.199951171875
2007-08-24,2127.60009765625
2007-08-27,2154.0
2007-08-28,2138.39990234375
2007-08-29,2088.0
2007-08-30,2166.0
2007-08-31,2271.60009765625
2007-09-04,2376.0
2007-09-05,2330.39990234375
2007-09-06,2326.800048828125
2007-09-07,2228.39990234375
2007-09-10,2203.199951171875
2007-09-11,2163.60009765625
2007-09-12,2160.0
2007-09-13,2252.39990234375
2007-09-14,2274.0
2007-09-17,2250.0
2007-09-18,2292.0
2007-09-19,2283.60009765625
2007-09-20,2236.800048828125
2007-09-21,2200.800048828125
2007-09-24,2209.199951171875
2007-09-25,2088.0
2007-09-26,2034.0
2007-09-27,2068.800048828125
2007-09-28,2044.800048828125
2007-10-01,1911.5999755859375
2007-10-02,1969.199951171875
2007-10-03,2007.5999755859375
2007-10-04,2016.0
2007-10-05,2040.0
2007-10-08,2041.199951171875
2007-10-09,1986.0
2007-10-10,1960.800048828125
2007-10-11,1902.0
2007-10-12,1910.4000244140625
2007-10-15,1927.199951171875
2007-10-16,1950.0
2007-10-17,1962.0
2007-10-18,2047.199951171875
2007-10-19,2008.800048828125
2007-10-22,2005.199951171875
2007-10-23,1983.5999755859375
2007-10-24,1996.800048828125
2007-10-25,2024.4000244140625
2007-10-26,2038.800048828125
2007-10-29,2044.800048828125
2007-10-30,2008.800048828125
2007-10-31,2030.4000244140625
2007-11-01,2004.0
2007-11-02,1984.800048828125
2007-11-05,1995.5999755859375
2007-11-06,2050.800048828125
2007-11-07,1970.4000244140625
2007-11-08,1994.4000244140625
2007-11-09,1992.0
2007-11-12,1876.800048828125
2007-11-13,1772.4000244140625
2007-11-14,1731.5999755859375
2007-11-15,1736.4000244140625
2007-11-16,1934.4000244140625
2007-11-19,1999.199951171875
2007-11-20,2013.5999755859375
2007-11-21,2014.800048828125
2007-11-23,2049.60009765625
2007-11-26,2103.60009765625
2007-11-27,2109.60009765625
2007-11-28,2118.0
2007-11-29,2125.199951171875
2007-11-30,2108.39990234375
2007-12-03,2150.39990234375
2007-12-04,2180.39990234375
2007-12-05,2244.0
2007-12-06,2317.199951171875
2007-12-07,2308.800048828125
2007-12-10,2323.199951171875
2007-12-11,2282.39990234375
2007-12-12,2325.60009765625
2007-12-13,2346.0
2007-12-14,2344.800048828125
2007-12-17,2370.0
2007-12-18,2438.39990234375
2007-12-19,2494.800048828125
2007-12-20,2540.39990234375
2007-12-21,2640.0
2007-12-24,2718.0
2007-12-26,2773.199951171875
2007-12-27,2799.60009765625
2007-12-28,2794.800048828125
2007-12-31,2787.60009765625
