,FIIIU
2020-08-19,10.0
2020-08-20,10.029999732971191
2020-08-21,9.970000267028809
2020-08-24,9.970000267028809
2020-08-25,10.010000228881836
2020-08-26,10.010000228881836
2020-08-27,9.979999542236328
2020-08-28,10.005000114440918
2020-08-31,9.979999542236328
2020-09-01,10.029999732971191
2020-09-02,10.0
2020-09-03,10.119999885559082
2020-09-04,10.100000381469727
2020-09-08,10.100000381469727
2020-09-09,10.104999542236328
2020-09-10,10.199999809265137
2020-09-11,10.15999984741211
2020-09-14,10.199999809265137
2020-09-15,10.225000381469727
2020-09-16,10.253999710083008
2020-09-17,10.279999732971191
2020-09-18,10.319999694824219
2020-09-21,10.489999771118164
2020-09-22,10.5
2020-09-23,10.359999656677246
2020-09-24,10.295000076293945
2020-09-25,10.395000457763672
2020-09-28,10.5
2020-09-29,10.5
2020-09-30,10.4399995803833
2020-10-01,10.380000114440918
2020-10-02,10.449999809265137
2020-10-05,10.25
2020-10-06,10.220000267028809
2020-10-07,10.164999961853027
2020-10-08,10.123000144958496
2020-10-09,10.15999984741211
2020-10-12,10.16100025177002
2020-10-13,10.210000038146973
2020-10-14,10.119999885559082
2020-10-15,10.1850004196167
2020-10-16,10.329999923706055
2020-10-19,10.329999923706055
2020-10-20,10.298999786376953
2020-10-21,10.149999618530273
2020-10-22,10.050000190734863
2020-10-23,10.100000381469727
2020-10-26,10.079999923706055
2020-10-27,10.069999694824219
2020-10-28,10.050000190734863
2020-10-29,10.0
2020-10-30,10.0
2020-11-02,10.020000457763672
2020-11-03,10.109999656677246
2020-11-04,10.170000076293945
2020-11-05,10.260000228881836
2020-11-06,10.260000228881836
2020-11-09,10.151000022888184
2020-11-10,10.151000022888184
2020-11-11,10.100000381469727
2020-11-12,10.09000015258789
2020-11-13,10.109999656677246
2020-11-16,10.170000076293945
2020-11-17,10.149999618530273
2020-11-18,10.1850004196167
2020-11-19,11.489999771118164
2020-11-20,11.149999618530273
2020-11-23,12.0
2020-11-24,11.529999732971191
2020-11-25,11.789999961853027
2020-11-27,12.350000381469727
2020-11-30,12.600000381469727
2020-12-01,11.6899995803833
2020-12-02,11.319999694824219
2020-12-03,11.789999961853027
2020-12-04,12.220000267028809
2020-12-07,12.850000381469727
2020-12-08,12.210000038146973
2020-12-09,12.210000038146973
2020-12-10,12.449999809265137
2020-12-11,13.40999984741211
2020-12-14,13.180000305175781
2020-12-15,11.989999771118164
2020-12-16,11.9399995803833
2020-12-17,11.595000267028809
2020-12-18,11.90999984741211
2020-12-21,12.6899995803833
2020-12-22,13.15999984741211
2020-12-23,14.9399995803833
2020-12-24,14.90999984741211
2020-12-28,15.069999694824219
2020-12-29,14.600000381469727
2020-12-30,14.670000076293945
2020-12-31,14.449999809265137
2021-01-04,14.949999809265137
2021-01-05,14.880000114440918
2021-01-06,15.050000190734863
2021-01-07,15.430000305175781
2021-01-08,14.930000305175781
2021-01-11,14.350000381469727
2021-01-12,14.119999885559082
2021-01-13,14.279999732971191
2021-01-14,14.550000190734863
2021-01-15,14.25
2021-01-19,14.329999923706055
2021-01-20,14.039999961853027
2021-01-21,13.850000381469727
2021-01-22,14.270000457763672
2021-01-25,13.760000228881836
2021-01-26,14.729999542236328
2021-01-27,13.75
2021-01-28,13.569999694824219
2021-01-29,13.149999618530273
2021-02-01,13.937999725341797
2021-02-02,13.6899995803833
2021-02-03,13.800000190734863
2021-02-04,13.600000381469727
2021-02-05,13.803999900817871
2021-02-08,13.210000038146973
2021-02-09,13.460000038146973
2021-02-10,13.104999542236328
2021-02-11,12.779999732971191
2021-02-12,13.15999984741211
2021-02-16,12.92199993133545
2021-02-17,13.232999801635742
2021-02-18,12.960000038146973
2021-02-19,12.729999542236328
2021-02-22,12.699999809265137
2021-02-23,11.710000038146973
2021-02-24,11.729999542236328
2021-02-25,11.414999961853027
2021-02-26,11.359999656677246
2021-03-01,11.479999542236328
2021-03-02,11.130000114440918
2021-03-03,10.90999984741211
2021-03-04,11.069999694824219
2021-03-05,10.90999984741211
2021-03-08,10.880000114440918
2021-03-09,11.15999984741211
2021-03-10,10.918999671936035
2021-03-11,11.119999885559082
2021-03-12,11.109999656677246
2021-03-15,11.0600004196167
2021-03-16,10.90999984741211
2021-03-17,10.899999618530273
2021-03-18,10.850000381469727
2021-03-19,11.09000015258789
2021-03-22,10.989999771118164
2021-03-23,10.710000038146973
2021-03-24,10.550000190734863
2021-03-25,10.489999771118164
2021-03-26,10.6899995803833
2021-03-29,10.529999732971191
2021-03-30,10.600000381469727
2021-03-31,10.604999542236328
2021-04-01,10.704999923706055
2021-04-05,10.720000267028809
2021-04-06,10.75
2021-04-07,10.75
2021-04-08,10.710000038146973
2021-04-09,10.774999618530273
2021-04-12,10.699999809265137
2021-04-13,10.604999542236328
2021-04-14,10.579999923706055
2021-04-15,10.579999923706055
2021-04-16,10.557000160217285
2021-04-19,10.260000228881836
2021-04-20,10.236000061035156
2021-04-21,10.40999984741211
2021-04-22,10.460000038146973
2021-04-23,10.399999618530273
2021-04-26,10.399999618530273
2021-04-27,10.5
2021-04-28,10.489999771118164
2021-04-29,10.40999984741211
2021-04-30,10.5
2021-05-03,10.399999618530273
2021-05-04,10.350000381469727
2021-05-05,10.420000076293945
2021-05-06,10.350000381469727
2021-05-07,10.359999656677246
2021-05-10,10.390000343322754
2021-05-11,10.319999694824219
2021-05-12,10.300000190734863
2021-05-13,10.220000267028809
2021-05-14,10.329999923706055
