,FCIT
2016-10-18,11.85714340209961
2016-10-19,11.85714340209961
2016-10-20,11.903809547424316
2016-10-21,11.903809547424316
2016-10-24,11.904762268066406
2016-10-25,11.904762268066406
2016-10-26,11.85714340209961
2016-10-27,11.85714340209961
2016-10-28,11.85714340209961
2016-10-31,11.90571403503418
2016-11-01,11.90571403503418
2016-11-02,11.90571403503418
2016-11-03,11.90571403503418
2016-11-04,11.914285659790039
2016-11-07,11.914285659790039
2016-11-08,11.904762268066406
2016-11-09,12.047618865966797
2016-11-10,12.047618865966797
2016-11-11,12.0
2016-11-14,12.0
2016-11-15,12.0
2016-11-16,12.0
2016-11-17,11.952381134033203
2016-11-18,11.952381134033203
2016-11-21,12.0
2016-11-22,12.0
2016-11-23,12.095237731933594
2016-11-25,12.14285659790039
2016-11-28,12.14285659790039
2016-11-29,12.14285659790039
2016-11-30,12.14285659790039
2016-12-01,12.191429138183594
2016-12-02,12.191429138183594
2016-12-05,12.191429138183594
2016-12-06,12.191429138183594
2016-12-07,12.191429138183594
2016-12-08,12.380951881408691
2016-12-09,12.380951881408691
2016-12-12,12.380951881408691
2016-12-13,12.380951881408691
2016-12-14,12.380951881408691
2016-12-15,12.380951881408691
2016-12-16,12.380951881408691
2016-12-19,12.380951881408691
2016-12-20,12.476189613342285
2016-12-21,12.476189613342285
2016-12-22,12.476189613342285
2016-12-23,12.476189613342285
2016-12-27,12.476189613342285
2016-12-28,12.571429252624512
2016-12-29,12.571429252624512
2016-12-30,12.571429252624512
2017-01-03,12.571429252624512
2017-01-04,12.571429252624512
2017-01-05,12.666666984558105
2017-01-06,12.666666984558105
2017-01-09,12.666666984558105
2017-01-10,12.666666984558105
2017-01-11,12.7619047164917
2017-01-12,12.7619047164917
2017-01-13,12.7619047164917
2017-01-17,12.7619047164917
2017-01-18,12.7619047164917
2017-01-19,12.7619047164917
2017-01-20,12.85714340209961
2017-01-23,12.952381134033203
2017-01-24,13.14285659790039
2017-01-25,13.333333015441895
2017-01-26,13.333333015441895
2017-01-27,13.095237731933594
2017-01-30,12.876190185546875
2017-01-31,12.876190185546875
2017-02-01,12.876190185546875
2017-02-02,13.333333015441895
2017-02-03,13.334285736083984
2017-02-06,13.334285736083984
2017-02-07,13.334285736083984
2017-02-08,13.334285736083984
2017-02-09,13.334285736083984
2017-02-10,13.334285736083984
2017-02-13,13.619048118591309
2017-02-14,14.285714149475098
2017-02-15,14.285714149475098
2017-02-16,14.285714149475098
2017-02-17,14.285714149475098
2017-02-21,15.2380952835083
2017-02-22,15.2380952835083
2017-02-23,15.2380952835083
2017-02-24,15.2380952835083
2017-02-27,15.809523582458496
2017-02-28,15.809523582458496
2017-03-01,15.2380952835083
2017-03-02,15.2380952835083
2017-03-03,15.714285850524902
2017-03-06,15.714285850524902
2017-03-07,15.714285850524902
2017-03-08,17.14285659790039
2017-03-09,17.14285659790039
2017-03-10,17.14285659790039
2017-03-13,17.14285659790039
2017-03-14,17.14285659790039
2017-03-15,17.14285659790039
2017-03-16,17.14285659790039
2017-03-17,17.14285659790039
2017-03-20,17.14285659790039
2017-03-21,17.14285659790039
2017-03-22,17.14285659790039
2017-03-23,15.352380752563477
2017-03-24,15.352380752563477
2017-03-27,15.352380752563477
2017-03-28,15.143810272216797
2017-03-29,16.047618865966797
2017-03-30,16.047618865966797
2017-03-31,16.047618865966797
2017-04-03,16.28571319580078
2017-04-04,16.28571319580078
2017-04-05,16.28571319580078
2017-04-06,16.28571319580078
2017-04-07,16.28571319580078
2017-04-10,16.28571319580078
2017-04-11,15.523810386657715
2017-04-12,15.523810386657715
2017-04-13,15.523810386657715
2017-04-17,15.523810386657715
2017-04-18,15.523810386657715
2017-04-19,15.523810386657715
2017-04-20,15.523810386657715
2017-04-21,15.523810386657715
2017-04-24,16.28571319580078
2017-04-25,16.28571319580078
2017-04-26,16.28571319580078
2017-04-27,16.28571319580078
2017-04-28,16.28571319580078
2017-05-01,16.28571319580078
2017-05-02,16.28571319580078
2017-05-03,16.28571319580078
2017-05-04,16.28571319580078
2017-05-05,16.666667938232422
2017-05-08,16.666667938232422
2017-05-09,16.666667938232422
2017-05-10,16.4761905670166
2017-05-11,16.4761905670166
2017-05-12,16.4761905670166
2017-05-15,16.020000457763672
2017-05-16,16.428571701049805
2017-05-17,16.428571701049805
2017-05-18,16.190475463867188
2017-05-19,16.666667938232422
2017-05-22,16.666667938232422
2017-05-23,16.666667938232422
2017-05-24,16.666667938232422
2017-05-25,16.666667938232422
2017-05-26,16.666667938232422
2017-05-30,16.666667938232422
2017-05-31,16.666667938232422
2017-06-01,16.666667938232422
2017-06-02,16.666667938232422
2017-06-05,16.666667938232422
2017-06-06,16.666667938232422
2017-06-07,16.666667938232422
2017-06-08,16.666667938232422
2017-06-09,16.332380294799805
2017-06-12,15.714285850524902
2017-06-13,15.772380828857422
2017-06-14,16.190475463867188
2017-06-15,16.666667938232422
2017-06-16,16.666667938232422
2017-06-19,16.666667938232422
2017-06-20,16.666667938232422
2017-06-21,16.190475463867188
2017-06-22,16.190475463867188
2017-06-23,16.190475463867188
2017-06-26,15.714285850524902
2017-06-27,15.714285850524902
2017-06-28,15.952381134033203
2017-06-29,15.952381134033203
2017-06-30,15.952381134033203
2017-07-03,15.952381134033203
2017-07-05,17.28571319580078
2017-07-06,17.14285659790039
2017-07-07,17.28571319580078
2017-07-10,17.28571319580078
2017-07-11,17.28571319580078
2017-07-12,17.28571319580078
2017-07-13,17.28571319580078
2017-07-14,17.238094329833984
2017-07-17,17.333332061767578
